hostname,value,timestamp
master,97.401676,1703168766
node_3,81.801122,1703168766
node_1,78.8064,1703168766
node_2,82.359212,1703168766
master,99.328066,1703168771
node_3,85.211946,1703168771
node_1,84.718622,1703168771
node_2,85.784954,1703168771
master,99.396124,1703168776
node_3,96.138934,1703168776
node_1,95.603072,1703168776
node_2,96.361144,1703168776
master,99.580732,1703168781
node_3,93.925686,1703168781
node_1,96.015124,1703168781
node_2,94.289474,1703168781
master,99.34593,1703168786
node_3,95.334992,1703168786
node_1,93.568774,1703168786
node_2,95.600252,1703168786
master,99.346312,1703168791
node_3,93.531674,1703168791
node_2,95.050348,1703168791
node_1,96.621112,1703168791
master,98.756006,1703168796
node_3,73.751136,1703168796
node_1,74.472394,1703168796
node_2,70.182746,1703168796
master,99.529538,1703168801
node_3,89.012768,1703168801
node_2,91.650672,1703168801
node_1,95.102512,1703168801
master,96.478262,1703168806
node_3,51.3634446,1703168806
node_1,42.7448246,1703168806
node_2,45.3785078,1703168806
master,96.839384,1703168811
node_3,31.122222,1703168811
node_1,55.4054752,1703168811
node_2,45.4881952,1703168811
master,99.446546,1703168816
node_3,95.678972,1703168816
node_1,91.703278,1703168816
node_2,83.35459,1703168816
master,99.597414,1703168821
node_3,93.070126,1703168821
node_1,91.130008,1703168821
node_2,93.405414,1703168821
master,99.479848,1703168826
node_3,85.704094,1703168826
node_1,88.045926,1703168826
node_2,82.741162,1703168826
master,99.56418,1703168831
node_3,83.864328,1703168831
node_1,93.128032,1703168831
node_2,85.084448,1703168831
master,99.49656,1703168836
node_3,89.957128,1703168836
node_1,93.989056,1703168836
node_2,93.96309,1703168836
master,99.647466,1703168841
node_3,93.873604,1703168841
node_1,95.41138,1703168841
node_2,93.929892,1703168841
master,99.428992,1703168846
node_3,95.482284,1703168846
node_1,92.582702,1703168846
node_2,93.795684,1703168846
master,99.446082,1703168851
node_3,94.170848,1703168851
node_1,96.313186,1703168851
node_2,94.212294,1703168851
master,96.353118,1703168856
node_3,28.9716242,1703168856
node_1,30.2408186,1703168856
node_2,27.0420408,1703168856
master,98.489644,1703168861
node_3,64.3462428,1703168861
node_1,82.333304,1703168861
node_2,65.426612,1703168861
master,99.328476,1703168866
node_3,94.29818,1703168866
node_1,92.84136,1703168866
node_2,93.264858,1703168866
master,99.43019,1703168871
node_3,95.279864,1703168871
node_1,96.96276,1703168871
node_2,95.397184,1703168871
master,99.429374,1703168876
node_3,96.54031,1703168876
node_1,93.663664,1703168876
node_2,96.303492,1703168876
master,98.13219,1703168881
node_3,90.118966,1703168881
node_2,91.132182,1703168881
node_1,92.391736,1703168881
master,99.463566,1703168886
node_3,96.09131,1703168886
node_1,83.925568,1703168886
node_2,82.3648,1703168886
master,99.379376,1703168891
node_3,88.100522,1703168891
node_1,95.535306,1703168891
node_2,87.097664,1703168891
master,98.959576,1703168896
node_3,72.278076,1703168896
node_1,84.39157,1703168896
node_2,87.126512,1703168896
master,99.21069,1703168901
node_3,75.183602,1703168901
node_1,84.27474,1703168901
node_2,80.637668,1703168901
master,99.546796,1703168906
node_3,93.687116,1703168906
node_1,94.026748,1703168906
node_2,94.744238,1703168906
master,99.547006,1703168911
node_3,95.733278,1703168911
node_1,96.327084,1703168911
node_2,95.346578,1703168911
master,99.446928,1703168916
node_3,93.077258,1703168916
node_2,93.189516,1703168916
node_1,94.02829,1703168916
master,99.613852,1703168921
node_3,87.715672,1703168921
node_1,93.042898,1703168921
node_2,90.562748,1703168921
master,98.891248,1703168926
node_3,74.326258,1703168926
node_1,79.130332,1703168926
node_2,69.035734,1703168926
master,99.260136,1703168931
node_3,78.294776,1703168931
node_2,85.344918,1703168931
node_1,91.014632,1703168931
master,97.035412,1703168936
node_3,59.4655174,1703168936
node_1,49.225204,1703168936
node_2,51.128342,1703168936
master,96.581686,1703168941
node_3,29.6277962,1703168941
node_2,35.9469422,1703168941
node_1,50.4780882,1703168941
master,99.513982,1703168946
node_3,83.829414,1703168946
node_1,85.755644,1703168946
node_2,81.866166,1703168946
master,99.547376,1703168951
node_3,93.327834,1703168951
node_1,94.276488,1703168951
node_2,85.697874,1703168951
master,99.664052,1703168956
node_3,80.355396,1703168956
node_1,56.505278,1703168956
node_2,84.485884,1703168956
master,99.580522,1703168961
node_3,89.104142,1703168961
node_2,90.105498,1703168961
node_1,58.91412,1703168961
master,99.563898,1703168966
node_3,93.920266,1703168966
node_1,93.152308,1703168966
node_2,91.339648,1703168966
master,99.580466,1703168971
node_3,92.653472,1703168971
node_1,95.356138,1703168971
node_2,94.557396,1703168971
master,99.597258,1703168976
node_3,95.835294,1703168976
node_1,93.885304,1703168976
node_2,94.43575,1703168976
master,99.211112,1703168981
node_3,93.840044,1703168981
node_1,95.163576,1703168981
node_2,94.076564,1703168981
master,96.611942,1703168986
node_3,34.8436148,1703168986
node_1,34.3743412,1703168986
node_2,35.185176,1703168986
master,97.200762,1703168991
node_3,16.4767358,1703168991
node_1,73.620234,1703168991
node_2,45.4679514,1703168991
master,98.975622,1703168996
node_3,80.560676,1703168996
node_1,90.883478,1703168996
node_2,90.10377,1703168996
master,99.46268,1703169001
node_3,93.627468,1703169001
node_1,96.404786,1703169001
node_2,96.057146,1703169001
master,99.346244,1703169006
node_3,95.628488,1703169006
node_1,82.331508,1703169006
node_2,93.230224,1703169006
master,97.694768,1703169011
node_3,93.52154,1703169011
node_1,91.562862,1703169011
node_2,80.867916,1703169011
master,99.396112,1703169016
node_3,93.674758,1703169016
node_1,94.895316,1703169016
node_2,92.50526,1703169016
master,99.111568,1703169021
node_3,74.628138,1703169021
node_1,96.209008,1703169021
node_2,93.223362,1703169021
