hostname,value,timestamp,id,name
master,1055.2536404,1703152706,InOctets,received
master,-1231.683016,1703152706,OutOctets,sent
node_1,37.6472298,1703152706,InOctets,received
node_1,-899.9751436,1703152706,OutOctets,sent
node_3,60.9848979,1703152706,InOctets,received
node_3,-950.1554109,1703152706,OutOctets,sent
node_2,35.597299,1703152706,InOctets,received
node_2,-1295.1230744,1703152706,OutOctets,sent
master,9.4581457,1703152711,InOctets,received
master,-1092.3354834,1703152711,OutOctets,sent
node_1,16.6470766,1703152711,InOctets,received
node_1,-888.5190557,1703152711,OutOctets,sent
node_3,12.8291072,1703152711,InOctets,received
node_3,-938.8818865,1703152711,OutOctets,sent
node_2,13.5705068,1703152711,InOctets,received
node_2,-1289.4636286,1703152711,OutOctets,sent
master,7.7991562,1703152716,InOctets,received
master,-1069.9341824,1703152716,OutOctets,sent
node_1,3.309533,1703152716,InOctets,received
node_1,-887.2069584,1703152716,OutOctets,sent
node_3,9.3850541,1703152716,InOctets,received
node_3,-937.0695106,1703152716,OutOctets,sent
node_2,5.0587072,1703152716,InOctets,received
node_2,-1290.5331034,1703152716,OutOctets,sent
master,12.0239138,1703152721,InOctets,received
master,-1115.214304,1703152721,OutOctets,sent
node_1,25.291502,1703152721,InOctets,received
node_1,-890.7435748,1703152721,OutOctets,sent
node_3,16.7655888,1703152721,InOctets,received
node_3,-950.576772,1703152721,OutOctets,sent
node_2,18.1048252,1703152721,InOctets,received
node_2,-1291.8875236,1703152721,OutOctets,sent
master,20.5430652,1703152726,InOctets,received
master,-1289.509882,1703152726,OutOctets,sent
node_1,47.2965657,1703152726,InOctets,received
node_1,-887.4975032,1703152726,OutOctets,sent
node_3,108.96621,1703152726,InOctets,received
node_3,-961.3223182,1703152726,OutOctets,sent
node_2,44.149158,1703152726,InOctets,received
node_2,-1291.8682019,1703152726,OutOctets,sent
master,8.3068196,1703152731,InOctets,received
master,-1077.198239,1703152731,OutOctets,sent
node_1,11.1905021,1703152731,InOctets,received
node_1,-887.4943535,1703152731,OutOctets,sent
node_3,4.1133816,1703152731,InOctets,received
node_3,-944.4164458,1703152731,OutOctets,sent
node_2,10.309075,1703152731,InOctets,received
node_2,-1289.5202898,1703152731,OutOctets,sent
master,86.4422474,1703152736,InOctets,received
master,-1809.66796,1703152736,OutOctets,sent
node_1,236.1167,1703152736,InOctets,received
node_1,-917.66552,1703152736,OutOctets,sent
node_3,220.206164,1703152736,InOctets,received
node_3,-963.2446814,1703152736,OutOctets,sent
node_2,177.7405576,1703152736,InOctets,received
node_2,-1308.0880688,1703152736,OutOctets,sent
master,9.3569688,1703152741,InOctets,received
master,-1077.6592812,1703152741,OutOctets,sent
node_1,11.9262548,1703152741,InOctets,received
node_1,-887.7316464,1703152741,OutOctets,sent
node_3,5.029244,1703152741,InOctets,received
node_3,-937.6998949,1703152741,OutOctets,sent
node_2,11.6841051,1703152741,InOctets,received
node_2,-1290.9537828,1703152741,OutOctets,sent
master,6.6123566,1703152746,InOctets,received
master,-1068.638963,1703152746,OutOctets,sent
node_1,3.445712,1703152746,InOctets,received
node_1,-886.0581309,1703152746,OutOctets,sent
node_3,9.3469874,1703152746,InOctets,received
node_3,-936.4651274,1703152746,OutOctets,sent
node_2,15.4998665,1703152746,InOctets,received
node_2,-1290.2217371,1703152746,OutOctets,sent
master,22.800343,1703152751,InOctets,received
master,-1094.3349798,1703152751,OutOctets,sent
node_1,20.5153944,1703152751,InOctets,received
node_1,-913.5784624,1703152751,OutOctets,sent
node_3,9.6421403,1703152751,InOctets,received
node_3,-963.0742417,1703152751,OutOctets,sent
node_2,11.6299024,1703152751,InOctets,received
node_2,-1302.3076574,1703152751,OutOctets,sent
master,11.468053,1703152756,InOctets,received
master,-1146.374248,1703152756,OutOctets,sent
node_1,25.296823,1703152756,InOctets,received
node_1,-919.0348774,1703152756,OutOctets,sent
node_3,42.7834596,1703152756,InOctets,received
node_3,-970.7643653,1703152756,OutOctets,sent
node_2,20.2056076,1703152756,InOctets,received
node_2,-1307.045247,1703152756,OutOctets,sent
master,13.3492636,1703152761,InOctets,received
master,-1158.4342164,1703152761,OutOctets,sent
node_1,52.6766138,1703152761,InOctets,received
node_1,-921.7842418,1703152761,OutOctets,sent
node_3,19.731201,1703152761,InOctets,received
node_3,-972.1086788,1703152761,OutOctets,sent
node_2,26.3769258,1703152761,InOctets,received
node_2,-1307.6552349,1703152761,OutOctets,sent
master,22.4844863,1703152766,InOctets,received
master,-1085.7806238,1703152766,OutOctets,sent
node_1,18.1743996,1703152766,InOctets,received
node_1,-930.4415108,1703152766,OutOctets,sent
node_3,10.8972624,1703152766,InOctets,received
node_3,-970.6023407,1703152766,OutOctets,sent
node_2,11.8327689,1703152766,InOctets,received
node_2,-1312.4694237,1703152766,OutOctets,sent
master,19.4612198,1703152771,InOctets,received
master,-1228.0318482,1703152771,OutOctets,sent
node_1,53.8047143,1703152771,InOctets,received
node_1,-922.1863347,1703152771,OutOctets,sent
node_3,43.4255578,1703152771,InOctets,received
node_3,-973.2903424,1703152771,OutOctets,sent
node_2,37.305679,1703152771,InOctets,received
node_2,-1307.404103,1703152771,OutOctets,sent
master,71.1952152,1703152776,InOctets,received
master,-2087.7016296,1703152776,OutOctets,sent
node_1,322.6952516,1703152776,InOctets,received
node_1,-921.8008558,1703152776,OutOctets,sent
node_3,300.5811964,1703152776,InOctets,received
node_3,-969.318562,1703152776,OutOctets,sent
node_2,258.8847956,1703152776,InOctets,received
node_2,-1303.5641716,1703152776,OutOctets,sent
master,13.9486668,1703152781,InOctets,received
master,-1087.439814,1703152781,OutOctets,sent
node_1,17.4328292,1703152781,InOctets,received
node_1,-889.7730914,1703152781,OutOctets,sent
node_3,5.810369,1703152781,InOctets,received
node_3,-939.1655182,1703152781,OutOctets,sent
node_2,10.1930004,1703152781,InOctets,received
node_2,-1291.6410938,1703152781,OutOctets,sent
master,6.3566112,1703152786,InOctets,received
master,-1070.2589627,1703152786,OutOctets,sent
node_1,2.8689908,1703152786,InOctets,received
node_1,-885.5809103,1703152786,OutOctets,sent
node_3,11.1073716,1703152786,InOctets,received
node_3,-943.0775339,1703152786,OutOctets,sent
node_2,8.1146402,1703152786,InOctets,received
node_2,-1290.2240942,1703152786,OutOctets,sent
master,7.7235634,1703152791,InOctets,received
master,-1073.9880898,1703152791,OutOctets,sent
node_1,10.891008,1703152791,InOctets,received
node_1,-887.2208866,1703152791,OutOctets,sent
node_3,5.0793174,1703152791,InOctets,received
node_3,-941.136293,1703152791,OutOctets,sent
node_2,7.4578965,1703152791,InOctets,received
node_2,-1289.5838932,1703152791,OutOctets,sent
master,12.5808558,1703152796,InOctets,received
master,-1079.4611636,1703152796,OutOctets,sent
node_1,10.0912,1703152796,InOctets,received
node_1,-890.7408,1703152796,OutOctets,sent
