hostname,value,timestamp
master,869.31014,1703163391
node_3,352.11094,1703163391
node_1,398.85936,1703163391
node_2,390.17812,1703163391
master,868.29532,1703163396
node_3,358.55312,1703163396
node_1,400.29842,1703163396
node_2,390.82734,1703163396
master,868.75156,1703163401
node_3,358.90394,1703163401
node_1,401.07424,1703163401
node_2,391.54298,1703163401
master,869.38674,1703163406
node_3,359.5344,1703163406
node_1,400.7031,1703163406
node_2,392.28436,1703163406
master,869.91408,1703163411
node_3,357.68904,1703163411
node_1,401.1492,1703163411
node_2,392.91642,1703163411
master,870.39064,1703163416
node_3,354.54998,1703163416
node_1,402.19686,1703163416
node_2,393.12184,1703163416
master,871.18516,1703163421
node_3,364.43984,1703163421
node_1,410.17658,1703163421
node_2,399.16328,1703163421
master,871.80624,1703163426
node_3,371.79064,1703163426
node_1,415.67972,1703163426
node_2,403.64376,1703163426
master,872.45548,1703163431
node_3,372.29222,1703163431
node_1,415.50314,1703163431
node_2,403.6719,1703163431
master,873.09296,1703163436
node_3,372.27736,1703163436
node_1,415.2797,1703163436
node_2,403.79532,1703163436
master,873.6336,1703163441
node_3,372.57422,1703163441
node_1,415.31016,1703163441
node_2,404.05,1703163441
master,874.1797,1703163446
node_3,373.42424,1703163446
node_1,415.71014,1703163446
node_2,404.74296,1703163446
master,874.6672,1703163451
node_3,373.68126,1703163451
node_1,415.73906,1703163451
node_2,405.53204,1703163451
master,874.71016,1703163456
node_3,373.69064,1703163456
node_1,415.66562,1703163456
node_2,406.02422,1703163456
master,874.525,1703163461
node_3,365.27576,1703163461
node_1,413.72812,1703163461
node_2,402.82502,1703163461
master,874.293,1703163466
node_3,363.35312,1703163466
node_1,412.89762,1703163466
node_2,401.96018,1703163466
master,874.37422,1703163471
node_3,364.05934,1703163471
node_1,413.00702,1703163471
node_2,402.84296,1703163471
master,874.375,1703163476
node_3,364.6914,1703163476
node_1,411.77188,1703163476
node_2,403.38284,1703163476
master,874.43124,1703163481
node_3,364.73594,1703163481
node_1,411.8836,1703163481
node_2,403.9555,1703163481
master,874.85782,1703163486
node_3,364.53752,1703163486
node_1,412.22814,1703163486
node_2,404.81798,1703163486
master,875.40234,1703163491
node_3,364.53516,1703163491
node_1,412.88748,1703163491
node_2,405.23828,1703163491
master,875.3328,1703163496
node_3,364.7531,1703163496
node_1,412.75856,1703163496
node_2,405.50392,1703163496
master,875.50704,1703163501
node_3,364.92808,1703163501
node_1,412.54062,1703163501
node_2,405.67576,1703163501
master,875.4961,1703163506
node_3,368.418,1703163506
node_1,412.27886,1703163506
node_2,406.47342,1703163506
master,875.54764,1703163511
node_3,368.40702,1703163511
node_1,412.17108,1703163511
node_2,407.31096,1703163511
master,875.56016,1703163516
node_3,368.38826,1703163516
node_1,411.79998,1703163516
node_2,407.5047,1703163516
master,875.51564,1703163521
node_3,367.59764,1703163521
node_1,411.15002,1703163521
node_2,406.9836,1703163521
master,875.43594,1703163526
node_3,366.78904,1703163526
node_1,411.1445,1703163526
node_2,406.39374,1703163526
master,875.3055,1703163531
node_3,371.86406,1703163531
node_1,413.5828,1703163531
node_2,410.55468,1703163531
master,875.29062,1703163536
node_3,373.70078,1703163536
node_1,415.6742,1703163536
node_2,414.47264,1703163536
master,875.26638,1703163541
node_3,373.1586,1703163541
node_1,415.89612,1703163541
node_2,414.88516,1703163541
master,875.2461,1703163546
node_3,372.69062,1703163546
node_1,416.02734,1703163546
node_2,415.54452,1703163546
master,875.4664,1703163551
node_3,371.96172,1703163551
node_1,416.0617,1703163551
node_2,416.3836,1703163551
master,875.44218,1703163556
node_3,371.1195,1703163556
node_1,416.35468,1703163556
node_2,417.31094,1703163556
master,875.56484,1703163561
node_3,371.76872,1703163561
node_1,416.27502,1703163561
node_2,417.17422,1703163561
master,875.60002,1703163566
node_3,371.81566,1703163566
node_1,415.8539,1703163566
node_2,416.58672,1703163566
master,875.66408,1703163571
node_3,369.40392,1703163571
node_1,413.54532,1703163571
node_2,411.53516,1703163571
master,875.79688,1703163576
node_3,368.01798,1703163576
node_1,413.23438,1703163576
node_2,406.7547,1703163576
master,875.95232,1703163581
node_3,367.66642,1703163581
node_1,413.62502,1703163581
node_2,407.25626,1703163581
master,875.67108,1703163586
node_3,366.9164,1703163586
node_1,413.91408,1703163586
node_2,407.55626,1703163586
master,875.89842,1703163591
node_3,366.3492,1703163591
node_1,414.1906,1703163591
node_2,407.54844,1703163591
master,876.06874,1703163596
node_3,366.1039,1703163596
node_1,415.2461,1703163596
node_2,407.19766,1703163596
master,876.01482,1703163601
node_3,366.12578,1703163601
node_1,416.43984,1703163601
node_2,407.19454,1703163601
master,876.35,1703163606
node_3,366.10626,1703163606
node_1,416.70862,1703163606
node_2,405.99922,1703163606
