time="2023-12-25T11:30:16.440" level=info msg="Starting kbench..."
time="2023-12-25T11:30:16.444" level=info msg="Created a new Pod manager."
time="2023-12-25T11:30:16.455" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2023-12-25T11:30:16.455" level=info msg="Performing pod actions in operation 0"
time="2023-12-25T11:30:16.455" level=info msg="Waiting all threads to finish on the current operation"
time="2023-12-25T11:30:16.470" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2023-12-25T11:30:16.476" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2023-12-25T11:30:16.476" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2023-12-25T11:31:56.476" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:31:59.476" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:02.476" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:05.476" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:08.476" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:11.476" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:14.477" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:17.477" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:20.477" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:23.477" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:26.477" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:29.477" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:32.477" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:35.478" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:38.478" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:41.478" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:44.478" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:47.478" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:50.478" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:53.479" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2023-12-25T11:32:56.479" level=warning msg="Timed out after waiting 60000 mili-seconds, moving forward..."
time="2023-12-25T11:32:56.479" level=info msg="One operation completed. Continue to run the next..."
time="2023-12-25T11:32:56.485" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:32:56.485" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:32:59.486" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:32:59.486" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:02.488" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:02.488" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:05.490" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:05.490" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:08.492" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:08.492" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:11.493" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:11.493" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:14.495" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:14.495" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:17.497" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:17.497" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:20.498" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:20.498" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:23.502" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:23.502" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:26.504" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:26.504" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:29.505" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:29.505" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:32.507" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:32.507" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:35.509" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:35.509" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:38.511" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:38.511" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:41.512" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:41.512" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:44.514" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:44.514" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:47.516" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:47.516" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:50.518" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:50.518" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:53.520" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:53.520" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:56.521" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:56.521" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:59.523" level=warning msg="Resource predicate not passed, pod is not running..."
