hostname,value,timestamp,id,name
node_2,275.1826064,1703448416,InOctets,received
node_2,-602.133338,1703448416,OutOctets,sent
node_3,271.2712632,1703448416,InOctets,received
node_3,-228.858971,1703448416,OutOctets,sent
master,699.8563634,1703448416,InOctets,received
master,-2158.71274,1703448416,OutOctets,sent
node_1,276.2436896,1703448416,InOctets,received
node_1,-261.5847286,1703448416,OutOctets,sent
node_2,3.8205819,1703448421,InOctets,received
node_2,-592.9978533,1703448421,OutOctets,sent
node_3,7.7701734,1703448421,InOctets,received
node_3,-222.627655,1703448421,OutOctets,sent
master,7.9731792,1703448421,InOctets,received
master,-1063.3823964,1703448421,OutOctets,sent
node_1,6.3260782,1703448421,InOctets,received
node_1,-248.8313136,1703448421,OutOctets,sent
node_2,9.9141018,1703448426,InOctets,received
node_2,-591.3889578,1703448426,OutOctets,sent
node_3,5.5939242,1703448426,InOctets,received
node_3,-219.7180268,1703448426,OutOctets,sent
master,8.6908369,1703448426,InOctets,received
master,-1075.9336445,1703448426,OutOctets,sent
node_1,8.8063028,1703448426,InOctets,received
node_1,-251.604815,1703448426,OutOctets,sent
node_2,11.6583076,1703448431,InOctets,received
node_2,-599.9507176,1703448431,OutOctets,sent
node_3,6.9059505,1703448431,InOctets,received
node_3,-222.0449614,1703448431,OutOctets,sent
master,17.2213394,1703448431,InOctets,received
master,-1070.6811974,1703448431,OutOctets,sent
node_1,11.121457,1703448431,InOctets,received
node_1,-257.810832,1703448431,OutOctets,sent
node_2,9.2147902,1703448436,InOctets,received
node_2,-591.2858688,1703448436,OutOctets,sent
node_3,5.2555072,1703448436,InOctets,received
node_3,-219.9348312,1703448436,OutOctets,sent
master,5.3599456,1703448436,InOctets,received
master,-1067.4975678,1703448436,OutOctets,sent
node_1,8.454431,1703448436,InOctets,received
node_1,-250.2854834,1703448436,OutOctets,sent
node_2,4.3919999,1703448441,InOctets,received
node_2,-591.9024,1703448441,OutOctets,sent
node_3,5.8239816,1703448441,InOctets,received
node_3,-220.5098163,1703448441,OutOctets,sent
master,14.997108,1703448441,InOctets,received
master,-1074.7893034,1703448441,OutOctets,sent
node_1,7.2662513,1703448441,InOctets,received
node_1,-257.8071211,1703448441,OutOctets,sent
node_2,9.9883023,1703448446,InOctets,received
node_2,-592.5448743,1703448446,OutOctets,sent
node_3,2.7116966,1703448446,InOctets,received
node_3,-220.6896006,1703448446,OutOctets,sent
master,10.4283456,1703448446,InOctets,received
master,-1073.7207478,1703448446,OutOctets,sent
node_1,12.0997256,1703448446,InOctets,received
node_1,-252.4075964,1703448446,OutOctets,sent
node_2,3.9984343,1703448451,InOctets,received
node_2,-592.2482522,1703448451,OutOctets,sent
node_3,10.9538478,1703448451,InOctets,received
node_3,-222.6722665,1703448451,OutOctets,sent
