time="2023-12-25T12:20:40.637" level=info msg="Starting kbench..."
time="2023-12-25T12:20:40.648" level=info msg="Created a new Pod manager."
time="2023-12-25T12:20:40.658" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2023-12-25T12:20:40.658" level=info msg="Performing pod actions in operation 0"
time="2023-12-25T12:20:40.658" level=info msg="Waiting all threads to finish on the current operation"
time="2023-12-25T12:20:40.686" level=error msg="pods \"kbench-pod-oid-0-tid-1\" already exists"
time="2023-12-25T12:20:40.686" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2023-12-25T12:20:40.686" level=error msg="pods \"kbench-pod-oid-0-tid-0\" already exists"
time="2023-12-25T12:20:40.686" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2023-12-25T12:20:40.686" level=error msg="pods \"kbench-pod-oid-0-tid-2\" already exists"
time="2023-12-25T12:20:40.686" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2023-12-25T12:22:20.687" level=info msg="One operation completed. Continue to run the next..."
time="2023-12-25T12:22:20.693" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:20.693" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:22:23.695" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:23.695" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:22:26.696" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:26.696" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:22:29.698" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:29.698" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:22:32.700" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:32.700" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:22:35.701" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:35.701" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:22:38.703" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:38.703" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:22:41.704" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:41.704" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:22:44.706" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:44.706" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:22:47.708" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:47.708" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:22:50.709" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:50.709" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:22:53.711" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:53.711" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:22:56.713" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:56.713" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:22:59.723" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:22:59.723" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:02.724" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:02.724" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:05.726" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:05.726" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:08.728" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:08.728" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T12:23:11.730" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T12:23:11.730" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
