4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1621.79          ---          ---        11.20029        10.17500        23.55100        43.26300       124.93 
Gets        16216.13         6.97     16209.16        11.20191        10.17500        23.67900        43.26300       631.89 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      17837.92         6.97     16209.16        11.20176        10.17500        23.55100        43.26300       756.83 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.375        0.000
SET       8.767        5.000
SET       9.215       10.000
SET       9.407       15.000
SET       9.471       20.000
SET       9.599       25.000
SET       9.663       30.000
SET       9.791       35.000
SET       9.919       40.000
SET      10.047       45.000
SET      10.175       50.000
SET      10.239       52.500
SET      10.303       55.000
SET      10.367       57.500
SET      10.431       60.000
SET      10.495       62.500
SET      10.559       65.000
SET      10.623       67.500
SET      10.751       70.000
SET      10.879       72.500
SET      11.007       75.000
SET      11.071       76.250
SET      11.135       77.500
SET      11.263       78.750
SET      11.391       80.000
SET      11.519       81.250
SET      11.775       82.500
SET      12.031       83.750
SET      12.415       85.000
SET      12.863       86.250
SET      13.375       87.500
SET      13.759       88.125
SET      14.207       88.750
SET      14.911       89.375
SET      15.871       90.000
SET      16.895       90.625
SET      17.663       91.250
SET      18.175       91.875
SET      18.559       92.500
SET      18.815       93.125
SET      19.071       93.750
SET      19.199       94.062
SET      19.327       94.375
SET      19.455       94.688
SET      19.583       95.000
SET      19.711       95.312
SET      19.967       95.625
SET      20.095       95.938
SET      20.223       96.250
SET      20.479       96.562
SET      20.607       96.875
SET      20.735       97.031
SET      20.863       97.188
SET      20.991       97.344
SET      21.119       97.500
SET      21.247       97.656
SET      21.375       97.812
SET      21.503       97.969
SET      21.631       98.125
SET      21.887       98.281
SET      22.015       98.438
SET      22.143       98.516
SET      22.271       98.594
SET      22.399       98.672
SET      22.655       98.750
SET      22.911       98.828
SET      23.167       98.906
SET      23.551       98.984
SET      23.935       99.062
SET      24.575       99.141
SET      25.215       99.219
SET      25.599       99.258
SET      26.111       99.297
SET      26.495       99.336
SET      27.135       99.375
SET      27.647       99.414
SET      28.415       99.453
SET      29.055       99.492
SET      29.951       99.531
SET      30.847       99.570
SET      31.871       99.609
SET      32.511       99.629
SET      33.023       99.648
SET      33.535       99.668
SET      34.303       99.688
SET      34.815       99.707
SET      35.583       99.727
SET      36.351       99.746
SET      37.119       99.766
SET      37.887       99.785
SET      38.655       99.805
SET      38.911       99.814
SET      39.423       99.824
SET      39.935       99.834
SET      40.447       99.844
SET      40.703       99.854
SET      41.215       99.863
SET      41.727       99.873
SET      42.239       99.883
SET      42.751       99.893
SET      43.519       99.902
SET      43.775       99.907
SET      44.031       99.912
SET      44.287       99.917
SET      44.543       99.922
SET      45.055       99.927
SET      45.567       99.932
SET      45.823       99.937
SET      46.335       99.941
SET      46.591       99.946
SET      47.103       99.951
SET      47.359       99.954
SET      47.871       99.956
SET      48.127       99.958
SET      48.639       99.961
SET      48.895       99.963
SET      49.151       99.966
SET      49.663       99.968
SET      49.919       99.971
SET      50.431       99.973
SET      50.943       99.976
SET      51.199       99.977
SET      51.711       99.978
SET      52.223       99.979
SET      52.479       99.980
SET      52.991       99.982
SET      53.503       99.983
SET      54.015       99.984
SET      54.271       99.985
SET      54.783       99.987
SET      55.295       99.988
SET      55.551       99.988
SET      55.807       99.989
SET      56.319       99.990
SET      56.319       99.990
SET      56.831       99.991
SET      57.087       99.991
SET      57.855       99.992
SET      58.367       99.993
SET      58.879       99.993
SET      60.159       99.994
SET      60.671       99.994
SET      61.695       99.995
SET      61.951       99.995
SET      63.487       99.995
SET      64.511       99.995
SET      64.767       99.996
SET      67.071       99.996
SET      68.095       99.996
SET      71.167       99.997
SET      72.191       99.997
SET      72.703       99.997
SET      73.727       99.997
SET      74.751       99.997
SET      75.775       99.998
SET      75.775       99.998
SET      77.311       99.998
SET      77.311       99.998
SET      78.335       99.998
SET      78.335       99.998
SET      80.383       99.998
SET      80.383       99.999
SET      80.895       99.999
SET      83.455       99.999
SET      84.479       99.999
SET      84.479       99.999
SET      84.991       99.999
SET      89.087       99.999
SET      89.599       99.999
SET      89.599       99.999
SET      92.671       99.999
SET      92.671       99.999
SET      93.695       99.999
SET      93.695       99.999
SET      95.231       99.999
SET      95.231       99.999
SET      95.231       99.999
SET      97.279      100.000
SET      97.279      100.000
SET      97.279      100.000
SET      97.791      100.000
SET      97.791      100.000
SET      97.791      100.000
SET      97.791      100.000
SET     105.471      100.000
SET     105.471      100.000
SET     105.471      100.000
SET     105.471      100.000
SET     105.471      100.000
SET     105.471      100.000
SET     109.055      100.000
SET     109.055      100.000
SET     109.055      100.000
SET     109.055      100.000
SET     109.055      100.000
SET     109.055      100.000
SET     109.055      100.000
SET     109.055      100.000
SET     109.055      100.000
SET     109.055      100.000
SET     117.759      100.000
SET     117.759      100.000
---
GET       1.471        0.000
GET       8.767        5.000
GET       9.215       10.000
GET       9.407       15.000
GET       9.471       20.000
GET       9.599       25.000
GET       9.663       30.000
GET       9.791       35.000
GET       9.919       40.000
GET      10.047       45.000
GET      10.175       50.000
GET      10.239       52.500
GET      10.303       55.000
GET      10.367       57.500
GET      10.431       60.000
GET      10.495       62.500
GET      10.559       65.000
GET      10.623       67.500
GET      10.751       70.000
GET      10.879       72.500
GET      11.007       75.000
GET      11.071       76.250
GET      11.135       77.500
GET      11.263       78.750
GET      11.391       80.000
GET      11.519       81.250
GET      11.775       82.500
GET      12.031       83.750
GET      12.415       85.000
GET      12.863       86.250
GET      13.375       87.500
GET      13.759       88.125
GET      14.271       88.750
GET      14.975       89.375
GET      15.999       90.000
GET      17.023       90.625
GET      17.663       91.250
GET      18.175       91.875
GET      18.559       92.500
GET      18.815       93.125
GET      19.071       93.750
GET      19.199       94.062
GET      19.327       94.375
GET      19.455       94.688
GET      19.583       95.000
GET      19.711       95.312
GET      19.967       95.625
GET      20.095       95.938
GET      20.223       96.250
GET      20.479       96.562
GET      20.607       96.875
GET      20.735       97.031
GET      20.863       97.188
GET      20.991       97.344
GET      21.119       97.500
GET      21.247       97.656
GET      21.375       97.812
GET      21.503       97.969
GET      21.631       98.125
GET      21.887       98.281
GET      22.015       98.438
GET      22.143       98.516
GET      22.271       98.594
GET      22.527       98.672
GET      22.655       98.750
GET      22.911       98.828
GET      23.167       98.906
GET      23.551       98.984
GET      23.935       99.062
GET      24.575       99.141
GET      25.343       99.219
GET      25.727       99.258
GET      26.111       99.297
GET      26.623       99.336
GET      27.135       99.375
GET      27.775       99.414
GET      28.415       99.453
GET      29.183       99.492
GET      29.951       99.531
GET      30.847       99.570
GET      31.743       99.609
GET      32.255       99.629
GET      33.023       99.648
GET      33.535       99.668
GET      34.047       99.688
GET      34.815       99.707
GET      35.583       99.727
GET      36.095       99.746
GET      36.863       99.766
GET      37.631       99.785
GET      38.399       99.805
GET      38.911       99.814
GET      39.423       99.824
GET      39.679       99.834
GET      40.191       99.844
GET      40.703       99.854
GET      41.215       99.863
GET      41.727       99.873
GET      42.239       99.883
GET      42.751       99.893
GET      43.263       99.902
GET      43.775       99.907
GET      44.031       99.912
GET      44.287       99.917
GET      44.799       99.922
GET      45.055       99.927
GET      45.311       99.932
GET      45.823       99.937
