hostname,value,timestamp
node_2,410.96016,1703537856
node_1,421.53752,1703537856
node_3,372.75158,1703537856
master,818.53438,1703537856
node_2,411.49534,1703537861
node_1,421.84766,1703537861
node_3,373.21406,1703537861
master,826.9625,1703537861
node_2,411.38904,1703537866
node_1,422.34062,1703537866
node_3,373.6367,1703537866
master,826.93672,1703537866
node_2,411.00626,1703537871
node_1,423.19138,1703537871
node_3,373.2086,1703537871
master,826.91408,1703537871
node_2,410.63986,1703537876
node_1,423.73672,1703537876
node_3,372.657,1703537876
master,826.98202,1703537876
node_2,410.77266,1703537881
node_1,424.27266,1703537881
node_3,372.28906,1703537881
master,827.08122,1703537881
node_2,410.35234,1703537886
node_1,425.26248,1703537886
node_3,371.65154,1703537886
master,827.1,1703537886
node_2,410.0969,1703537891
node_1,426.14766,1703537891
node_3,371.7672,1703537891
master,827.25702,1703537891
node_2,410.40472,1703537896
node_1,426.30626,1703537896
node_3,372.20236,1703537896
master,827.23596,1703537896
node_2,411.3281,1703537901
node_1,426.3008,1703537901
node_3,372.25154,1703537901
master,827.2148,1703537901
node_2,412.0242,1703537906
node_1,426.56332,1703537906
node_3,372.15156,1703537906
master,827.42814,1703537906
node_2,412.19142,1703537911
node_1,426.93828,1703537911
node_3,372.44062,1703537911
master,827.40386,1703537911
node_2,412.04768,1703537916
node_1,427.1836,1703537916
node_3,373.24768,1703537916
master,827.37812,1703537916
node_2,411.69142,1703537921
node_1,426.69844,1703537921
node_3,373.65392,1703537921
master,827.3594,1703537921
node_2,411.5578,1703537926
node_1,426.57266,1703537926
node_3,373.71016,1703537926
master,827.33826,1703537926
node_2,411.37112,1703537931
node_1,426.4117,1703537931
node_3,374.18204,1703537931
master,827.3125,1703537931
node_2,411.4297,1703537936
node_1,426.3172,1703537936
node_3,373.7336,1703537936
master,827.29144,1703537936
node_2,411.54842,1703537941
node_1,426.32892,1703537941
node_3,373.58282,1703537941
master,827.41794,1703537941
node_2,411.31876,1703537946
