hostname,value,timestamp
node_3,350.37498,1703020056
node_1,405.09294,1703020056
node_2,390.41094,1703020056
master,824.90544,1703020056
node_3,350.49452,1703020061
node_1,405.05234,1703020061
node_2,389.9195,1703020061
master,824.5164,1703020061
node_3,350.51016,1703020066
node_1,405.14686,1703020066
node_2,389.77814,1703020066
master,824.93982,1703020066
node_3,350.36796,1703020071
node_1,405.075,1703020071
node_2,389.45704,1703020071
master,824.97108,1703020071
node_3,350.06794,1703020076
node_1,405.04062,1703020076
node_2,389.68126,1703020076
master,824.96248,1703020076
node_3,350.0828,1703020081
node_1,405.80702,1703020081
node_2,389.81252,1703020081
master,825.10002,1703020081
node_3,350.02968,1703020086
node_1,405.17188,1703020086
node_2,389.69844,1703020086
master,825.31482,1703020086
node_3,350.1531,1703020091
node_1,404.78282,1703020091
node_2,389.6031,1703020091
master,825.06564,1703020091
node_3,350.42264,1703020096
node_1,404.57344,1703020096
node_2,389.53514,1703020096
master,824.87186,1703020096
node_3,350.67028,1703020101
node_1,404.61016,1703020101
node_2,389.21562,1703020101
master,825.06876,1703020101
node_3,350.58204,1703020106
node_1,405.02502,1703020106
node_2,388.80704,1703020106
master,825.1578,1703020106
node_3,350.61564,1703020111
node_1,405.12346,1703020111
node_2,388.76094,1703020111
master,825.26482,1703020111
node_3,350.62422,1703020116
node_1,405.23202,1703020116
node_2,388.95314,1703020116
master,825.02342,1703020116
node_3,350.7,1703020121
node_1,405.50862,1703020121
node_2,389.58512,1703020121
master,825.11952,1703020121
node_3,351.00154,1703020126
node_1,405.79924,1703020126
node_2,389.582,1703020126
master,825.2219,1703020126
node_3,350.90074,1703020131
node_1,405.42264,1703020131
node_2,389.57732,1703020131
master,824.98358,1703020131
node_3,351.12266,1703020136
node_1,405.39374,1703020136
node_2,389.8203,1703020136
master,824.97032,1703020136
node_3,351.03126,1703020141
node_1,405.05388,1703020141
node_2,390.3125,1703020141
master,824.9125,1703020141
node_3,350.84218,1703020146
node_1,404.89298,1703020146
node_2,390.54452,1703020146
master,824.87186,1703020146
node_3,350.49924,1703020151
node_1,404.56094,1703020151
node_2,390.50858,1703020151
master,825.08514,1703020151
node_3,350.175,1703020156
node_1,404.5445,1703020156
node_2,390.47032,1703020156
master,824.97734,1703020156
node_3,349.5211,1703020161
node_1,404.50076,1703020161
node_2,390.25622,1703020161
master,824.86954,1703020161
node_3,349.27422,1703020166
node_1,404.23282,1703020166
node_2,389.73748,1703020166
master,824.94064,1703020166
node_3,349.64686,1703020171
node_1,403.72344,1703020171
node_2,389.82344,1703020171
master,825.09996,1703020171
node_3,350.01796,1703020176
node_1,403.7961,1703020176
node_2,390.02108,1703020176
master,824.87032,1703020176
node_3,349.79686,1703020181
node_1,404.0742,1703020181
node_2,390.48592,1703020181
master,824.83124,1703020181
node_3,349.95548,1703020186
node_1,404.21484,1703020186
node_2,390.91252,1703020186
master,824.53516,1703020186
node_3,349.6117,1703020191
node_1,404.21486,1703020191
node_2,391.33362,1703020191
master,823.97816,1703020191
node_3,349.65706,1703020196
node_1,404.18048,1703020196
node_2,392.0969,1703020196
master,824.51954,1703020196
node_3,350.10858,1703020201
node_1,403.58046,1703020201
node_2,393.09218,1703020201
master,824.82184,1703020201
node_3,349.99374,1703020206
node_1,403.2828,1703020206
node_2,394.21094,1703020206
master,824.75546,1703020206
node_3,350.27028,1703020211
node_1,403.23826,1703020211
node_2,395.11328,1703020211
master,824.88122,1703020211
node_3,350.76016,1703020216
node_1,402.61952,1703020216
node_2,396.06486,1703020216
master,825.21092,1703020216
node_3,350.63438,1703020221
node_1,402.43124,1703020221
node_2,396.95624,1703020221
master,824.9547,1703020221
node_3,351.41486,1703020226
node_1,402.39378,1703020226
node_2,397.68046,1703020226
master,824.67814,1703020226
node_3,352.19762,1703020231
node_1,402.475,1703020231
node_2,397.91326,1703020231
master,824.4375,1703020231
node_3,352.59064,1703020236
node_1,402.29768,1703020236
node_2,397.75936,1703020236
master,823.75546,1703020236
node_3,352.00704,1703020241
node_1,402.08832,1703020241
node_2,397.74376,1703020241
master,824.3906,1703020241
node_3,352.13358,1703020246
node_1,401.94528,1703020246
node_2,397.7422,1703020246
master,823.43904,1703020246
node_3,352.24766,1703020251
node_1,401.14454,1703020251
node_2,397.7422,1703020251
master,821.7164,1703020251
node_3,352.34998,1703020256
node_1,400.2469,1703020256
node_2,397.73752,1703020256
master,822.36252,1703020256
node_3,352.2789,1703020261
node_1,400.11406,1703020261
node_2,397.7344,1703020261
master,822.99454,1703020261
node_3,352.18984,1703020266
node_1,400.26794,1703020266
node_2,397.78128,1703020266
master,823.525,1703020266
node_3,352.47576,1703020271
node_1,400.6836,1703020271
node_2,398.02268,1703020271
master,824.025,1703020271
node_3,352.5742,1703020276
node_1,401.1594,1703020276
node_2,398.31324,1703020276
master,824.65546,1703020276
node_3,352.96796,1703020281
node_1,401.68592,1703020281
node_2,398.60544,1703020281
master,824.98832,1703020281
node_3,353.05702,1703020286
node_1,401.75308,1703020286
node_2,398.6406,1703020286
master,824.91014,1703020286
node_3,352.8992,1703020291
node_1,401.67966,1703020291
node_2,398.41952,1703020291
master,824.86406,1703020291
node_3,353.175,1703020296
node_1,401.35234,1703020296
node_2,398.29848,1703020296
master,824.97656,1703020296
node_3,353.3523,1703020301
node_1,400.85782,1703020301
node_2,398.59064,1703020301
master,824.82658,1703020301
node_3,353.08122,1703020306
node_1,401.04924,1703020306
node_2,398.5859,1703020306
master,824.7305,1703020306
node_3,353.59138,1703020311
node_1,401.17894,1703020311
node_2,398.5859,1703020311
master,824.76642,1703020311
node_3,353.86562,1703020316
node_1,401.30704,1703020316
node_2,398.58434,1703020316
master,824.46406,1703020316
node_3,354.21796,1703020321
node_1,402.1008,1703020321
node_2,398.5781,1703020321
master,824.3039,1703020321
node_3,354.37656,1703020326
node_1,402.5383,1703020326
node_2,398.5781,1703020326
master,823.8125,1703020326
node_3,354.28988,1703020331
node_1,402.83752,1703020331
node_2,398.5781,1703020331
master,824.44374,1703020331
node_3,353.97108,1703020336
node_1,402.54376,1703020336
node_2,398.5781,1703020336
master,824.88906,1703020336
node_3,353.2055,1703020341
node_1,402.65312,1703020341
node_2,398.74998,1703020341
master,824.93674,1703020341
node_3,353.0922,1703020346
node_1,402.93126,1703020346
node_2,399.25312,1703020346
master,824.81252,1703020346
node_3,353.11956,1703020351
node_1,403.4547,1703020351
node_2,399.70236,1703020351
master,824.88596,1703020351
