hostname,value,timestamp,chart_family
node_2,0,1703024441,mmcblk0
node_3,0,1703024441,mmcblk0
node_1,0,1703024441,mmcblk0
master,3.2,1703024441,nvme0n1
master,3.2,1703024441,ubuntu--vg-ubuntu--lv
node_2,0.2,1703024446,mmcblk0
node_3,0,1703024446,mmcblk0
node_1,0,1703024446,mmcblk0
master,4,1703024446,nvme0n1
master,3.8,1703024446,ubuntu--vg-ubuntu--lv
node_2,1.4,1703024451,mmcblk0
node_3,0.2,1703024451,mmcblk0
node_1,0.6,1703024451,mmcblk0
master,4.2,1703024451,nvme0n1
master,4.2,1703024451,ubuntu--vg-ubuntu--lv
node_2,0.2,1703024456,mmcblk0
node_3,0.2,1703024456,mmcblk0
node_1,0,1703024456,mmcblk0
master,5,1703024456,nvme0n1
master,5,1703024456,ubuntu--vg-ubuntu--lv
node_2,0.4,1703024461,mmcblk0
node_3,0,1703024461,mmcblk0
node_1,0,1703024461,mmcblk0
master,3.6,1703024461,nvme0n1
master,3.6,1703024461,ubuntu--vg-ubuntu--lv
node_2,0,1703024466,mmcblk0
node_3,0.6,1703024466,mmcblk0
node_1,0.2,1703024466,mmcblk0
master,4.8,1703024466,nvme0n1
master,4.8,1703024466,ubuntu--vg-ubuntu--lv
node_2,0,1703024471,mmcblk0
node_3,0.6,1703024471,mmcblk0
node_1,0,1703024471,mmcblk0
master,3,1703024471,nvme0n1
master,3,1703024471,ubuntu--vg-ubuntu--lv
node_2,0.2,1703024476,mmcblk0
node_3,0,1703024476,mmcblk0
node_1,0.2,1703024476,mmcblk0
master,3.8,1703024476,nvme0n1
master,3.8,1703024476,ubuntu--vg-ubuntu--lv
node_2,1.8,1703024481,mmcblk0
node_3,0,1703024481,mmcblk0
node_1,0,1703024481,mmcblk0
master,2.6,1703024481,nvme0n1
master,2.6,1703024481,ubuntu--vg-ubuntu--lv
node_2,0.8,1703024486,mmcblk0
node_3,0,1703024486,mmcblk0
node_1,0.2,1703024486,mmcblk0
master,3.8,1703024486,nvme0n1
master,3.8,1703024486,ubuntu--vg-ubuntu--lv
node_2,0.4,1703024491,mmcblk0
node_3,0,1703024491,mmcblk0
node_1,0,1703024491,mmcblk0
master,2.8,1703024491,nvme0n1
master,2.8,1703024491,ubuntu--vg-ubuntu--lv
node_2,0,1703024496,mmcblk0
node_3,0,1703024496,mmcblk0
node_1,0,1703024496,mmcblk0
master,4.2,1703024496,nvme0n1
master,4.2,1703024496,ubuntu--vg-ubuntu--lv
