hostname,value,timestamp,id,name
node_2,11.0710741,1703024441,InOctets,received
node_2,-1290.7680626,1703024441,OutOctets,sent
node_3,10.7896081,1703024441,InOctets,received
node_3,-935.6527024,1703024441,OutOctets,sent
node_1,3.1252709,1703024441,InOctets,received
node_1,-885.388073,1703024441,OutOctets,sent
master,9.1800246,1703024441,InOctets,received
master,-1048.9490264,1703024441,OutOctets,sent
node_2,5.2656001,1703024446,InOctets,received
node_2,-1290.2096302,1703024446,OutOctets,sent
node_3,4.3094566,1703024446,InOctets,received
node_3,-934.4616987,1703024446,OutOctets,sent
node_1,15.2380259,1703024446,InOctets,received
node_1,-889.855,1703024446,OutOctets,sent
master,8.8593174,1703024446,InOctets,received
master,-1042.9552326,1703024446,OutOctets,sent
node_2,11.1760004,1703024451,InOctets,received
node_2,-1291.9376014,1703024451,OutOctets,sent
node_3,10.6969439,1703024451,InOctets,received
node_3,-936.4279094,1703024451,OutOctets,sent
node_1,7.0995719,1703024451,InOctets,received
node_1,-886.2587046,1703024451,OutOctets,sent
master,6.8000001,1703024451,InOctets,received
master,-1045.4176383,1703024451,OutOctets,sent
node_2,6.1463397,1703024456,InOctets,received
node_2,-1290.9318983,1703024456,OutOctets,sent
node_3,3.192,1703024456,InOctets,received
node_3,-933.496,1703024456,OutOctets,sent
node_1,8.1161528,1703024456,InOctets,received
node_1,-887.0237244,1703024456,OutOctets,sent
master,6.7782169,1703024456,InOctets,received
master,-1037.9149007,1703024456,OutOctets,sent
node_2,9.8927758,1703024461,InOctets,received
node_2,-1289.2812681,1703024461,OutOctets,sent
node_3,24.605464,1703024461,InOctets,received
node_3,-949.708876,1703024461,OutOctets,sent
node_1,10.6704255,1703024461,InOctets,received
node_1,-895.112402,1703024461,OutOctets,sent
master,22.0117251,1703024461,InOctets,received
master,-1063.2928219,1703024461,OutOctets,sent
node_2,6.0264853,1703024466,InOctets,received
node_2,-1292.8444941,1703024466,OutOctets,sent
node_3,6.6704561,1703024466,InOctets,received
node_3,-937.0849389,1703024466,OutOctets,sent
node_1,11.7935454,1703024466,InOctets,received
node_1,-887.3804692,1703024466,OutOctets,sent
master,9.2286329,1703024466,InOctets,received
master,-1041.8787372,1703024466,OutOctets,sent
node_2,9.7792004,1703024471,InOctets,received
node_2,-1289.8639779,1703024471,OutOctets,sent
node_3,10.6488778,1703024471,InOctets,received
node_3,-935.4478962,1703024471,OutOctets,sent
node_1,6.3990757,1703024471,InOctets,received
node_1,-885.4977967,1703024471,OutOctets,sent
master,6.8572712,1703024471,InOctets,received
master,-1048.1330316,1703024471,OutOctets,sent
node_2,6.1040002,1703024476,InOctets,received
node_2,-1290.7856,1703024476,OutOctets,sent
node_3,8.134233,1703024476,InOctets,received
node_3,-938.443188,1703024476,OutOctets,sent
node_1,9.1942706,1703024476,InOctets,received
node_1,-891.5977999,1703024476,OutOctets,sent
master,13.1264529,1703024476,InOctets,received
master,-1045.2741014,1703024476,OutOctets,sent
node_2,11.1456,1703024481,InOctets,received
node_2,-1291.5678772,1703024481,OutOctets,sent
node_3,15.4993657,1703024481,InOctets,received
node_3,-941.4176134,1703024481,OutOctets,sent
node_1,9.7225294,1703024481,InOctets,received
node_1,-889.326966,1703024481,OutOctets,sent
master,12.185605,1703024481,InOctets,received
master,-1055.7246626,1703024481,OutOctets,sent
node_2,4.9622627,1703024486,InOctets,received
node_2,-1289.9479049,1703024486,OutOctets,sent
node_3,3.5055999,1703024486,InOctets,received
node_3,-933.5631948,1703024486,OutOctets,sent
node_1,8.4881271,1703024486,InOctets,received
node_1,-887.402921,1703024486,OutOctets,sent
master,7.2017418,1703024486,InOctets,received
master,-1038.3426292,1703024486,OutOctets,sent
node_2,9.623337,1703024491,InOctets,received
node_2,-1289.304958,1703024491,OutOctets,sent
node_3,18.4337139,1703024491,InOctets,received
node_3,-943.1745188,1703024491,OutOctets,sent
node_1,8.142437,1703024491,InOctets,received
node_1,-890.048985,1703024491,OutOctets,sent
master,12.5497326,1703024491,InOctets,received
master,-1052.2860256,1703024491,OutOctets,sent
node_2,4.6460974,1703024496,InOctets,received
node_2,-1291.1942,1703024496,OutOctets,sent
node_3,3.7310847,1703024496,InOctets,received
node_3,-934.9023777,1703024496,OutOctets,sent
node_1,12.9818728,1703024496,InOctets,received
node_1,-888.1436696,1703024496,OutOctets,sent
master,8.4164164,1703024496,InOctets,received
master,-1041.3531086,1703024496,OutOctets,sent
node_2,8.9403154,1703024501,InOctets,received
node_2,-1289.912593,1703024501,OutOctets,sent
node_3,10.774401,1703024501,InOctets,received
node_3,-934.9775644,1703024501,OutOctets,sent
node_1,13.5852418,1703024501,InOctets,received
