hostname,value,timestamp,chart_family
master,3,1703027896,nvme0n1
master,3,1703027896,ubuntu--vg-ubuntu--lv
node_2,0,1703027896,mmcblk0
node_3,0,1703027896,mmcblk0
node_1,0.2,1703027896,mmcblk0
master,4,1703027901,nvme0n1
master,4,1703027901,ubuntu--vg-ubuntu--lv
node_2,0,1703027901,mmcblk0
node_3,0,1703027901,mmcblk0
node_1,0,1703027901,mmcblk0
master,3,1703027906,nvme0n1
master,3,1703027906,ubuntu--vg-ubuntu--lv
node_2,1.4,1703027906,mmcblk0
node_3,0.4,1703027906,mmcblk0
node_1,0.2,1703027906,mmcblk0
master,3.8,1703027911,nvme0n1
master,3.8,1703027911,ubuntu--vg-ubuntu--lv
node_2,0.4,1703027911,mmcblk0
node_3,0.8,1703027911,mmcblk0
node_1,0,1703027911,mmcblk0
master,3,1703027916,nvme0n1
master,3,1703027916,ubuntu--vg-ubuntu--lv
node_2,0.6,1703027916,mmcblk0
node_3,0.4,1703027916,mmcblk0
node_1,0,1703027916,mmcblk0
master,4,1703027921,nvme0n1
master,4,1703027921,ubuntu--vg-ubuntu--lv
node_2,0.8,1703027921,mmcblk0
node_3,2.2,1703027921,mmcblk0
node_1,0,1703027921,mmcblk0
master,2.6,1703027926,nvme0n1
master,2.6,1703027926,ubuntu--vg-ubuntu--lv
node_2,0.2,1703027926,mmcblk0
node_3,0,1703027926,mmcblk0
node_1,0.2,1703027926,mmcblk0
master,4,1703027931,nvme0n1
master,4,1703027931,ubuntu--vg-ubuntu--lv
node_2,0.4,1703027931,mmcblk0
node_3,2,1703027931,mmcblk0
node_1,0.2,1703027931,mmcblk0
master,2.4,1703027936,nvme0n1
master,2.4,1703027936,ubuntu--vg-ubuntu--lv
node_2,0,1703027936,mmcblk0
node_3,0.2,1703027936,mmcblk0
node_1,0,1703027936,mmcblk0
master,3.4,1703027941,nvme0n1
master,3.4,1703027941,ubuntu--vg-ubuntu--lv
node_2,0.8,1703027941,mmcblk0
node_3,0,1703027941,mmcblk0
node_1,0,1703027941,mmcblk0
master,2.8,1703027946,nvme0n1
master,2.8,1703027946,ubuntu--vg-ubuntu--lv
node_2,0.6,1703027946,mmcblk0
node_3,0.4,1703027946,mmcblk0
node_1,0.6,1703027946,mmcblk0
master,3.2,1703027951,nvme0n1
master,3.2,1703027951,ubuntu--vg-ubuntu--lv
node_2,0.8,1703027951,mmcblk0
node_3,0,1703027951,mmcblk0
node_1,0.2,1703027951,mmcblk0
master,2.6,1703027956,nvme0n1
master,2.6,1703027956,ubuntu--vg-ubuntu--lv
node_2,0,1703027956,mmcblk0
node_3,0,1703027956,mmcblk0
node_1,0,1703027956,mmcblk0
master,3.6,1703027961,nvme0n1
master,3.6,1703027961,ubuntu--vg-ubuntu--lv
node_2,0,1703027961,mmcblk0
node_3,0.6,1703027961,mmcblk0
node_1,0,1703027961,mmcblk0
master,2.6,1703027966,nvme0n1
master,2.6,1703027966,ubuntu--vg-ubuntu--lv
node_2,0.8,1703027966,mmcblk0
node_3,0.4,1703027966,mmcblk0
node_1,0,1703027966,mmcblk0
master,4,1703027971,nvme0n1
master,4,1703027971,ubuntu--vg-ubuntu--lv
node_2,0.2,1703027971,mmcblk0
node_3,0.4,1703027971,mmcblk0
node_1,0.2,1703027971,mmcblk0
master,2.6,1703027976,nvme0n1
master,2.6,1703027976,ubuntu--vg-ubuntu--lv
node_2,0.8,1703027976,mmcblk0
node_3,0.6,1703027976,mmcblk0
node_1,0,1703027976,mmcblk0
master,3.6,1703027981,nvme0n1
master,3.6,1703027981,ubuntu--vg-ubuntu--lv
node_2,0,1703027981,mmcblk0
node_3,0,1703027981,mmcblk0
node_1,0,1703027981,mmcblk0
master,2.2,1703027986,nvme0n1
master,2.2,1703027986,ubuntu--vg-ubuntu--lv
node_2,0,1703027986,mmcblk0
node_3,0,1703027986,mmcblk0
node_1,0,1703027986,mmcblk0
master,4.2,1703027991,nvme0n1
master,4.2,1703027991,ubuntu--vg-ubuntu--lv
node_2,0,1703027991,mmcblk0
node_3,0,1703027991,mmcblk0
node_1,0,1703027991,mmcblk0
master,2.8,1703027996,nvme0n1
master,2.8,1703027996,ubuntu--vg-ubuntu--lv
node_2,0,1703027996,mmcblk0
node_3,0,1703027996,mmcblk0
node_1,0,1703027996,mmcblk0
master,3.2,1703028001,nvme0n1
master,3.2,1703028001,ubuntu--vg-ubuntu--lv
node_2,0.2,1703028001,mmcblk0
node_3,0,1703028001,mmcblk0
node_1,0,1703028001,mmcblk0
master,2.6,1703028006,nvme0n1
master,2.6,1703028006,ubuntu--vg-ubuntu--lv
node_2,0,1703028006,mmcblk0
node_3,0.2,1703028006,mmcblk0
node_1,0,1703028006,mmcblk0
master,3.8,1703028011,nvme0n1
master,3.8,1703028011,ubuntu--vg-ubuntu--lv
node_2,0,1703028011,mmcblk0
node_3,0.2,1703028011,mmcblk0
node_1,0,1703028011,mmcblk0
master,2.6,1703028016,nvme0n1
master,2.6,1703028016,ubuntu--vg-ubuntu--lv
node_2,0,1703028016,mmcblk0
node_3,0.2,1703028016,mmcblk0
node_1,0,1703028016,mmcblk0
master,4,1703028021,nvme0n1
master,4,1703028021,ubuntu--vg-ubuntu--lv
node_2,0.2,1703028021,mmcblk0
node_3,0.8,1703028021,mmcblk0
node_1,0.2,1703028021,mmcblk0
master,2.4,1703028026,nvme0n1
master,2.4,1703028026,ubuntu--vg-ubuntu--lv
node_2,0.4,1703028026,mmcblk0
node_3,0,1703028026,mmcblk0
node_1,0,1703028026,mmcblk0
master,3.4,1703028031,nvme0n1
master,3.4,1703028031,ubuntu--vg-ubuntu--lv
node_2,1.2,1703028031,mmcblk0
node_3,0,1703028031,mmcblk0
node_1,0,1703028031,mmcblk0
master,2.8,1703028036,nvme0n1
master,2.8,1703028036,ubuntu--vg-ubuntu--lv
node_2,0,1703028036,mmcblk0
node_3,0,1703028036,mmcblk0
node_1,0,1703028036,mmcblk0
master,4.4,1703028041,nvme0n1
master,4.4,1703028041,ubuntu--vg-ubuntu--lv
node_2,0,1703028041,mmcblk0
node_3,0,1703028041,mmcblk0
node_1,0,1703028041,mmcblk0
master,2.8,1703028046,nvme0n1
master,2.8,1703028046,ubuntu--vg-ubuntu--lv
node_2,0.2,1703028046,mmcblk0
node_3,0.4,1703028046,mmcblk0
node_1,0,1703028046,mmcblk0
master,3.2,1703028051,nvme0n1
master,3.2,1703028051,ubuntu--vg-ubuntu--lv
node_2,0,1703028051,mmcblk0
node_3,0,1703028051,mmcblk0
node_1,0,1703028051,mmcblk0
master,3.4,1703028056,nvme0n1
master,3.4,1703028056,ubuntu--vg-ubuntu--lv
node_2,0.4,1703028056,mmcblk0
node_3,0.2,1703028056,mmcblk0
node_1,0.2,1703028056,mmcblk0
master,4.2,1703028061,nvme0n1
master,4.2,1703028061,ubuntu--vg-ubuntu--lv
node_2,0.8,1703028061,mmcblk0
node_3,0,1703028061,mmcblk0
node_1,0,1703028061,mmcblk0
master,4.2,1703028066,nvme0n1
master,4.2,1703028066,ubuntu--vg-ubuntu--lv
node_2,0,1703028066,mmcblk0
node_3,0,1703028066,mmcblk0
node_1,0,1703028066,mmcblk0
master,4.6,1703028071,nvme0n1
master,4.6,1703028071,ubuntu--vg-ubuntu--lv
node_2,0,1703028071,mmcblk0
node_3,0,1703028071,mmcblk0
node_1,0,1703028071,mmcblk0
master,4.2,1703028076,nvme0n1
master,4.2,1703028076,ubuntu--vg-ubuntu--lv
node_2,0,1703028076,mmcblk0
node_3,0,1703028076,mmcblk0
node_1,0.2,1703028076,mmcblk0
master,4.6,1703028081,nvme0n1
master,4.6,1703028081,ubuntu--vg-ubuntu--lv
node_2,0,1703028081,mmcblk0
node_3,0,1703028081,mmcblk0
node_1,0,1703028081,mmcblk0
master,4,1703028086,nvme0n1
master,4,1703028086,ubuntu--vg-ubuntu--lv
node_2,0,1703028086,mmcblk0
node_3,0.2,1703028086,mmcblk0
node_1,0,1703028086,mmcblk0
master,4,1703028091,nvme0n1
