hostname,value,timestamp,chart_family
master,2.8,1703031331,nvme0n1
master,2.8,1703031331,ubuntu--vg-ubuntu--lv
node_3,0,1703031331,mmcblk0
node_2,0,1703031331,mmcblk0
node_1,0.2,1703031331,mmcblk0
master,3.2,1703031336,nvme0n1
master,3.2,1703031336,ubuntu--vg-ubuntu--lv
node_3,0,1703031336,mmcblk0
node_2,0.4,1703031336,mmcblk0
node_1,0,1703031336,mmcblk0
master,5.4,1703031341,nvme0n1
master,5.4,1703031341,ubuntu--vg-ubuntu--lv
node_3,0,1703031341,mmcblk0
node_2,0.4,1703031341,mmcblk0
node_1,0.2,1703031341,mmcblk0
master,3,1703031346,nvme0n1
master,3,1703031346,ubuntu--vg-ubuntu--lv
node_3,0,1703031346,mmcblk0
node_2,1.2,1703031346,mmcblk0
node_1,0,1703031346,mmcblk0
master,5,1703031351,nvme0n1
master,5,1703031351,ubuntu--vg-ubuntu--lv
node_3,0,1703031351,mmcblk0
node_2,0,1703031351,mmcblk0
node_1,0,1703031351,mmcblk0
master,4,1703031356,nvme0n1
master,4,1703031356,ubuntu--vg-ubuntu--lv
node_3,0,1703031356,mmcblk0
node_2,0,1703031356,mmcblk0
node_1,0,1703031356,mmcblk0
master,4.8,1703031361,nvme0n1
master,4.8,1703031361,ubuntu--vg-ubuntu--lv
node_3,0.4,1703031361,mmcblk0
node_2,0,1703031361,mmcblk0
node_1,0.2,1703031361,mmcblk0
master,4,1703031366,nvme0n1
master,4,1703031366,ubuntu--vg-ubuntu--lv
node_3,0.2,1703031366,mmcblk0
node_2,1.2,1703031366,mmcblk0
node_1,0,1703031366,mmcblk0
master,4.2,1703031371,nvme0n1
master,4.2,1703031371,ubuntu--vg-ubuntu--lv
node_3,0.6,1703031371,mmcblk0
node_2,0,1703031371,mmcblk0
node_1,0,1703031371,mmcblk0
master,3.6,1703031376,nvme0n1
master,3.6,1703031376,ubuntu--vg-ubuntu--lv
node_3,0.2,1703031376,mmcblk0
node_2,0,1703031376,mmcblk0
node_1,0.2,1703031376,mmcblk0
master,3.4,1703031381,nvme0n1
master,3.4,1703031381,ubuntu--vg-ubuntu--lv
node_3,0.4,1703031381,mmcblk0
node_2,0,1703031381,mmcblk0
node_1,0,1703031381,mmcblk0
master,4.4,1703031386,nvme0n1
master,4.4,1703031386,ubuntu--vg-ubuntu--lv
node_3,0,1703031386,mmcblk0
node_2,0,1703031386,mmcblk0
node_1,0,1703031386,mmcblk0
master,3.8,1703031391,nvme0n1
master,3.8,1703031391,ubuntu--vg-ubuntu--lv
node_3,0,1703031391,mmcblk0
node_2,0.2,1703031391,mmcblk0
node_1,0,1703031391,mmcblk0
master,3.8,1703031396,nvme0n1
master,3.8,1703031396,ubuntu--vg-ubuntu--lv
node_3,0.4,1703031396,mmcblk0
node_2,0.4,1703031396,mmcblk0
node_1,0.2,1703031396,mmcblk0
master,4,1703031401,nvme0n1
master,4,1703031401,ubuntu--vg-ubuntu--lv
node_3,0,1703031401,mmcblk0
node_2,0,1703031401,mmcblk0
node_1,0,1703031401,mmcblk0
master,4.2,1703031406,nvme0n1
master,4.2,1703031406,ubuntu--vg-ubuntu--lv
node_3,0.2,1703031406,mmcblk0
node_2,0.6,1703031406,mmcblk0
node_1,0,1703031406,mmcblk0
master,3.2,1703031411,nvme0n1
master,3.2,1703031411,ubuntu--vg-ubuntu--lv
node_3,0.6,1703031411,mmcblk0
node_2,0,1703031411,mmcblk0
node_1,0,1703031411,mmcblk0
master,3.4,1703031416,nvme0n1
master,3.4,1703031416,ubuntu--vg-ubuntu--lv
node_3,0.4,1703031416,mmcblk0
node_2,0,1703031416,mmcblk0
node_1,0,1703031416,mmcblk0
master,3.4,1703031421,nvme0n1
master,3.4,1703031421,ubuntu--vg-ubuntu--lv
node_3,0,1703031421,mmcblk0
node_2,0,1703031421,mmcblk0
node_1,0,1703031421,mmcblk0
master,4,1703031426,nvme0n1
master,4,1703031426,ubuntu--vg-ubuntu--lv
node_3,0.4,1703031426,mmcblk0
node_2,0,1703031426,mmcblk0
node_1,0,1703031426,mmcblk0
master,2.8,1703031431,nvme0n1
master,2.8,1703031431,ubuntu--vg-ubuntu--lv
node_3,0.2,1703031431,mmcblk0
node_2,1.6,1703031431,mmcblk0
node_1,1,1703031431,mmcblk0
master,4.2,1703031436,nvme0n1
master,4.2,1703031436,ubuntu--vg-ubuntu--lv
node_3,2,1703031436,mmcblk0
node_2,0.2,1703031436,mmcblk0
node_1,0.2,1703031436,mmcblk0
master,3.4,1703031441,nvme0n1
master,3.4,1703031441,ubuntu--vg-ubuntu--lv
node_3,0,1703031441,mmcblk0
node_2,0.2,1703031441,mmcblk0
node_1,0.2,1703031441,mmcblk0
master,5.6,1703031446,nvme0n1
master,5.6,1703031446,ubuntu--vg-ubuntu--lv
node_3,0,1703031446,mmcblk0
node_2,0,1703031446,mmcblk0
node_1,0,1703031446,mmcblk0
master,4,1703031451,nvme0n1
master,4,1703031451,ubuntu--vg-ubuntu--lv
node_3,0,1703031451,mmcblk0
node_2,0,1703031451,mmcblk0
node_1,0,1703031451,mmcblk0
master,5,1703031456,nvme0n1
master,5,1703031456,ubuntu--vg-ubuntu--lv
node_3,1.2,1703031456,mmcblk0
node_2,0.2,1703031456,mmcblk0
node_1,0,1703031456,mmcblk0
master,3.8,1703031461,nvme0n1
master,3.8,1703031461,ubuntu--vg-ubuntu--lv
node_3,0.6,1703031461,mmcblk0
node_2,0.4,1703031461,mmcblk0
node_1,0.2,1703031461,mmcblk0
master,3.6,1703031466,nvme0n1
master,3.6,1703031466,ubuntu--vg-ubuntu--lv
node_3,0.6,1703031466,mmcblk0
node_2,1.2,1703031466,mmcblk0
node_1,0.4,1703031466,mmcblk0
master,3,1703031471,nvme0n1
master,3,1703031471,ubuntu--vg-ubuntu--lv
node_3,0,1703031471,mmcblk0
