hostname,value,timestamp,id,name
master,12.5271694,1703031331,InOctets,received
master,-1083.7065894,1703031331,OutOctets,sent
node_3,15.9944844,1703031331,InOctets,received
node_3,-966.7256452,1703031331,OutOctets,sent
node_2,7.1996125,1703031331,InOctets,received
node_2,-1324.3075251,1703031331,OutOctets,sent
node_1,18.070398,1703031331,InOctets,received
node_1,-917.146532,1703031331,OutOctets,sent
master,10.8020397,1703031336,InOctets,received
master,-1118.021571,1703031336,OutOctets,sent
node_3,16.163206,1703031336,InOctets,received
node_3,-965.7677806,1703031336,OutOctets,sent
node_2,28.4840802,1703031336,InOctets,received
node_2,-1326.4314,1703031336,OutOctets,sent
node_1,19.959472,1703031336,InOctets,received
node_1,-915.8718018,1703031336,OutOctets,sent
master,10.6455442,1703031341,InOctets,received
master,-1108.7517646,1703031341,OutOctets,sent
node_3,16.288295,1703031341,InOctets,received
node_3,-963.2754576,1703031341,OutOctets,sent
node_2,18.3751196,1703031341,InOctets,received
node_2,-1325.3845676,1703031341,OutOctets,sent
node_1,17.5097272,1703031341,InOctets,received
node_1,-914.9099732,1703031341,OutOctets,sent
master,17.3525222,1703031346,InOctets,received
master,-1078.4997566,1703031346,OutOctets,sent
node_3,14.768122,1703031346,InOctets,received
node_3,-972.4549054,1703031346,OutOctets,sent
node_2,3.4512,1703031346,InOctets,received
node_2,-1322.7472,1703031346,OutOctets,sent
node_1,8.3895492,1703031346,InOctets,received
node_1,-923.417226,1703031346,OutOctets,sent
master,7.415213,1703031351,InOctets,received
master,-1084.1437034,1703031351,OutOctets,sent
node_3,9.6662826,1703031351,InOctets,received
node_3,-962.7384668,1703031351,OutOctets,sent
node_2,11.4655998,1703031351,InOctets,received
node_2,-1326.4304,1703031351,OutOctets,sent
node_1,13.1540527,1703031351,InOctets,received
node_1,-914.2223634,1703031351,OutOctets,sent
master,6.7369799,1703031356,InOctets,received
master,-1066.2735666,1703031356,OutOctets,sent
node_3,4.0795847,1703031356,InOctets,received
node_3,-961.4968274,1703031356,OutOctets,sent
node_2,3.9215999,1703031356,InOctets,received
node_2,-1323.5326946,1703031356,OutOctets,sent
node_1,5.1535662,1703031356,InOctets,received
node_1,-915.2386044,1703031356,OutOctets,sent
master,12.9425104,1703031361,InOctets,received
master,-1088.000548,1703031361,OutOctets,sent
node_3,16.4353464,1703031361,InOctets,received
node_3,-968.6737999,1703031361,OutOctets,sent
node_2,11.2856562,1703031361,InOctets,received
node_2,-1324.6422,1703031361,OutOctets,sent
node_1,13.0424649,1703031361,InOctets,received
node_1,-919.1779507,1703031361,OutOctets,sent
master,9.7340866,1703031366,InOctets,received
master,-1068.7168332,1703031366,OutOctets,sent
node_3,7.4700825,1703031366,InOctets,received
node_3,-964.8347273,1703031366,OutOctets,sent
node_2,5.1498779,1703031366,InOctets,received
node_2,-1325.3278899,1703031366,OutOctets,sent
node_1,9.276046,1703031366,InOctets,received
node_1,-916.7514217,1703031366,OutOctets,sent
