hostname,value,timestamp
node_2,89.333766,1703679421
master,97.332326,1703679421
node_1,83.514228,1703679421
node_3,91.357058,1703679421
node_2,95.04585,1703679426
master,98.676754,1703679426
node_1,96.25452,1703679426
node_3,95.51061,1703679426
node_2,96.364504,1703679431
master,99.563644,1703679431
node_1,96.868732,1703679431
node_3,97.883728,1703679431
node_2,95.917836,1703679436
master,99.513674,1703679436
node_1,96.37373,1703679436
node_3,96.62823,1703679436
node_2,95.308566,1703679441
master,99.378628,1703679441
node_1,96.102776,1703679441
node_3,96.645456,1703679441
node_2,95.47973,1703679446
master,99.5129,1703679446
node_1,96.578578,1703679446
node_3,97.137772,1703679446
node_2,96.723626,1703679451
master,99.34589,1703679451
node_1,96.722356,1703679451
node_3,97.64007,1703679451
node_2,95.802788,1703679456
master,99.546486,1703679456
node_1,95.763148,1703679456
node_3,96.428284,1703679456
node_2,96.468954,1703679461
master,99.463536,1703679461
node_1,96.86863,1703679461
node_3,97.686664,1703679461
node_2,96.215928,1703679466
master,99.597272,1703679466
node_1,96.269108,1703679466
node_3,97.185246,1703679466
node_2,96.356946,1703679471
master,99.513716,1703679471
node_1,96.37212,1703679471
node_3,97.535248,1703679471
node_2,95.826522,1703679476
master,99.56363,1703679476
node_1,95.97112,1703679476
node_3,96.985662,1703679476
node_2,95.863308,1703679481
master,99.54712,1703679481
node_1,97.012886,1703679481
node_3,97.58233,1703679481
node_2,95.806624,1703679486
master,99.597172,1703679486
node_1,95.662964,1703679486
node_3,95.316196,1703679486
node_2,95.137936,1703679491
master,99.446742,1703679491
node_1,96.04809,1703679491
node_3,96.57259,1703679491
node_2,95.42808,1703679496
master,99.580608,1703679496
node_1,96.12795,1703679496
node_3,96.43422,1703679496
node_2,96.163338,1703679501
master,99.430008,1703679501
node_1,95.57389,1703679501
node_3,96.575766,1703679501
node_2,95.714054,1703679506
master,99.379738,1703679506
node_1,96.206828,1703679506
node_3,96.773758,1703679506
node_2,95.729736,1703679511
master,99.462946,1703679511
node_1,96.823602,1703679511
node_3,97.543978,1703679511
node_2,96.410514,1703679516
master,99.546584,1703679516
node_1,96.320336,1703679516
node_3,96.779334,1703679516
node_2,96.268426,1703679521
master,99.480552,1703679521
node_1,96.117472,1703679521
node_3,97.437686,1703679521
node_2,96.81586,1703679526
master,99.530002,1703679526
node_1,96.321112,1703679526
node_3,97.33287,1703679526
node_2,95.814052,1703679531
master,99.362934,1703679531
node_1,96.460282,1703679531
node_3,97.281436,1703679531
node_2,96.26397,1703679536
master,99.529962,1703679536
node_1,96.163396,1703679536
node_3,97.032644,1703679536
node_2,96.069882,1703679541
master,99.446292,1703679541
node_1,96.617814,1703679541
node_3,97.740788,1703679541
node_2,96.126314,1703679546
master,99.530552,1703679546
node_1,96.165604,1703679546
node_3,96.57683,1703679546
node_2,95.022308,1703679551
master,99.429756,1703679551
node_1,96.382906,1703679551
node_3,97.292794,1703679551
node_2,96.723252,1703679556
master,99.564024,1703679556
node_1,96.667162,1703679556
node_3,96.987646,1703679556
node_2,96.554442,1703679561
master,99.396072,1703679561
node_1,95.77493,1703679561
node_3,97.23728,1703679561
node_2,94.369364,1703679566
master,99.580776,1703679566
node_1,96.5665,1703679566
node_3,97.090774,1703679566
node_2,96.567286,1703679571
master,99.563478,1703679571
node_1,97.071792,1703679571
node_3,97.890928,1703679571
node_2,95.865674,1703679576
master,99.63076,1703679576
node_1,95.727876,1703679576
node_3,96.782642,1703679576
node_2,96.473782,1703679581
master,99.496784,1703679581
node_1,97.024386,1703679581
node_3,97.246214,1703679581
node_2,96.260954,1703679586
master,99.513744,1703679586
node_1,94.819882,1703679586
node_3,96.689832,1703679586
node_2,96.01096,1703679591
master,99.496812,1703679591
node_1,96.067208,1703679591
node_3,97.336784,1703679591
node_2,96.020774,1703679596
master,99.630576,1703679596
node_1,96.214876,1703679596
node_3,96.880846,1703679596
node_2,96.66817,1703679601
master,99.39673,1703679601
node_1,96.677016,1703679601
node_3,98.039942,1703679601
node_2,95.710406,1703679606
master,99.547472,1703679606
node_1,96.263602,1703679606
node_3,96.43086,1703679606
node_2,96.055432,1703679611
master,99.446532,1703679611
node_1,97.024506,1703679611
node_3,97.232752,1703679611
node_2,95.719128,1703679616
master,99.513184,1703679616
node_1,96.269786,1703679616
