4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1703.89          ---          ---        10.66826         9.72700        21.11900        38.65500       131.26 
Gets        17037.31         7.33     17029.98        10.66188         9.72700        21.11900        38.39900       663.89 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      18741.20         7.33     17029.98        10.66246         9.72700        21.11900        38.39900       795.15 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.183        0.000
SET       8.639        5.000
SET       9.087       10.000
SET       9.279       15.000
SET       9.343       20.000
SET       9.471       25.000
SET       9.535       30.000
SET       9.599       35.000
SET       9.599       40.000
SET       9.663       45.000
SET       9.727       50.000
SET       9.727       52.500
SET       9.791       55.000
SET       9.791       57.500
SET       9.855       60.000
SET       9.855       62.500
SET       9.919       65.000
SET       9.919       67.500
SET       9.983       70.000
SET      10.047       72.500
SET      10.111       75.000
SET      10.175       76.250
SET      10.239       77.500
SET      10.303       78.750
SET      10.431       80.000
SET      10.559       81.250
SET      10.815       82.500
SET      11.135       83.750
SET      11.519       85.000
SET      11.903       86.250
SET      12.351       87.500
SET      12.543       88.125
SET      12.863       88.750
SET      13.247       89.375
SET      14.079       90.000
SET      15.487       90.625
SET      16.767       91.250
SET      17.407       91.875
SET      17.919       92.500
SET      18.303       93.125
SET      18.559       93.750
SET      18.687       94.062
SET      18.687       94.375
SET      18.815       94.688
SET      18.943       95.000
SET      19.071       95.312
SET      19.071       95.625
SET      19.199       95.938
SET      19.327       96.250
SET      19.327       96.562
SET      19.455       96.875
SET      19.455       97.031
SET      19.583       97.188
SET      19.583       97.344
SET      19.711       97.500
SET      19.711       97.656
SET      19.839       97.812
SET      19.839       97.969
SET      19.967       98.125
SET      19.967       98.281
SET      20.095       98.438
SET      20.223       98.516
SET      20.223       98.594
SET      20.351       98.672
SET      20.479       98.750
SET      20.607       98.828
SET      20.735       98.906
SET      21.119       98.984
SET      21.503       99.062
SET      22.015       99.141
SET      22.527       99.219
SET      22.911       99.258
SET      23.167       99.297
SET      23.551       99.336
SET      23.935       99.375
