hostname,value,timestamp,chart_family
master,10.8,1696249866,nvme0n1
master,10.8,1696249866,ubuntu--vg-ubuntu--lv
node_1,7.8,1696249866,mmcblk0
node_2,11.8,1696249866,mmcblk0
node_3,6.2,1696249866,mmcblk0
master,0.4,1696249871,nvme0n1
master,0.4,1696249871,ubuntu--vg-ubuntu--lv
node_1,7.4,1696249871,mmcblk0
node_2,1.8,1696249871,mmcblk0
node_3,19.8,1696249871,mmcblk0
master,0,1696249876,nvme0n1
master,0,1696249876,ubuntu--vg-ubuntu--lv
node_2,11,1696249876,mmcblk0
node_1,3.6,1696249876,mmcblk0
node_3,12.4,1696249876,mmcblk0
master,0.2,1696249881,nvme0n1
master,0.2,1696249881,ubuntu--vg-ubuntu--lv
node_2,9.8,1696249881,mmcblk0
node_1,6,1696249881,mmcblk0
node_3,22,1696249881,mmcblk0
master,0.6,1696249886,nvme0n1
master,0.6,1696249886,ubuntu--vg-ubuntu--lv
node_2,2.4,1696249886,mmcblk0
node_1,2.6,1696249886,mmcblk0
node_3,3.6,1696249886,mmcblk0
master,1.2,1696249891,nvme0n1
master,1.2,1696249891,ubuntu--vg-ubuntu--lv
node_2,12.6,1696249891,mmcblk0
node_1,6.2,1696249891,mmcblk0
node_3,21.2,1696249891,mmcblk0
master,8.4,1696249896,nvme0n1
master,8.4,1696249896,ubuntu--vg-ubuntu--lv
node_2,0.4,1696249896,mmcblk0
node_1,3.2,1696249896,mmcblk0
node_3,3,1696249896,mmcblk0
master,2.2,1696249901,nvme0n1
master,2.2,1696249901,ubuntu--vg-ubuntu--lv
node_2,12.2,1696249901,mmcblk0
node_1,7.6,1696249901,mmcblk0
node_3,14.2,1696249901,mmcblk0
master,42.8,1696249906,nvme0n1
master,42.8,1696249906,ubuntu--vg-ubuntu--lv
node_2,1.6,1696249906,mmcblk0
node_1,1,1696249906,mmcblk0
node_3,12.4,1696249906,mmcblk0
master,0.6,1696249911,nvme0n1
master,0.6,1696249911,ubuntu--vg-ubuntu--lv
node_2,11,1696249911,mmcblk0
node_1,8,1696249911,mmcblk0
node_3,4.4,1696249911,mmcblk0
master,0.8,1696249916,nvme0n1
master,0.8,1696249916,ubuntu--vg-ubuntu--lv
node_2,1.8,1696249916,mmcblk0
node_1,7,1696249916,mmcblk0
node_3,17.6,1696249916,mmcblk0
master,1,1696249921,nvme0n1
master,1,1696249921,ubuntu--vg-ubuntu--lv
node_2,12.4,1696249921,mmcblk0
node_1,3.2,1696249921,mmcblk0
node_3,2.8,1696249921,mmcblk0
master,3.8,1696249926,nvme0n1
master,3.8,1696249926,ubuntu--vg-ubuntu--lv
