hostname,value,timestamp
master,1475.78668,1696164296
node_3,225.4617,1696164296
node_2,234.10468,1696164296
node_1,223.86484,1696164296
master,1477.34374,1696164301
node_3,235.50158,1696164301
node_2,249.1289,1696164301
node_1,230.89218,1696164301
master,1477.15624,1696164306
node_3,233.98204,1696164306
node_2,237.38126,1696164306
node_1,218.9297,1696164306
master,1477.64534,1696164311
node_3,228.93204,1696164311
node_2,245.35622,1696164311
node_1,228.53516,1696164311
master,1480.91562,1696164316
node_3,239.3461,1696164316
node_2,242.27032,1696164316
node_1,217.40938,1696164316
master,1488.2242,1696164321
node_3,221.1711,1696164321
node_2,233.43752,1696164321
node_1,226.42268,1696164321
master,1491.46016,1696164326
node_3,243.02502,1696164326
node_2,242.87892,1696164326
node_1,223.10702,1696164326
master,1480.48906,1696164331
node_3,223.4719,1696164331
node_2,231.65236,1696164331
node_1,222.72186,1696164331
master,1481.64688,1696164336
node_3,235.01174,1696164336
node_2,251.1086,1696164336
node_1,231.91406,1696164336
master,1482.26874,1696164341
node_3,226.24296,1696164341
node_2,230.81328,1696164341
node_1,211.09296,1696164341
master,1496.16014,1696164346
node_3,237.35314,1696164346
node_2,248.3836,1696164346
node_1,224.1875,1696164346
master,1497.89062,1696164351
node_3,234.42108,1696164351
node_2,233.20002,1696164351
node_1,206.97034,1696164351
master,1483.8922,1696164356
node_3,233.33906,1696164356
node_2,247.34532,1696164356
node_1,227.8086,1696164356
master,1483.90858,1696164361
node_3,241.04298,1696164361
node_2,236.1383,1696164361
node_1,217.68984,1696164361
master,1551.44142,1696164366
node_3,222.5039,1696164366
node_2,248.70312,1696164366
node_1,227.52266,1696164366
master,1441.96798,1696164371
node_3,241.15078,1696164371
node_2,238.01716,1696164371
node_1,223.02344,1696164371
master,1466.07346,1696164376
node_3,225.01952,1696164376
node_2,244.65544,1696164376
node_1,230.21014,1696164376
master,1476.32736,1696164381
node_3,238.03906,1696164381
node_2,241.6094,1696164381
node_1,231.00312,1696164381
master,1485.84844,1696164386
node_3,223.1133,1696164386
node_2,239.04686,1696164386
node_1,225.7375,1696164386
master,1476.16328,1696164391
node_3,237.55704,1696164391
node_2,247.78516,1696164391
node_1,232.61016,1696164391
master,1462.46642,1696164396
node_3,236.16406,1696164396
node_2,236.17498,1696164396
node_1,218.05858,1696164396
master,1458.1586,1696164401
node_3,234.53596,1696164401
node_2,247.62734,1696164401
node_1,229.46016,1696164401
master,1457.57888,1696164406
node_3,244.9508,1696164406
node_2,234.88982,1696164406
node_1,213.18672,1696164406
master,1457.33282,1696164411
node_3,230.08828,1696164411
node_2,250.46406,1696164411
node_1,230.82888,1696164411
master,1458.89922,1696164416
node_3,241.99142,1696164416
node_2,230.48126,1696164416
node_1,226.40622,1696164416
master,1459.36642,1696164421
node_3,227.2211,1696164421
node_2,247.80626,1696164421
node_1,228.42346,1696164421
master,1459.8125,1696164426
node_3,240.43516,1696164426
node_2,237.39764,1696164426
node_1,238.85078,1696164426
master,1461.60002,1696164431
node_3,228.46328,1696164431
node_2,245.03906,1696164431
node_1,223.87188,1696164431
master,1433.19376,1696164436
node_3,237.0391,1696164436
node_2,240.97576,1696164436
node_1,237.70862,1696164436
master,1454.65312,1696164441
node_3,234.9133,1696164441
node_2,244.4133,1696164441
node_1,222.5297,1696164441
master,1456.83594,1696164446
node_3,230.64296,1696164446
node_2,241.79376,1696164446
node_1,238.18358,1696164446
master,1461.35312,1696164451
node_3,245.86328,1696164451
node_2,241.52346,1696164451
node_1,222.70704,1696164451
master,1461.47732,1696164456
node_3,218.77656,1696164456
node_2,251.72344,1696164456
node_1,236.37654,1696164456
master,1461.42502,1696164461
node_3,242.49842,1696164461
node_2,234.44062,1696164461
node_1,231.13204,1696164461
master,1461.90622,1696164466
node_3,225.7031,1696164466
node_2,253.8492,1696164466
node_1,226.31718,1696164466
master,1473.97108,1696164471
node_3,241.1398,1696164471
node_2,236.20702,1696164471
node_1,236.86248,1696164471
master,1428.0578,1696164476
node_3,230.3828,1696164476
node_2,247.29062,1696164476
node_1,219.99688,1696164476
master,1451.82268,1696164481
node_3,243.88358,1696164481
node_2,238.16328,1696164481
node_1,238.50938,1696164481
master,1451.55,1696164486
node_3,230.08828,1696164486
node_2,252.91482,1696164486
node_1,223.09374,1696164486
master,1453.13124,1696164491
node_3,237.14454,1696164491
node_2,243.81168,1696164491
node_1,234.9953,1696164491
master,1462.83594,1696164496
node_3,237.96876,1696164496
node_2,248.475,1696164496
node_1,217.74296,1696164496
master,1474.8531,1696164501
node_3,232.94376,1696164501
node_2,241.52502,1696164501
node_1,230.50076,1696164501
master,1475.01874,1696164506
node_3,242.93672,1696164506
node_2,243.36874,1696164506
node_1,224.13124,1696164506
master,1479.23126,1696164511
node_3,226.36642,1696164511
node_2,252.23126,1696164511
node_1,227.59764,1696164511
master,1475.66092,1696164516
node_3,239.27578,1696164516
node_2,227.42812,1696164516
node_1,235.68438,1696164516
master,1476.33752,1696164521
node_3,225.29296,1696164521
node_2,250.8078,1696164521
node_1,220.57576,1696164521
master,1476.55388,1696164526
node_3,238.16954,1696164526
node_2,235.26952,1696164526
node_1,234.35236,1696164526
master,1476.9789,1696164531
node_3,227.11796,1696164531
node_2,253.58046,1696164531
node_1,213.24064,1696164531
master,1471.25314,1696164536
node_3,243.2625,1696164536
node_2,238.18516,1696164536
node_1,234.77424,1696164536
master,1473.3422,1696164541
node_3,233.06638,1696164541
node_2,247.62654,1696164541
node_1,222.92578,1696164541
master,1483.45936,1696164546
node_3,237.98518,1696164546
node_2,232.21484,1696164546
node_1,235.21798,1696164546
master,1486.38908,1696164551
node_3,232.14608,1696164551
node_2,249.1953,1696164551
node_1,232.6836,1696164551
master,1483.72344,1696164556
node_3,241.3625,1696164556
node_2,249.05702,1696164556
node_1,231.94296,1696164556
master,1480.19062,1696164561
node_3,230.43202,1696164561
node_2,237.32186,1696164561
node_1,237.74376,1696164561
master,1479.75078,1696164566
node_3,241.36952,1696164566
node_2,250.55,1696164566
node_1,220.93278,1696164566
master,1478.76328,1696164571
node_3,230.04606,1696164571
node_2,236.63358,1696164571
node_1,239.37656,1696164571
master,1495.28438,1696164576
node_3,241.67578,1696164576
node_2,252.2625,1696164576
node_1,223.28746,1696164576
master,1489.50702,1696164581
node_3,228.58674,1696164581
node_2,239.25236,1696164581
node_1,232.76642,1696164581
master,1489.9609,1696164586
node_3,240.34062,1696164586
node_2,257.7703,1696164586
node_1,214.42422,1696164586
master,1488.79684,1696164591
node_3,232.52812,1696164591
node_2,233.57106,1696164591
node_1,233.36876,1696164591
master,1478.42578,1696164596
node_3,229.74844,1696164596
node_2,250.68044,1696164596
node_1,229.42966,1696164596
master,1485.04064,1696164601
node_3,242.90312,1696164601
node_2,241.0703,1696164601
node_1,225.43282,1696164601
master,1481.02032,1696164606
node_3,231.33748,1696164606
node_2,249.10002,1696164606
node_1,233.47344,1696164606
master,1482.07422,1696164611
node_3,239.74298,1696164611
node_2,241.9945,1696164611
node_1,221.16954,1696164611
master,1467.19138,1696164616
node_3,215.61486,1696164616
node_2,244.4625,1696164616
node_1,238.22188,1696164616
master,1471.83592,1696164621
node_3,241.32108,1696164621
node_2,251.73518,1696164621
node_1,223.01016,1696164621
master,1469.73124,1696164626
node_3,225.33358,1696164626
node_2,226.37342,1696164626
node_1,235.27814,1696164626
master,1487.5156,1696164631
node_3,245.79924,1696164631
node_2,252.91952,1696164631
node_1,223.49532,1696164631
master,1462.43672,1696164636
node_3,225.53358,1696164636
node_2,229.04766,1696164636
node_1,236.96718,1696164636
master,1467.8172,1696164641
node_3,245.78672,1696164641
node_2,257.98126,1696164641
node_1,230.43204,1696164641
master,1501.2047,1696164646
node_3,225.15466,1696164646
node_2,243.40388,1696164646
node_1,223.09532,1696164646
master,1440.65704,1696164651
node_3,240.12424,1696164651
node_2,251.94612,1696164651
node_1,232.4617,1696164651
master,1467.20622,1696164656
node_3,225.50704,1696164656
