hostname,value,timestamp,chart_family
master,3.4,1696165986,nvme0n1
master,3,1696165986,ubuntu--vg-ubuntu--lv
node_3,12.4,1696165986,mmcblk0
node_2,15.8,1696165986,mmcblk0
node_1,0,1696165986,mmcblk0
master,0.8,1696165991,nvme0n1
master,0.8,1696165991,ubuntu--vg-ubuntu--lv
node_3,11.6,1696165991,mmcblk0
node_2,0.4,1696165991,mmcblk0
node_1,7.8,1696165991,mmcblk0
master,1.2,1696165996,nvme0n1
master,1.2,1696165996,ubuntu--vg-ubuntu--lv
node_3,0,1696165996,mmcblk0
node_2,15,1696165996,mmcblk0
node_1,1,1696165996,mmcblk0
master,0.4,1696166001,nvme0n1
master,0.4,1696166001,ubuntu--vg-ubuntu--lv
node_3,12.6,1696166001,mmcblk0
node_2,1.2,1696166001,mmcblk0
node_1,6.8,1696166001,mmcblk0
master,2.2,1696166006,nvme0n1
master,2.2,1696166006,ubuntu--vg-ubuntu--lv
node_3,1,1696166006,mmcblk0
node_2,17.6,1696166006,mmcblk0
node_1,1,1696166006,mmcblk0
master,1,1696166011,nvme0n1
master,1,1696166011,ubuntu--vg-ubuntu--lv
node_3,10.2,1696166011,mmcblk0
node_2,2.8,1696166011,mmcblk0
node_1,7.2,1696166011,mmcblk0
master,4,1696166016,nvme0n1
master,4,1696166016,ubuntu--vg-ubuntu--lv
node_3,2.4,1696166016,mmcblk0
node_2,18.2,1696166016,mmcblk0
node_1,0.8,1696166016,mmcblk0
master,1.4,1696166021,nvme0n1
master,1.4,1696166021,ubuntu--vg-ubuntu--lv
node_3,11,1696166021,mmcblk0
node_2,0.8,1696166021,mmcblk0
node_1,8.6,1696166021,mmcblk0
master,1.6,1696166026,nvme0n1
master,1.6,1696166026,ubuntu--vg-ubuntu--lv
node_3,0.8,1696166026,mmcblk0
node_2,13.6,1696166026,mmcblk0
node_1,3.6,1696166026,mmcblk0
master,0.2,1696166031,nvme0n1
master,0.2,1696166031,ubuntu--vg-ubuntu--lv
node_3,9.2,1696166031,mmcblk0
node_2,1.6,1696166031,mmcblk0
node_1,4.8,1696166031,mmcblk0
master,1,1696166036,nvme0n1
master,1,1696166036,ubuntu--vg-ubuntu--lv
node_3,1.6,1696166036,mmcblk0
node_2,13.8,1696166036,mmcblk0
node_1,7.8,1696166036,mmcblk0
master,2,1696166041,nvme0n1
master,2,1696166041,ubuntu--vg-ubuntu--lv
node_3,6.6,1696166041,mmcblk0
node_2,2,1696166041,mmcblk0
node_1,1,1696166041,mmcblk0
master,0.8,1696166046,nvme0n1
master,0.8,1696166046,ubuntu--vg-ubuntu--lv
node_3,11,1696166046,mmcblk0
node_2,14.2,1696166046,mmcblk0
node_1,6.6,1696166046,mmcblk0
master,2.4,1696166051,nvme0n1
master,2.4,1696166051,ubuntu--vg-ubuntu--lv
node_3,0.8,1696166051,mmcblk0
node_2,10.8,1696166051,mmcblk0
node_1,0.8,1696166051,mmcblk0
master,1.6,1696166056,nvme0n1
master,1.6,1696166056,ubuntu--vg-ubuntu--lv
node_3,7.4,1696166056,mmcblk0
node_2,5,1696166056,mmcblk0
node_1,6.8,1696166056,mmcblk0
master,0.8,1696166061,nvme0n1
master,0.8,1696166061,ubuntu--vg-ubuntu--lv
node_3,1,1696166061,mmcblk0
node_2,15.8,1696166061,mmcblk0
node_1,0.8,1696166061,mmcblk0
master,0.8,1696166066,nvme0n1
master,0.8,1696166066,ubuntu--vg-ubuntu--lv
node_3,9.8,1696166066,mmcblk0
node_2,1.2,1696166066,mmcblk0
node_1,7,1696166066,mmcblk0
master,1.6,1696166071,nvme0n1
master,1.6,1696166071,ubuntu--vg-ubuntu--lv
