hostname,value,timestamp
master,93.050946,1696168036
node_2,79.879394,1696168036
node_1,90.723102,1696168036
node_3,93.81444,1696168036
master,96.07365,1696168041
node_2,92.821212,1696168041
node_1,86.670612,1696168041
node_3,78.170072,1696168041
master,95.236866,1696168046
node_2,81.972592,1696168046
node_1,88.152924,1696168046
node_3,98.08903,1696168046
master,94.713894,1696168051
node_2,90.280892,1696168051
node_1,91.188662,1696168051
node_3,76.861418,1696168051
master,95.78856,1696168056
node_2,86.476694,1696168056
node_1,77.093146,1696168056
node_3,95.361904,1696168056
master,94.679876,1696168061
node_2,86.981272,1696168061
node_1,97.738046,1696168061
node_3,80.45902,1696168061
master,94.29101,1696168066
node_2,87.959014,1696168066
node_1,80.27087,1696168066
node_3,92.811276,1696168066
master,96.013468,1696168071
node_2,78.999304,1696168071
node_1,94.700136,1696168071
node_3,31.459552,1696168071
master,95.026126,1696168076
node_2,93.112514,1696168076
node_1,83.959454,1696168076
node_3,35.155234,1696168076
master,95.175038,1696168081
node_2,78.18282,1696168081
node_1,90.915176,1696168081
node_3,97.892086,1696168081
master,97.317138,1696168086
node_2,97.09723,1696168086
node_1,87.735474,1696168086
node_3,65.88424,1696168086
master,94.611772,1696168091
node_2,79.49114,1696168091
node_1,87.411738,1696168091
node_3,71.524788,1696168091
master,98.156134,1696168096
node_2,94.747884,1696168096
node_1,90.190708,1696168096
node_3,94.511272,1696168096
master,92.703556,1696168101
node_2,81.58438,1696168101
node_1,80.093708,1696168101
node_3,70.022496,1696168101
master,97.095454,1696168106
node_2,92.304676,1696168106
node_1,97.992562,1696168106
node_3,95.847868,1696168106
master,93.027918,1696168111
node_2,83.975038,1696168111
node_1,80.424906,1696168111
node_3,73.941544,1696168111
master,97.86756,1696168116
node_2,87.086298,1696168116
node_1,95.42626,1696168116
node_3,95.095472,1696168116
master,93.848276,1696168121
node_2,88.348074,1696168121
node_1,82.971586,1696168121
node_3,78.344242,1696168121
master,95.68727,1696168126
node_2,80.050182,1696168126
node_1,90.831974,1696168126
node_3,94.164252,1696168126
master,95.839724,1696168131
node_2,95.988196,1696168131
node_1,86.553694,1696168131
node_3,77.599832,1696168131
master,93.782994,1696168136
node_2,79.15476,1696168136
node_1,87.287242,1696168136
node_3,94.611648,1696168136
master,97.143612,1696168141
node_2,95.728972,1696168141
node_1,89.940614,1696168141
node_3,78.10963,1696168141
master,93.633224,1696168146
node_2,81.09912,1696168146
node_1,80.465608,1696168146
node_3,93.362566,1696168146
master,97.486224,1696168151
node_2,93.872452,1696168151
node_1,98.345486,1696168151
node_3,81.150338,1696168151
master,93.196978,1696168156
node_2,83.422034,1696168156
node_1,78.879556,1696168156
node_3,90.700184,1696168156
master,96.779998,1696168161
node_2,86.038606,1696168161
node_1,95.144692,1696168161
node_3,85.931186,1696168161
master,94.794526,1696168166
node_2,87.280618,1696168166
node_1,81.469534,1696168166
node_3,87.150486,1696168166
master,95.321152,1696168171
node_2,80.624194,1696168171
node_1,91.057206,1696168171
node_3,88.55358,1696168171
master,95.750828,1696168176
node_2,91.08683,1696168176
node_1,87.179698,1696168176
node_3,83.422102,1696168176
master,95.083878,1696168181
node_2,77.317426,1696168181
node_1,87.73318,1696168181
node_3,94.016876,1696168181
master,95.95852,1696168186
node_2,96.167576,1696168186
node_1,89.713198,1696168186
node_3,78.082644,1696168186
master,94.556206,1696168191
node_2,73.70398,1696168191
node_1,80.982176,1696168191
node_3,97.789188,1696168191
master,96.157956,1696168196
node_2,96.89217,1696168196
node_1,98.04547,1696168196
node_3,76.21067,1696168196
master,94.703,1696168201
node_2,78.06344,1696168201
node_1,79.992918,1696168201
node_3,97.492966,1696168201
master,97.198982,1696168206
node_2,93.990458,1696168206
node_1,94.711118,1696168206
node_3,78.669474,1696168206
master,94.620488,1696168211
node_2,80.81719,1696168211
node_1,82.92207,1696168211
node_3,94.40533,1696168211
master,94.468716,1696168216
node_2,92.702978,1696168216
node_1,90.72375,1696168216
node_3,80.626912,1696168216
master,96.176112,1696168221
node_2,83.031412,1696168221
node_1,87.313074,1696168221
node_3,93.384172,1696168221
master,94.670418,1696168226
node_2,87.809406,1696168226
node_1,87.567864,1696168226
node_3,81.887236,1696168226
master,96.161712,1696168231
node_2,87.878196,1696168231
node_1,90.51202,1696168231
node_3,90.077222,1696168231
master,94.542914,1696168236
node_2,82.204086,1696168236
node_1,80.48875,1696168236
node_3,83.534394,1696168236
master,96.731826,1696168241
node_2,92.55215,1696168241
node_1,98.24799,1696168241
node_3,85.809604,1696168241
master,93.3791,1696168246
node_2,80.130124,1696168246
node_1,79.957528,1696168246
node_3,87.272448,1696168246
master,97.855102,1696168251
node_2,97.192416,1696168251
node_1,95.412882,1696168251
node_3,87.648784,1696168251
master,92.344838,1696168256
node_2,78.97016,1696168256
node_1,83.808672,1696168256
node_3,89.01874,1696168256
master,96.278918,1696168261
node_2,92.946984,1696168261
node_1,90.964038,1696168261
node_3,80.5516,1696168261
master,95.791264,1696168266
node_2,82.3122,1696168266
node_1,86.66831,1696168266
node_3,95.13827,1696168266
master,93.49389,1696168271
node_2,89.43496,1696168271
node_1,87.3259,1696168271
node_3,77.918326,1696168271
master,97.89948,1696168276
node_2,86.219244,1696168276
node_1,91.150096,1696168276
node_3,97.344486,1696168276
master,93.1221,1696168281
node_2,87.291136,1696168281
node_1,80.28459,1696168281
node_3,77.08797,1696168281
master,98.808102,1696168286
node_2,87.364488,1696168286
node_1,98.398362,1696168286
node_3,96.328104,1696168286
master,92.422416,1696168291
node_2,80.961072,1696168291
node_1,80.351532,1696168291
node_3,78.86119,1696168291
master,98.859986,1696168296
node_2,96.025922,1696168296
node_1,94.617398,1696168296
node_3,95.202036,1696168296
master,91.858494,1696168301
node_2,78.759668,1696168301
node_1,83.56792,1696168301
node_3,80.958764,1696168301
master,96.301014,1696168306
node_2,95.879174,1696168306
node_1,91.21003,1696168306
node_3,92.243272,1696168306
master,94.479452,1696168311
node_2,81.29826,1696168311
node_1,87.486374,1696168311
node_3,81.279312,1696168311
master,95.250826,1696168316
node_2,94.125478,1696168316
node_1,87.844368,1696168316
node_3,89.330046,1696168316
master,96.218752,1696168321
node_2,82.085772,1696168321
node_1,90.42503,1696168321
node_3,84.855686,1696168321
master,93.654124,1696168326
node_2,87.548054,1696168326
node_1,79.11474,1696168326
node_3,88.1439,1696168326
master,97.797802,1696168331
node_2,88.297478,1696168331
node_1,98.044976,1696168331
node_3,88.4325,1696168331
master,93.517014,1696168336
node_2,81.591306,1696168336
node_1,80.376284,1696168336
node_3,82.053778,1696168336
master,97.621172,1696168341
node_2,93.856652,1696168341
node_1,94.00384,1696168341
node_3,93.954862,1696168341
master,92.49182,1696168346
node_2,78.597394,1696168346
node_1,83.898094,1696168346
node_3,78.425506,1696168346
master,97.841124,1696168351
node_2,97.647488,1696168351
node_1,89.073966,1696168351
node_3,97.532054,1696168351
master,93.954604,1696168356
node_2,79.151326,1696168356
node_1,88.044886,1696168356
node_3,78.279214,1696168356
master,97.822152,1696168361
node_2,94.175892,1696168361
node_1,84.18638,1696168361
node_3,96.283544,1696168361
master,93.30299,1696168366
node_2,83.180718,1696168366
node_1,93.975046,1696168366
node_3,81.100888,1696168366
master,95.212684,1696168371
node_2,92.908612,1696168371
node_1,79.258326,1696168371
node_3,94.603854,1696168371
master,95.271112,1696168376
node_2,78.437346,1696168376
node_1,98.24611,1696168376
node_3,79.528658,1696168376
master,93.444664,1696168381
node_2,89.283866,1696168381
node_1,80.608226,1696168381
node_3,90.359362,1696168381
master,98.204498,1696168386
node_2,82.552454,1696168386
node_1,94.609106,1696168386
node_3,84.956576,1696168386
master,93.541388,1696168391
node_2,88.015556,1696168391
node_1,84.213062,1696168391
node_3,87.817088,1696168391
master,96.015482,1696168396
node_2,73.913468,1696168396
node_1,89.507158,1696168396
node_3,88.327174,1696168396
master,96.17522,1696168401
node_2,92.458348,1696168401
node_1,88.504876,1696168401
node_3,86.738756,1696168401
master,95.686202,1696168406
node_2,58.547118,1696168406
node_1,83.599258,1696168406
node_3,89.842546,1696168406
master,96.505006,1696168411
node_2,97.447238,1696168411
node_1,94.505648,1696168411
node_3,79.495944,1696168411
master,95.180202,1696168416
node_2,75.373436,1696168416
node_1,80.264834,1696168416
node_3,98.037392,1696168416
master,96.211584,1696168421
node_2,87.760454,1696168421
node_1,98.445858,1696168421
node_3,76.969936,1696168421
master,95.073534,1696168426
node_2,66.478756,1696168426
node_1,81.14639,1696168426
node_3,96.033674,1696168426
master,96.107338,1696168431
node_2,62.312956,1696168431
node_1,95.080774,1696168431
node_3,80.395924,1696168431
master,95.83671,1696168436
node_2,91.65675,1696168436
node_1,83.059156,1696168436
node_3,94.20567,1696168436
master,92.458056,1696168441
node_2,80.300546,1696168441
node_1,89.485194,1696168441
node_3,78.058626,1696168441
master,96.648414,1696168446
node_2,92.422754,1696168446
node_1,88.43533,1696168446
node_3,94.40017,1696168446
master,94.734724,1696168451
node_2,80.67932,1696168451
node_1,84.277388,1696168451
node_3,75.032282,1696168451
master,95.838966,1696168456
node_2,89.80784,1696168456
node_1,94.77983,1696168456
node_3,92.266556,1696168456
master,94.887136,1696168461
node_2,74.67308,1696168461
node_1,79.918082,1696168461
node_3,80.95538,1696168461
master,97.82456,1696168466
node_2,93.633946,1696168466
node_1,98.247094,1696168466
node_3,89.122876,1696168466
master,93.937604,1696168471
node_2,71.178798,1696168471
node_1,79.433402,1696168471
node_3,88.07075,1696168471
master,97.968192,1696168476
node_2,94.145718,1696168476
