4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        12466.06          ---          ---         1.45879         1.39100         2.81500         9.34300       960.34 
Gets       124658.92       247.14    124411.78         1.45700         1.39100         2.81500         9.27900      4864.09 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     137124.99       247.14    124411.78         1.45717         1.39100         2.81500         9.27900      5824.43 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.135        0.000
SET       1.087        5.000
SET       1.167       10.000
SET       1.207       15.000
SET       1.239       20.000
SET       1.271       25.000
SET       1.295       30.000
SET       1.319       35.000
SET       1.343       40.000
SET       1.367       45.000
SET       1.391       50.000
SET       1.407       52.500
SET       1.415       55.000
SET       1.431       57.500
SET       1.447       60.000
SET       1.463       62.500
SET       1.479       65.000
SET       1.495       67.500
SET       1.519       70.000
SET       1.535       72.500
SET       1.559       75.000
SET       1.567       76.250
SET       1.575       77.500
SET       1.591       78.750
SET       1.599       80.000
SET       1.615       81.250
SET       1.623       82.500
SET       1.639       83.750
SET       1.655       85.000
SET       1.671       86.250
SET       1.695       87.500
SET       1.703       88.125
SET       1.719       88.750
SET       1.735       89.375
SET       1.743       90.000
SET       1.767       90.625
SET       1.783       91.250
SET       1.807       91.875
SET       1.831       92.500
SET       1.855       93.125
SET       1.887       93.750
SET       1.903       94.062
SET       1.919       94.375
SET       1.943       94.688
SET       1.967       95.000
SET       1.991       95.312
SET       2.023       95.625
SET       2.063       95.938
SET       2.095       96.250
SET       2.159       96.562
SET       2.223       96.875
SET       2.255       97.031
SET       2.287       97.188
SET       2.335       97.344
SET       2.367       97.500
SET       2.415       97.656
SET       2.463       97.812
SET       2.495       97.969
SET       2.543       98.125
SET       2.575       98.281
SET       2.623       98.438
SET       2.639       98.516
SET       2.671       98.594
SET       2.687       98.672
SET       2.719       98.750
SET       2.751       98.828
SET       2.767       98.906
SET       2.799       98.984
SET       2.831       99.062
SET       2.879       99.141
SET       2.911       99.219
SET       2.943       99.258
SET       2.959       99.297
SET       2.991       99.336
SET       3.023       99.375
SET       3.055       99.414
SET       3.087       99.453
SET       3.135       99.492
SET       3.183       99.531
SET       3.231       99.570
SET       3.311       99.609
SET       3.359       99.629
SET       3.439       99.648
SET       3.551       99.668
SET       3.759       99.688
SET       4.127       99.707
SET       4.511       99.727
SET       4.831       99.746
SET       5.119       99.766
SET       5.471       99.785
SET       5.983       99.805
SET       6.303       99.814
SET       6.655       99.824
SET       6.975       99.834
SET       7.327       99.844
SET       7.711       99.854
SET       8.063       99.863
SET       8.447       99.873
SET       8.767       99.883
SET       9.087       99.893
SET       9.407       99.902
SET       9.599       99.907
SET       9.791       99.912
SET       9.919       99.917
SET      10.111       99.922
SET      10.303       99.927
SET      10.495       99.932
SET      10.623       99.937
SET      10.815       99.941
SET      11.007       99.946
SET      11.263       99.951
SET      11.327       99.954
SET      11.455       99.956
SET      11.583       99.958
SET      11.711       99.961
SET      11.839       99.963
SET      11.967       99.966
SET      12.159       99.968
SET      12.287       99.971
SET      12.479       99.973
SET      12.735       99.976
SET      12.863       99.977
SET      12.927       99.978
SET      13.055       99.979
SET      13.183       99.980
SET      13.311       99.982
SET      13.439       99.983
SET      13.631       99.984
SET      13.759       99.985
SET      14.015       99.987
SET      14.271       99.988
SET      14.463       99.988
SET      14.655       99.989
SET      14.847       99.990
SET      15.039       99.990
SET      15.231       99.991
SET      15.551       99.991
SET      15.743       99.992
SET      16.063       99.993
SET      16.511       99.993
SET      16.895       99.994
SET      17.023       99.994
SET      17.279       99.995
SET      17.407       99.995
SET      17.663       99.995
SET      18.303       99.995
SET      18.815       99.996
SET      19.071       99.996
SET      19.455       99.996
SET      19.711       99.997
SET      21.119       99.997
SET      21.759       99.997
SET      22.655       99.997
SET      51.199       99.997
SET      51.455       99.998
SET      51.455       99.998
SET      51.455       99.998
SET      51.711       99.998
SET      51.711       99.998
SET      51.711       99.998
SET      51.711       99.998
SET      51.967       99.999
SET      51.967       99.999
SET      51.967       99.999
SET      51.967       99.999
SET      51.967       99.999
SET      51.967       99.999
SET      52.223       99.999
SET      52.223       99.999
SET      52.223       99.999
SET      52.223       99.999
SET      52.223       99.999
SET      52.479       99.999
SET      52.479       99.999
SET      52.479       99.999
SET      52.479       99.999
SET      52.479       99.999
SET      52.479      100.000
SET      52.479      100.000
SET      52.479      100.000
SET      52.479      100.000
SET      52.479      100.000
SET      52.479      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.735      100.000
SET      52.991      100.000
SET      52.991      100.000
---
GET       0.135        0.000
GET       1.087        5.000
GET       1.159       10.000
GET       1.207       15.000
GET       1.239       20.000
GET       1.263       25.000
GET       1.295       30.000
GET       1.319       35.000
GET       1.343       40.000
GET       1.367       45.000
GET       1.391       50.000
GET       1.399       52.500
GET       1.415       55.000
GET       1.431       57.500
GET       1.447       60.000
GET       1.463       62.500
GET       1.479       65.000
GET       1.495       67.500
GET       1.519       70.000
GET       1.535       72.500
GET       1.559       75.000
GET       1.567       76.250
GET       1.575       77.500
GET       1.591       78.750
GET       1.599       80.000
GET       1.615       81.250
GET       1.623       82.500
GET       1.639       83.750
GET       1.655       85.000
GET       1.671       86.250
GET       1.695       87.500
GET       1.703       88.125
GET       1.719       88.750
GET       1.735       89.375
GET       1.743       90.000
GET       1.759       90.625
GET       1.783       91.250
GET       1.799       91.875
GET       1.823       92.500
GET       1.855       93.125
GET       1.887       93.750
GET       1.903       94.062
GET       1.919       94.375
GET       1.943       94.688
GET       1.967       95.000
GET       1.991       95.312
GET       2.023       95.625
GET       2.063       95.938
GET       2.111       96.250
GET       2.159       96.562
GET       2.223       96.875
GET       2.255       97.031
GET       2.287       97.188
GET       2.335       97.344
GET       2.367       97.500
GET       2.415       97.656
GET       2.463       97.812
GET       2.495       97.969
GET       2.543       98.125
GET       2.575       98.281
GET       2.623       98.438
GET       2.639       98.516
GET       2.671       98.594
GET       2.687       98.672
GET       2.719       98.750
GET       2.751       98.828
GET       2.767       98.906
GET       2.799       98.984
GET       2.831       99.062
GET       2.879       99.141
GET       2.911       99.219
GET       2.943       99.258
GET       2.959       99.297
GET       2.991       99.336
GET       3.023       99.375
GET       3.055       99.414
GET       3.087       99.453
GET       3.119       99.492
GET       3.167       99.531
GET       3.231       99.570
GET       3.295       99.609
GET       3.359       99.629
GET       3.423       99.648
GET       3.535       99.668
GET       3.743       99.688
GET       4.079       99.707
GET       4.479       99.727
GET       4.799       99.746
GET       5.087       99.766
GET       5.439       99.785
GET       5.919       99.805
GET       6.239       99.814
GET       6.559       99.824
GET       6.911       99.834
GET       7.263       99.844
GET       7.615       99.854
GET       7.967       99.863
GET       8.319       99.873
GET       8.703       99.883
GET       9.023       99.893
GET       9.343       99.902
GET       9.535       99.907
GET       9.663       99.912
GET       9.855       99.917
GET      10.047       99.922
GET      10.175       99.927
GET      10.367       99.932
GET      10.559       99.937
GET      10.751       99.941
GET      10.943       99.946
GET      11.135       99.951
GET      11.263       99.954
GET      11.327       99.956
GET      11.455       99.958
GET      11.583       99.961
GET      11.711       99.963
GET      11.839       99.966
GET      11.967       99.968
GET      12.159       99.971
GET      12.287       99.973
GET      12.479       99.976
GET      12.607       99.977
GET      12.671       99.978
GET      12.799       99.979
GET      12.927       99.980
GET      13.055       99.982
GET      13.183       99.983
GET      13.311       99.984
GET      13.439       99.985
GET      13.567       99.987
GET      13.759       99.988
GET      13.887       99.988
GET      14.015       99.989
GET      14.143       99.990
GET      14.271       99.990
GET      14.399       99.991
GET      14.591       99.991
GET      14.783       99.992
GET      15.039       99.993
GET      15.231       99.993
GET      15.487       99.994
GET      15.615       99.994
GET      15.743       99.995
GET      15.871       99.995
GET      16.063       99.995
GET      16.191       99.995
GET      16.383       99.996
GET      16.511       99.996
GET      16.767       99.996
GET      16.895       99.997
GET      17.023       99.997
GET      17.151       99.997
GET      17.151       99.997
GET      17.279       99.997
GET      17.407       99.998
GET      17.535       99.998
GET      17.663       99.998
GET      17.919       99.998
GET      18.175       99.998
GET      18.431       99.998
GET      18.687       99.998
