hostname,value,timestamp
master,1122.36016,1702145886
node_1,296.85078,1702145886
node_2,304.61642,1702145886
node_3,292.42266,1702145886
master,1224.32112,1702145891
node_1,302.35546,1702145891
node_2,303.43752,1702145891
node_3,293.79764,1702145891
master,1256.11798,1702145896
node_1,315.40392,1702145896
node_2,312.66872,1702145896
node_3,300.14294,1702145896
master,1586.46644,1702145901
node_1,331.3203,1702145901
node_2,328.2914,1702145901
node_3,321.85078,1702145901
master,1827.7368,1702145906
node_1,384.81952,1702145906
node_2,358.26016,1702145906
node_3,351.04298,1702145906
master,2110.4344,1702145911
node_1,400.26956,1702145911
node_2,362.4047,1702145911
node_3,356.94452,1702145911
master,2198.0284,1702145916
node_1,374.3461,1702145916
node_2,362.93206,1702145916
node_3,338.3875,1702145916
master,2217.7874,1702145921
node_1,393.36954,1702145921
node_2,380.64376,1702145921
node_3,345.8789,1702145921
master,2231.611,1702145926
node_1,394.4844,1702145926
node_2,364.5578,1702145926
node_3,346.2664,1702145926
master,2237.9622,1702145931
node_1,395.1633,1702145931
node_2,352.54846,1702145931
node_3,346.55626,1702145931
master,2240.8164,1702145936
node_1,396.58828,1702145936
node_2,353.0797,1702145936
node_3,347.2953,1702145936
master,2238.9204,1702145941
node_1,399.20466,1702145941
node_2,353.50546,1702145941
node_3,347.4914,1702145941
master,2243.9382,1702145946
node_1,402.36952,1702145946
node_2,353.77266,1702145946
node_3,347.93594,1702145946
master,2239.9086,1702145951
node_1,405.6086,1702145951
node_2,354.35312,1702145951
node_3,348.28514,1702145951
master,2241.525,1702145956
node_1,408.03046,1702145956
node_2,355,1702145956
node_3,348.49452,1702145956
master,2244.6046,1702145961
node_1,408.73514,1702145961
node_2,355.85706,1702145961
node_3,350.36018,1702145961
master,2247.9086,1702145966
node_1,409.98828,1702145966
node_2,355.67736,1702145966
node_3,351.18982,1702145966
master,2243.7868,1702145971
node_1,411.42342,1702145971
node_2,356.0258,1702145971
node_3,352.27968,1702145971
master,2243.8444,1702145976
node_1,411.20782,1702145976
node_2,356.01168,1702145976
node_3,353.89766,1702145976
master,2250.5376,1702145981
node_1,410.9086,1702145981
node_2,355.4961,1702145981
node_3,356.07186,1702145981
master,2244.2178,1702145986
node_1,411.50938,1702145986
node_2,356.93908,1702145986
node_3,358.0328,1702145986
master,2245.5742,1702145991
node_1,411.83124,1702145991
node_2,357.81016,1702145991
node_3,359.27812,1702145991
master,2251.6928,1702145996
node_1,413.28984,1702145996
node_2,359.0484,1702145996
node_3,359.64064,1702145996
master,2250.039,1702146001
node_1,412.86874,1702146001
node_2,360.32344,1702146001
node_3,361.76252,1702146001
master,2249.1328,1702146006
node_1,412.7258,1702146006
node_2,361.66954,1702146006
node_3,361.30626,1702146006
master,2254.057,1702146011
node_1,412.74296,1702146011
node_2,363.2875,1702146011
node_3,362.60704,1702146011
master,2251.4476,1702146016
node_1,411.68672,1702146016
node_2,365.77734,1702146016
node_3,362.25704,1702146016
master,2251.8134,1702146021
node_1,411.8633,1702146021
node_2,368.72344,1702146021
node_3,362.06796,1702146021
master,2271.848,1702146026
node_1,412.4922,1702146026
node_2,370.53126,1702146026
node_3,361.64688,1702146026
master,2282.1452,1702146031
node_1,413.22108,1702146031
node_2,370.5164,1702146031
node_3,361.65156,1702146031
master,2271.228,1702146036
node_1,413.9328,1702146036
node_2,370.16638,1702146036
node_3,361.64064,1702146036
master,2256.1936,1702146041
node_1,413.35782,1702146041
node_2,369.66642,1702146041
node_3,361.13514,1702146041
master,2272.1564,1702146046
node_1,413.68046,1702146046
node_2,369.2742,1702146046
node_3,361.4008,1702146046
master,2293.0656,1702146051
node_1,415.01952,1702146051
node_2,369.38906,1702146051
node_3,361.90392,1702146051
master,2260.0898,1702146056
node_1,414.24922,1702146056
node_2,368.67032,1702146056
node_3,362.6039,1702146056
master,2228.5908,1702146061
node_1,416.2664,1702146061
node_2,369.12966,1702146061
node_3,363.57812,1702146061
master,2210.383,1702146066
node_1,415.83984,1702146066
node_2,368.8117,1702146066
