hostname,value,timestamp
master,85.276746,1696770706
node_2,66.501034,1696770706
node_3,66.96654,1696770706
node_1,75.422984,1696770706
master,95.654654,1696770711
node_2,88.114268,1696770711
node_3,91.766736,1696770711
node_1,90.616562,1696770711
master,92.61353,1696770716
node_2,88.70221,1696770716
node_3,90.602656,1696770716
node_1,65.297262,1696770716
master,76.065828,1696770721
node_2,53.373226,1696770721
node_3,53.39728,1696770721
node_1,39.347134,1696770721
master,39.5551098,1696770726
node_2,44.842814,1696770726
node_3,46.302542,1696770726
node_1,79.00049,1696770726
master,65.202964,1696770731
node_2,73.010576,1696770731
node_3,72.332758,1696770731
node_1,61.567256,1696770731
master,63.953892,1696770736
node_2,44.662196,1696770736
node_3,45.513658,1696770736
node_1,46.602018,1696770736
master,91.92276,1696770741
node_2,55.573288,1696770741
node_3,57.902694,1696770741
node_1,79.988032,1696770741
master,89.95928,1696770746
node_2,94.813082,1696770746
node_3,95.401704,1696770746
node_1,95.542316,1696770746
master,93.787276,1696770751
node_2,89.567006,1696770751
node_3,86.279058,1696770751
node_1,85.084052,1696770751
master,98.604752,1696770756
node_2,94.294868,1696770756
node_3,96.249044,1696770756
node_1,95.775412,1696770756
master,94.08964,1696770761
node_2,95.022358,1696770761
node_3,94.949366,1696770761
node_1,95.343254,1696770761
master,98.304576,1696770766
node_2,93.441502,1696770766
node_3,93.38999,1696770766
node_1,92.555198,1696770766
master,97.562902,1696770771
node_2,93.05863,1696770771
node_3,92.974188,1696770771
node_1,93.420918,1696770771
master,97.73383,1696770776
node_2,92.43666,1696770776
node_3,91.87239,1696770776
node_1,93.845512,1696770776
master,97.900962,1696770781
node_2,93.04512,1696770781
node_3,92.876656,1696770781
node_1,92.422596,1696770781
master,97.683428,1696770786
node_2,90.563588,1696770786
node_3,93.471082,1696770786
node_1,93.645178,1696770786
master,98.425296,1696770791
node_2,94.134454,1696770791
node_3,94.266928,1696770791
node_1,94.449046,1696770791
master,98.307194,1696770796
node_2,92.455878,1696770796
node_3,93.822378,1696770796
node_1,93.911402,1696770796
master,97.177834,1696770801
node_2,93.128664,1696770801
node_3,93.820482,1696770801
node_1,93.914588,1696770801
master,98.089558,1696770806
node_2,93.5944,1696770806
node_3,94.745902,1696770806
node_1,94.409192,1696770806
master,98.1578,1696770811
node_2,93.595616,1696770811
node_3,92.816802,1696770811
node_1,93.786344,1696770811
master,97.72282,1696770816
node_2,92.272396,1696770816
node_3,92.968004,1696770816
node_1,94.448802,1696770816
master,98.08917,1696770821
node_2,93.945076,1696770821
node_3,94.754584,1696770821
node_1,93.051558,1696770821
master,98.224928,1696770826
node_2,93.104912,1696770826
node_3,94.20243,1696770826
node_1,94.050788,1696770826
master,98.154634,1696770831
node_2,94.03029,1696770831
node_3,94.809052,1696770831
node_1,94.212286,1696770831
master,97.872362,1696770836
node_2,90.048758,1696770836
node_3,92.017358,1696770836
node_1,90.907324,1696770836
master,97.767206,1696770841
node_2,91.483772,1696770841
node_3,92.122046,1696770841
node_1,93.421714,1696770841
master,97.80099,1696770846
node_2,92.288502,1696770846
node_3,92.663608,1696770846
node_1,92.929468,1696770846
master,98.150766,1696770851
node_2,93.094818,1696770851
node_3,94.885166,1696770851
node_1,95.01021,1696770851
master,98.341438,1696770856
node_2,92.892646,1696770856
node_3,94.15611,1696770856
node_1,94.321704,1696770856
master,97.990558,1696770861
node_2,92.452132,1696770861
node_3,94.02116,1696770861
node_1,93.431242,1696770861
master,98.219624,1696770866
node_2,93.322834,1696770866
node_3,94.43852,1696770866
node_1,94.0148,1696770866
master,97.522576,1696770871
node_2,92.42751,1696770871
node_3,93.95755,1696770871
node_1,94.081276,1696770871
master,98.28617,1696770876
node_2,94.279684,1696770876
node_3,94.768388,1696770876
node_1,94.65423,1696770876
master,97.939916,1696770881
node_2,92.979332,1696770881
node_3,94.64138,1696770881
node_1,93.080274,1696770881
master,97.984306,1696770886
node_2,91.894852,1696770886
node_3,92.852362,1696770886
node_1,94.119464,1696770886
master,98.19111,1696770891
node_2,94.13948,1696770891
node_3,94.692896,1696770891
node_1,95.172444,1696770891
master,98.37246,1696770896
node_2,92.86519,1696770896
node_3,93.549344,1696770896
node_1,93.387942,1696770896
master,97.73526,1696770901
node_2,93.19661,1696770901
node_3,93.485084,1696770901
node_1,94.705832,1696770901
master,98.017954,1696770906
node_2,92.066276,1696770906
node_3,92.983766,1696770906
node_1,92.218562,1696770906
master,97.74885,1696770911
node_2,92.895812,1696770911
node_3,94.13857,1696770911
node_1,93.528596,1696770911
master,97.539106,1696770916
node_2,92.70276,1696770916
node_3,94.113872,1696770916
node_1,94.02704,1696770916
master,98.520716,1696770921
node_2,93.693898,1696770921
node_3,94.679738,1696770921
node_1,93.136992,1696770921
master,98.085484,1696770926
node_2,92.690214,1696770926
node_3,94.043526,1696770926
node_1,94.193504,1696770926
master,98.21865,1696770931
node_2,92.239784,1696770931
node_3,94.301648,1696770931
node_1,92.46149,1696770931
master,97.68382,1696770936
node_2,91.47091,1696770936
node_3,92.54492,1696770936
node_1,92.365092,1696770936
master,93.4295,1696770941
node_2,92.324314,1696770941
node_3,89.13826,1696770941
node_1,93.8572,1696770941
master,90.328678,1696770946
node_2,91.068122,1696770946
node_3,93.544186,1696770946
