hostname,value,timestamp,id,name
master,46146.9994,1697354821,InOctets,received
master,-2065.89468,1697354821,OutOctets,sent
node_2,20.696572,1697354821,InOctets,received
node_2,-1201.625203,1697354821,OutOctets,sent
node_1,8.3567624,1697354821,InOctets,received
node_1,-862.0301935,1697354821,OutOctets,sent
node_3,22.7175643,1697354821,InOctets,received
node_3,-945.4145735,1697354821,OutOctets,sent
master,24076.118028,1697354826,InOctets,received
master,-1619.3798848,1697354826,OutOctets,sent
node_2,31.96561,1697354826,InOctets,received
node_2,-1202.973228,1697354826,OutOctets,sent
node_1,37.883939,1697354826,InOctets,received
node_1,-863.0599284,1697354826,OutOctets,sent
node_3,20.7834647,1697354826,InOctets,received
node_3,-941.6247957,1697354826,OutOctets,sent
master,149156.664,1697354831,InOctets,received
master,-3400.9686,1697354831,OutOctets,sent
node_2,12.6913996,1697354831,InOctets,received
node_2,-1199.5129636,1697354831,OutOctets,sent
node_1,4.3080818,1697354831,InOctets,received
node_1,-859.4903707,1697354831,OutOctets,sent
node_3,7.610825,1697354831,InOctets,received
node_3,-942.4269895,1697354831,OutOctets,sent
master,132530.016,1697354836,InOctets,received
master,-3247.5366,1697354836,OutOctets,sent
node_2,20.8434512,1697354836,InOctets,received
node_2,-1202.3395805,1697354836,OutOctets,sent
node_1,12.5871804,1697354836,InOctets,received
node_1,-863.5520144,1697354836,OutOctets,sent
node_3,9.7891995,1697354836,InOctets,received
node_3,-943.9921636,1697354836,OutOctets,sent
master,98387.858,1697354841,InOctets,received
master,-2684.93098,1697354841,OutOctets,sent
node_2,16.2283988,1697354841,InOctets,received
node_2,-1200.2644692,1697354841,OutOctets,sent
node_1,3.0295128,1697354841,InOctets,received
node_1,-859.5165435,1697354841,OutOctets,sent
node_3,5.6719156,1697354841,InOctets,received
node_3,-942.131181,1697354841,OutOctets,sent
master,126225.886,1697354846,InOctets,received
master,-3012.9178,1697354846,OutOctets,sent
node_2,8.4172705,1697354846,InOctets,received
node_2,-1200.7978025,1697354846,OutOctets,sent
node_1,9.4520832,1697354846,InOctets,received
node_1,-860.8136128,1697354846,OutOctets,sent
node_3,13.8648642,1697354846,InOctets,received
node_3,-941.3958887,1697354846,OutOctets,sent
master,5275.0743902,1697354851,InOctets,received
master,-1350.458562,1697354851,OutOctets,sent
node_2,25.1000058,1697354851,InOctets,received
node_2,-1201.0598318,1697354851,OutOctets,sent
node_1,14.2704094,1697354851,InOctets,received
node_1,-862.3127847,1697354851,OutOctets,sent
node_3,17.1687376,1697354851,InOctets,received
node_3,-944.9705702,1697354851,OutOctets,sent
master,16.0194046,1697354856,InOctets,received
master,-1254.2935229,1697354856,OutOctets,sent
node_2,9.4427206,1697354856,InOctets,received
node_2,-1201.1008226,1697354856,OutOctets,sent
node_1,9.3783206,1697354856,InOctets,received
node_1,-861.1144108,1697354856,OutOctets,sent
node_3,6.6131293,1697354856,InOctets,received
node_3,-941.1222074,1697354856,OutOctets,sent
master,8.4685364,1697354861,InOctets,received
master,-1251.7751778,1697354861,OutOctets,sent
node_2,5.0536448,1697354861,InOctets,received
node_2,-1198.9976354,1697354861,OutOctets,sent
node_1,2.6808802,1697354861,InOctets,received
node_1,-859.3080127,1697354861,OutOctets,sent
node_3,6.0220712,1697354861,InOctets,received
node_3,-942.4506616,1697354861,OutOctets,sent
master,2004.6311758,1697354866,InOctets,received
master,-1281.3918234,1697354866,OutOctets,sent
node_2,7.0820961,1697354866,InOctets,received
node_2,-1202.0458746,1697354866,OutOctets,sent
node_1,12.4175984,1697354866,InOctets,received
node_1,-863.9744821,1697354866,OutOctets,sent
node_3,5.9039999,1697354866,InOctets,received
node_3,-943.5808865,1697354866,OutOctets,sent
master,16.424523,1697354871,InOctets,received
master,-1260.969274,1697354871,OutOctets,sent
node_2,10.304208,1697354871,InOctets,received
node_2,-1200.6957068,1697354871,OutOctets,sent
node_1,2.7817325,1697354871,InOctets,received
node_1,-859.6897237,1697354871,OutOctets,sent
node_3,9.4015994,1697354871,InOctets,received
node_3,-942.5520954,1697354871,OutOctets,sent
master,9.3218528,1697354876,InOctets,received
master,-1242.4589673,1697354876,OutOctets,sent
node_2,15.9446108,1697354876,InOctets,received
node_2,-1201.2071639,1697354876,OutOctets,sent
