hostname,value,timestamp
master,1367.07268,1702149206
node_1,321.61642,1702149206
node_3,311.04296,1702149206
node_2,320.04768,1702149206
master,1367.80234,1702149211
node_1,321.59376,1702149211
node_3,311.49532,1702149211
node_2,321.20548,1702149211
master,1368.12112,1702149216
node_1,321.27108,1702149216
node_3,310.26014,1702149216
node_2,322.53048,1702149216
master,1368.21408,1702149221
node_1,320.38826,1702149221
node_3,310.04686,1702149221
node_2,323.19764,1702149221
master,1368.40308,1702149226
node_1,320.00156,1702149226
node_3,309.83206,1702149226
node_2,323.27964,1702149226
master,1368.59528,1702149231
node_1,320.01872,1702149231
node_3,309.79686,1702149231
node_2,322.94532,1702149231
master,1368.63904,1702149236
node_1,320.68278,1702149236
node_3,309.73046,1702149236
node_2,322.72348,1702149236
master,1366.18126,1702149241
node_1,321.21642,1702149241
node_3,309.9875,1702149241
node_2,322.55158,1702149241
master,1365.93908,1702149246
node_1,321.48828,1702149246
node_3,309.90702,1702149246
node_2,321.31798,1702149246
master,1366.44766,1702149251
node_1,321.90936,1702149251
node_3,310.5742,1702149251
node_2,320.75314,1702149251
master,1367.30312,1702149256
node_1,322.3992,1702149256
node_3,310.92188,1702149256
node_2,320.73284,1702149256
master,1367.31406,1702149261
node_1,322.8328,1702149261
node_3,311.43358,1702149261
node_2,320.7266,1702149261
master,1368.82578,1702149266
node_1,323.46718,1702149266
node_3,311.65078,1702149266
node_2,320.7266,1702149266
master,1369.61796,1702149271
node_1,323.93048,1702149271
node_3,311.76096,1702149271
node_2,321.16956,1702149271
master,1369.3406,1702149276
node_1,324.09768,1702149276
node_3,312.06096,1702149276
node_2,321.56324,1702149276
master,1369.1,1702149281
node_1,324.16874,1702149281
node_3,312.40234,1702149281
node_2,322.08278,1702149281
master,1368.7297,1702149286
node_1,324.02502,1702149286
node_3,312.8453,1702149286
node_2,322.85234,1702149286
master,1368.66404,1702149291
node_1,323.91484,1702149291
node_3,313.4445,1702149291
node_2,323.75236,1702149291
master,1369.06402,1702149296
node_1,324.03046,1702149296
node_3,314.03596,1702149296
node_2,324.45782,1702149296
master,1369.28826,1702149301
node_1,323.74922,1702149301
node_3,314.6453,1702149301
node_2,325.04142,1702149301
master,1369.44374,1702149306
node_1,323.56722,1702149306
node_3,314.75154,1702149306
node_2,324.99296,1702149306
master,1369.23672,1702149311
node_1,323.3672,1702149311
node_3,315.21482,1702149311
node_2,324.38438,1702149311
master,1368.83984,1702149316
node_1,324.07658,1702149316
node_3,315.75938,1702149316
node_2,324.03592,1702149316
master,1368.78514,1702149321
node_1,324.4539,1702149321
node_3,316.1227,1702149321
node_2,323.98904,1702149321
master,1369.05548,1702149326
node_1,325.22734,1702149326
node_3,316.04452,1702149326
node_2,323.77972,1702149326
master,1369.62968,1702149331
node_1,326.09844,1702149331
node_3,315.67578,1702149331
node_2,323.7766,1702149331
master,1369.90082,1702149336
node_1,326.3156,1702149336
node_3,315.35,1702149336
node_2,323.75626,1702149336
master,1369.29456,1702149341
node_1,327.07966,1702149341
node_3,315.53204,1702149341
node_2,324.0797,1702149341
master,1368.92502,1702149346
node_1,327.7859,1702149346
node_3,315.6922,1702149346
node_2,324.5586,1702149346
master,1369.0672,1702149351
node_1,328.51482,1702149351
node_3,316.21718,1702149351
node_2,325.4211,1702149351
master,1369.29688,1702149356
node_1,329.24764,1702149356
node_3,316.43358,1702149356
node_2,325.28672,1702149356
master,1369.56484,1702149361
node_1,329.88984,1702149361
node_3,316.10626,1702149361
node_2,325.88982,1702149361
master,1411.28438,1702149366
node_1,335.5711,1702149366
node_3,320.34764,1702149366
node_2,331.20702,1702149366
master,1800.8478,1702149371
node_1,358.8531,1702149371
node_3,331.90078,1702149371
node_2,343.62812,1702149371
master,1841.0892,1702149376
node_1,360.85704,1702149376
node_3,336.625,1702149376
node_2,346.83438,1702149376
master,1850.1126,1702149381
node_1,362.76878,1702149381
node_3,339.67578,1702149381
node_2,345.59298,1702149381
