hostname,value,timestamp,chart_family
master,42.2,1702200586,nvme0n1
master,42.2,1702200586,ubuntu--vg-ubuntu--lv
node_2,31.6,1702200586,mmcblk0
node_1,28.4,1702200586,mmcblk0
node_3,43.4,1702200586,mmcblk0
master,2.4,1702200591,nvme0n1
master,2.4,1702200591,ubuntu--vg-ubuntu--lv
node_2,1.6,1702200591,mmcblk0
node_1,3,1702200591,mmcblk0
node_3,4.8,1702200591,mmcblk0
master,24,1702200596,nvme0n1
master,24,1702200596,ubuntu--vg-ubuntu--lv
node_2,28.6,1702200596,mmcblk0
node_1,13.4,1702200596,mmcblk0
node_3,23.4,1702200596,mmcblk0
master,73.6,1702200601,nvme0n1
master,73.6,1702200601,ubuntu--vg-ubuntu--lv
node_2,2.2,1702200601,mmcblk0
node_1,1.6,1702200601,mmcblk0
node_3,5.2,1702200601,mmcblk0
master,45.2,1702200606,nvme0n1
master,45.2,1702200606,ubuntu--vg-ubuntu--lv
node_2,4.4,1702200606,mmcblk0
node_1,3,1702200606,mmcblk0
node_3,3,1702200606,mmcblk0
master,5.2,1702200611,nvme0n1
master,5.2,1702200611,ubuntu--vg-ubuntu--lv
node_2,7.6,1702200611,mmcblk0
node_1,12.4,1702200611,mmcblk0
node_3,1.2,1702200611,mmcblk0
master,17.4,1702200616,nvme0n1
master,17.4,1702200616,ubuntu--vg-ubuntu--lv
node_2,64.6,1702200616,mmcblk0
node_1,66.2,1702200616,mmcblk0
node_3,47.6,1702200616,mmcblk0
master,34,1702200621,nvme0n1
master,34,1702200621,ubuntu--vg-ubuntu--lv
node_2,20.8,1702200621,mmcblk0
node_1,4,1702200621,mmcblk0
node_3,56.2,1702200621,mmcblk0
master,75.2,1702200626,nvme0n1
master,75.2,1702200626,ubuntu--vg-ubuntu--lv
node_2,9,1702200626,mmcblk0
node_1,0.6,1702200626,mmcblk0
node_3,1.8,1702200626,mmcblk0
master,99.2,1702200631,nvme0n1
master,99.2,1702200631,ubuntu--vg-ubuntu--lv
node_1,28.4,1702200631,mmcblk0
node_2,43,1702200631,mmcblk0
node_3,44.4,1702200631,mmcblk0
master,83.8,1702200636,nvme0n1
master,83.8,1702200636,ubuntu--vg-ubuntu--lv
node_2,10.6,1702200636,mmcblk0
node_1,0,1702200636,mmcblk0
node_3,6.6,1702200636,mmcblk0
master,63.6,1702200641,nvme0n1
master,63.4,1702200641,ubuntu--vg-ubuntu--lv
node_2,0.2,1702200641,mmcblk0
node_1,5.2,1702200641,mmcblk0
node_3,15.2,1702200641,mmcblk0
master,72,1702200646,nvme0n1
master,72,1702200646,ubuntu--vg-ubuntu--lv
node_2,19.4,1702200646,mmcblk0
node_1,11.2,1702200646,mmcblk0
node_3,3.6,1702200646,mmcblk0
master,92.6,1702200651,nvme0n1
master,92.6,1702200651,ubuntu--vg-ubuntu--lv
node_1,1.2,1702200651,mmcblk0
node_2,8,1702200651,mmcblk0
node_3,13.4,1702200651,mmcblk0
master,47.8,1702200656,nvme0n1
master,47.8,1702200656,ubuntu--vg-ubuntu--lv
node_1,8.8,1702200656,mmcblk0
node_2,2.6,1702200656,mmcblk0
node_3,14.8,1702200656,mmcblk0
master,5.6,1702200661,nvme0n1
master,5.8,1702200661,ubuntu--vg-ubuntu--lv
node_2,0.4,1702200661,mmcblk0
node_1,3.6,1702200661,mmcblk0
node_3,0.8,1702200661,mmcblk0
master,11.2,1702200666,nvme0n1
master,11.2,1702200666,ubuntu--vg-ubuntu--lv
node_1,4.4,1702200666,mmcblk0
node_2,12.8,1702200666,mmcblk0
node_3,0.4,1702200666,mmcblk0
master,7,1702200671,nvme0n1
master,7,1702200671,ubuntu--vg-ubuntu--lv
node_2,6.8,1702200671,mmcblk0
node_1,2,1702200671,mmcblk0
node_3,14,1702200671,mmcblk0
master,6.2,1702200676,nvme0n1
master,6.2,1702200676,ubuntu--vg-ubuntu--lv
