hostname,value,timestamp,id,name
master,41914.35088,1702200586,InOctets,received
master,-5891.09794,1702200586,OutOctets,sent
node_2,4443.8179,1702200586,InOctets,received
node_2,-1335.805036,1702200586,OutOctets,sent
node_1,4465.44656,1702200586,InOctets,received
node_1,-1014.34557,1702200586,OutOctets,sent
node_3,3891.1594,1702200586,InOctets,received
node_3,-1086.167172,1702200586,OutOctets,sent
master,94945.88,1702200591,InOctets,received
master,-3510.6302,1702200591,OutOctets,sent
node_2,12061.4244,1702200591,InOctets,received
node_2,-1497.3303,1702200591,OutOctets,sent
node_1,8914.519,1702200591,InOctets,received
node_1,-1082.7268,1702200591,OutOctets,sent
node_3,11284.8208,1702200591,InOctets,received
node_3,-1219.74356,1702200591,OutOctets,sent
master,52492.922,1702200596,InOctets,received
master,-2980.26802,1702200596,OutOctets,sent
node_2,14304.5452,1702200596,InOctets,received
node_2,-1547.376168,1702200596,OutOctets,sent
node_1,17246.6842,1702200596,InOctets,received
node_1,-1289.41946,1702200596,OutOctets,sent
node_3,15452.691,1702200596,InOctets,received
node_3,-1308.19756,1702200596,OutOctets,sent
master,72950.778,1702200601,InOctets,received
master,-3777.3924,1702200601,OutOctets,sent
node_2,113.356358,1702200601,InOctets,received
node_2,-1401.8682792,1702200601,OutOctets,sent
node_1,279.137872,1702200601,InOctets,received
node_1,-908.7810099,1702200601,OutOctets,sent
node_3,297.575786,1702200601,InOctets,received
node_3,-985.3508027,1702200601,OutOctets,sent
master,117136.934,1702200606,InOctets,received
master,-4431.7824,1702200606,OutOctets,sent
node_2,509.4824054,1702200606,InOctets,received
node_2,-1415.1939204,1702200606,OutOctets,sent
node_1,179.519526,1702200606,InOctets,received
node_1,-908.250678,1702200606,OutOctets,sent
node_3,74.993672,1702200606,InOctets,received
node_3,-984.8600928,1702200606,OutOctets,sent
master,122679.41,1702200611,InOctets,received
master,-4434.2168,1702200611,OutOctets,sent
node_2,2447.5696,1702200611,InOctets,received
node_2,-1465.277664,1702200611,OutOctets,sent
node_1,3826.5642,1702200611,InOctets,received
node_1,-1022.458034,1702200611,OutOctets,sent
node_3,2396.88664,1702200611,InOctets,received
node_3,-1059.37341,1702200611,OutOctets,sent
master,142204.194,1702200616,InOctets,received
master,-4977.0874,1702200616,OutOctets,sent
node_2,1117.8570016,1702200616,InOctets,received
