4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          886.74          ---          ---        20.48711        13.11900       178.17500       374.78300        68.31 
Gets         8865.74         3.67      8862.07        20.44902        13.11900       177.15100       376.83100       345.47 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       9752.47         3.67      8862.07        20.45248        13.11900       177.15100       376.83100       413.77 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.159        0.000
SET       2.767        5.000
SET       4.831       10.000
SET       6.559       15.000
SET       7.327       20.000
SET       8.255       25.000
SET       8.703       30.000
SET       9.023       35.000
SET       9.727       40.000
SET      11.199       45.000
SET      13.119       50.000
SET      14.271       52.500
SET      15.295       55.000
SET      16.127       57.500
SET      16.895       60.000
SET      17.407       62.500
SET      18.431       65.000
SET      19.583       67.500
SET      20.607       70.000
SET      21.247       72.500
SET      22.527       75.000
SET      23.423       76.250
SET      24.191       77.500
SET      24.959       78.750
SET      25.727       80.000
SET      26.751       81.250
SET      27.903       82.500
SET      28.799       83.750
SET      29.695       85.000
SET      30.847       86.250
SET      32.127       87.500
SET      33.023       88.125
SET      33.791       88.750
SET      34.559       89.375
SET      35.839       90.000
SET      36.863       90.625
SET      37.887       91.250
SET      39.423       91.875
SET      40.959       92.500
SET      42.495       93.125
SET      44.543       93.750
SET      45.823       94.062
SET      46.847       94.375
SET      48.383       94.688
SET      49.663       95.000
SET      51.455       95.312
SET      53.503       95.625
SET      56.319       95.938
SET      59.391       96.250
SET      63.231       96.562
SET      68.095       96.875
SET      71.167       97.031
SET      75.775       97.188
SET      80.383       97.344
SET      85.503       97.500
SET      90.623       97.656
SET      97.791       97.812
SET     104.959       97.969
SET     113.151       98.125
SET     121.855       98.281
SET     132.095       98.438
SET     137.215       98.516
SET     142.335       98.594
SET     149.503       98.672
SET     155.647       98.750
SET     161.791       98.828
SET     168.959       98.906
SET     177.151       98.984
SET     184.319       99.062
SET     193.535       99.141
SET     202.751       99.219
SET     207.871       99.258
SET     212.991       99.297
SET     218.111       99.336
SET     222.207       99.375
SET     228.351       99.414
