4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1366.48          ---          ---        13.29354         9.02300        81.40700       219.13500       105.27 
Gets        13663.17        40.75     13622.42        13.28442         9.02300        80.38300       220.15900       533.57 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      15029.65        40.75     13622.42        13.28525         9.02300        80.38300       220.15900       638.84 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.183        0.000
SET       2.639        5.000
SET       4.383       10.000
SET       5.951       15.000
SET       6.815       20.000
SET       7.647       25.000
SET       8.255       30.000
SET       8.447       35.000
SET       8.639       40.000
SET       8.895       45.000
SET       9.023       50.000
SET       9.087       52.500
SET       9.279       55.000
SET       9.535       57.500
SET       9.855       60.000
SET      10.431       62.500
SET      11.391       65.000
SET      12.351       67.500
SET      13.375       70.000
SET      14.527       72.500
SET      15.679       75.000
SET      16.063       76.250
SET      16.511       77.500
SET      16.767       78.750
SET      17.151       80.000
SET      17.535       81.250
SET      18.303       82.500
SET      19.071       83.750
SET      19.839       85.000
SET      20.479       86.250
SET      20.991       87.500
SET      21.247       88.125
SET      21.503       88.750
SET      21.887       89.375
SET      22.527       90.000
SET      23.295       90.625
SET      24.063       91.250
SET      24.831       91.875
SET      25.599       92.500
SET      26.751       93.125
SET      28.031       93.750
SET      28.671       94.062
SET      29.311       94.375
SET      29.823       94.688
SET      30.591       95.000
SET      31.359       95.312
SET      32.255       95.625
SET      33.279       95.938
SET      34.303       96.250
SET      35.839       96.562
SET      37.119       96.875
SET      37.887       97.031
SET      38.911       97.188
SET      40.191       97.344
SET      41.215       97.500
SET      42.495       97.656
SET      44.287       97.812
SET      46.335       97.969
SET      49.151       98.125
SET      52.223       98.281
SET      55.807       98.438
SET      58.111       98.516
SET      60.671       98.594
SET      63.231       98.672
SET      66.559       98.750
SET      70.143       98.828
SET      74.751       98.906
SET      80.383       98.984
SET      86.527       99.062
SET      92.671       99.141
SET      99.327       99.219
SET     102.399       99.258
SET     105.983       99.297
SET     109.567       99.336
SET     113.663       99.375
