hostname,value,timestamp,chart_family
master,1.2,1695925576,nvme0n1
master,1.2,1695925576,ubuntu--vg-ubuntu--lv
node_3,7.4,1695925576,mmcblk0
node_2,1.4,1695925576,mmcblk0
node_1,5.8,1695925576,mmcblk0
master,1.2,1695925581,nvme0n1
master,1.2,1695925581,ubuntu--vg-ubuntu--lv
node_3,1.2,1695925581,mmcblk0
node_1,0.8,1695925581,mmcblk0
node_2,12.4,1695925581,mmcblk0
master,0.6,1695925586,nvme0n1
master,0.6,1695925586,ubuntu--vg-ubuntu--lv
node_3,8.2,1695925586,mmcblk0
node_2,2.2,1695925586,mmcblk0
node_1,5.8,1695925586,mmcblk0
master,1.2,1695925591,nvme0n1
master,1.2,1695925591,ubuntu--vg-ubuntu--lv
node_3,12.6,1695925591,mmcblk0
node_2,11.4,1695925591,mmcblk0
node_1,1.2,1695925591,mmcblk0
master,1,1695925596,nvme0n1
master,1,1695925596,ubuntu--vg-ubuntu--lv
node_3,1.2,1695925596,mmcblk0
node_1,6,1695925596,mmcblk0
node_2,17.2,1695925596,mmcblk0
master,0.6,1695925601,nvme0n1
master,0.6,1695925601,ubuntu--vg-ubuntu--lv
node_3,13.4,1695925601,mmcblk0
node_2,0.4,1695925601,mmcblk0
node_1,6.6,1695925601,mmcblk0
master,1,1695925606,nvme0n1
master,1,1695925606,ubuntu--vg-ubuntu--lv
node_3,1,1695925606,mmcblk0
node_2,13.8,1695925606,mmcblk0
node_1,0.8,1695925606,mmcblk0
master,1,1695925611,nvme0n1
master,1,1695925611,ubuntu--vg-ubuntu--lv
node_3,12.4,1695925611,mmcblk0
node_2,1.6,1695925611,mmcblk0
node_1,5.6,1695925611,mmcblk0
master,0.4,1695925616,nvme0n1
master,0.4,1695925616,ubuntu--vg-ubuntu--lv
node_3,1,1695925616,mmcblk0
node_2,12,1695925616,mmcblk0
node_1,0.8,1695925616,mmcblk0
master,1,1695925621,nvme0n1
master,1,1695925621,ubuntu--vg-ubuntu--lv
node_3,12.4,1695925621,mmcblk0
node_2,1.4,1695925621,mmcblk0
node_1,6,1695925621,mmcblk0
master,1,1695925626,nvme0n1
master,1,1695925626,ubuntu--vg-ubuntu--lv
node_3,1.2,1695925626,mmcblk0
node_1,0.8,1695925626,mmcblk0
node_2,12.8,1695925626,mmcblk0
master,1.2,1695925631,nvme0n1
master,1.2,1695925631,ubuntu--vg-ubuntu--lv
node_3,12.8,1695925631,mmcblk0
node_2,69.514905,1695925631,mmcblk0
node_1,6.4,1695925631,mmcblk0
master,0.6,1695925636,nvme0n1
master,0.6,1695925636,ubuntu--vg-ubuntu--lv
node_3,1.4,1695925636,mmcblk0
node_2,19,1695925636,mmcblk0
node_1,3,1695925636,mmcblk0
master,0.6,1695925641,nvme0n1
master,0.6,1695925641,ubuntu--vg-ubuntu--lv
node_3,10.6,1695925641,mmcblk0
node_2,1.4,1695925641,mmcblk0
node_1,3.6,1695925641,mmcblk0
master,0.6,1695925646,nvme0n1
master,0.6,1695925646,ubuntu--vg-ubuntu--lv
node_3,8.6,1695925646,mmcblk0
node_2,13.4,1695925646,mmcblk0
node_1,6.6,1695925646,mmcblk0
master,1.2,1695925651,nvme0n1
master,1.2,1695925651,ubuntu--vg-ubuntu--lv
node_3,4.6,1695925651,mmcblk0
node_2,8.4,1695925651,mmcblk0
node_1,0.8,1695925651,mmcblk0
master,0.8,1695925656,nvme0n1
master,0.8,1695925656,ubuntu--vg-ubuntu--lv
node_3,13.4,1695925656,mmcblk0
node_2,4.8,1695925656,mmcblk0
node_1,5.8,1695925656,mmcblk0
master,1.2,1695925661,nvme0n1
master,1.2,1695925661,ubuntu--vg-ubuntu--lv
node_3,1.6,1695925661,mmcblk0
node_2,13.8,1695925661,mmcblk0
node_1,0.6,1695925661,mmcblk0
master,0.8,1695925666,nvme0n1
master,0.8,1695925666,ubuntu--vg-ubuntu--lv
node_3,13.4,1695925666,mmcblk0
node_2,1.6,1695925666,mmcblk0
node_1,6.8,1695925666,mmcblk0
master,0.8,1695925671,nvme0n1
master,0.8,1695925671,ubuntu--vg-ubuntu--lv
node_3,1,1695925671,mmcblk0
node_1,0.6,1695925671,mmcblk0
node_2,13.8,1695925671,mmcblk0
master,1,1695925676,nvme0n1
master,1,1695925676,ubuntu--vg-ubuntu--lv
node_3,13.4,1695925676,mmcblk0
node_2,1.4,1695925676,mmcblk0
node_1,6.2,1695925676,mmcblk0
master,0.6,1695925681,nvme0n1
master,0.6,1695925681,ubuntu--vg-ubuntu--lv
node_3,1,1695925681,mmcblk0
node_2,10.8,1695925681,mmcblk0
node_1,3,1695925681,mmcblk0
master,0.6,1695925686,nvme0n1
master,0.6,1695925686,ubuntu--vg-ubuntu--lv
node_3,11.4,1695925686,mmcblk0
node_1,3.6,1695925686,mmcblk0
node_2,1.2,1695925686,mmcblk0
master,1.8,1695925691,nvme0n1
master,1.8,1695925691,ubuntu--vg-ubuntu--lv
node_3,1.2,1695925691,mmcblk0
node_2,12.2,1695925691,mmcblk0
node_1,6.4,1695925691,mmcblk0
master,0.8,1695925696,nvme0n1
master,0.8,1695925696,ubuntu--vg-ubuntu--lv
node_3,12.4,1695925696,mmcblk0
node_2,1.6,1695925696,mmcblk0
node_1,0.8,1695925696,mmcblk0
master,0.6,1695925701,nvme0n1
