hostname,value,timestamp
node_2,368.45314,1708739156
node_3,410.27658,1708739156
master,1211.48828,1708739156
node_1,376.57814,1708739156
node_2,402.50238,1708739161
node_3,431.58906,1708739161
master,1212.71952,1708739161
node_1,394.96408,1708739161
node_2,399.10392,1708739166
node_3,431.41954,1708739166
master,1213.16718,1708739166
node_1,387.26408,1708739166
node_2,393.72264,1708739171
node_3,428.16796,1708739171
master,1213.37814,1708739171
node_1,387.64144,1708739171
node_2,385.28284,1708739176
node_3,425.7773,1708739176
master,1213.59064,1708739176
node_1,377.18672,1708739176
node_2,383.2367,1708739181
node_3,426.49294,1708739181
master,1213.80472,1708739181
node_1,377.6016,1708739181
node_2,380.66482,1708739186
node_3,426.98672,1708739186
master,1214.00158,1708739186
node_1,378.61718,1708739186
node_2,383.54376,1708739191
node_3,422.82346,1708739191
master,1214.12344,1708739191
node_1,378.9883,1708739191
node_3,421.74142,1708739196
master,1214.49064,1708739196
node_1,376.51798,1708739196
node_2,388.51562,1708739196
node_2,376.68436,1708739201
node_3,408.70392,1708739201
master,1215.5664,1708739201
node_1,370.44764,1708739201
node_2,373.53204,1708739206
node_3,431.36562,1708739206
master,1218.96172,1708739206
node_1,405.9797,1708739206
node_2,477.51796,1708739211
node_3,515.94296,1708739211
master,1220.78906,1708739211
node_1,500.4992,1708739211
node_2,497.74842,1708739216
node_3,544.97344,1708739216
master,1221.9969,1708739216
node_1,499.6953,1708739216
node_2,499.44296,1708739221
node_3,542.08986,1708739221
master,1222.03676,1708739221
node_1,498.11484,1708739221
node_2,501.93516,1708739226
node_3,540.51172,1708739226
master,1222.03046,1708739226
node_1,496.76094,1708739226
node_2,502.70078,1708739231
node_3,540.8594,1708739231
master,1222.02418,1708739231
node_1,496.0586,1708739231
node_2,501.74922,1708739236
node_3,539.5797,1708739236
master,1222.01638,1708739236
node_1,501.98828,1708739236
node_2,502.31014,1708739241
node_3,542.51716,1708739241
master,1222.00702,1708739241
node_1,505.61248,1708739241
node_2,500.4281,1708739246
node_3,543.2117,1708739246
master,1222,1708739246
node_1,507.67892,1708739246
node_2,500.86794,1708739251
node_3,541.22812,1708739251
master,1222.13438,1708739251
node_1,509.37574,1708739251
node_2,509.1289,1708739256
node_3,534.26014,1708739256
master,1222.29374,1708739256
node_1,509.03904,1708739256
node_2,510.41956,1708739261
node_3,534.77188,1708739261
master,1222.17814,1708739261
node_1,507.9383,1708739261
node_2,511.7906,1708739266
node_3,538.93672,1708739266
master,1222.16722,1708739266
node_1,504.18126,1708739266
node_2,512.2789,1708739271
node_3,539.06876,1708739271
master,1222.30546,1708739271
node_1,497.61328,1708739271
node_2,514.5656,1708739276
node_3,542.05938,1708739276
master,1239.45156,1708739276
node_1,468.4336,1708739276
node_2,495.1789,1708739281
node_3,491.2875,1708739281
master,1243.87658,1708739281
node_1,397.01718,1708739281
node_2,415.6625,1708739286
node_3,437.02578,1708739286
master,1248.46716,1708739286
node_1,388.1031,1708739286
node_2,398.8703,1708739291
node_3,432.2211,1708739291
master,1249.97106,1708739291
node_1,377.925,1708739291
node_2,390.11642,1708739296
node_3,427.3086,1708739296
master,1250.01248,1708739296
node_1,377.1289,1708739296
node_2,385.32108,1708739301
node_3,412.5789,1708739301
master,1250,1708739301
node_1,373.0008,1708739301
node_2,385.27344,1708739306
node_3,412.6945,1708739306
master,1246.37814,1708739306
node_1,373.10938,1708739306
node_2,385.94612,1708739311
node_3,412.8906,1708739311
master,1245.44686,1708739311
node_1,370.98202,1708739311
node_2,381.3578,1708739316
node_3,414.97656,1708739316
master,1245.4375,1708739316
node_1,369.59142,1708739316
node_2,379.70782,1708739321
node_3,415.34378,1708739321
master,1245.7508,1708739321
