hostname,value,timestamp,id,name
master,172.31809,1696272846,InOctets,received
master,-2071.23316,1696272846,OutOctets,sent
node_3,17.4336008,1696272846,InOctets,received
node_3,-912.0376558,1696272846,OutOctets,sent
node_1,569.581454,1696272846,InOctets,received
node_1,-931.306142,1696272846,OutOctets,sent
node_2,565.503682,1696272846,InOctets,received
node_2,-1127.8592,1696272846,OutOctets,sent
master,190.793962,1696272851,InOctets,received
master,-2279.939086,1696272851,OutOctets,sent
node_3,561.223892,1696272851,InOctets,received
node_3,-1013.735626,1696272851,OutOctets,sent
node_1,34.9400685,1696272851,InOctets,received
node_1,-841.0822731,1696272851,OutOctets,sent
node_2,24.3491274,1696272851,InOctets,received
node_2,-1023.3888814,1696272851,OutOctets,sent
master,206.142182,1696272856,InOctets,received
master,-2359.4805,1696272856,OutOctets,sent
node_3,20.3425952,1696272856,InOctets,received
node_3,-919.5358724,1696272856,OutOctets,sent
node_1,506.7318136,1696272856,InOctets,received
node_1,-913.060132,1696272856,OutOctets,sent
node_2,537.429266,1696272856,InOctets,received
node_2,-1121.422874,1696272856,OutOctets,sent
master,156.173098,1696272861,InOctets,received
master,-2121.708946,1696272861,OutOctets,sent
node_3,523.238305,1696272861,InOctets,received
node_3,-1006.2692038,1696272861,OutOctets,sent
node_1,58.990392,1696272861,InOctets,received
node_1,-856.3072,1696272861,OutOctets,sent
node_2,22.9311511,1696272861,InOctets,received
node_2,-1034.8065333,1696272861,OutOctets,sent
master,202.56102,1696272866,InOctets,received
master,-2498.557766,1696272866,OutOctets,sent
node_3,47.75981,1696272866,InOctets,received
node_3,-934.26804,1696272866,OutOctets,sent
node_1,505.3791926,1696272866,InOctets,received
node_1,-898.2287388,1696272866,OutOctets,sent
node_2,543.505166,1696272866,InOctets,received
node_2,-1111.861922,1696272866,OutOctets,sent
master,142.285132,1696272871,InOctets,received
master,-2042.674998,1696272871,OutOctets,sent
node_3,514.104192,1696272871,InOctets,received
node_3,-988.107994,1696272871,OutOctets,sent
node_1,347.2226004,1696272871,InOctets,received
node_1,-904.7605782,1696272871,OutOctets,sent
node_2,48.212932,1696272871,InOctets,received
node_2,-1044.5808,1696272871,OutOctets,sent
master,219.428412,1696272876,InOctets,received
master,-2585.3688,1696272876,OutOctets,sent
node_3,58.9872,1696272876,InOctets,received
node_3,-940.585652,1696272876,OutOctets,sent
node_1,195.537381,1696272876,InOctets,received
node_1,-851.7546256,1696272876,OutOctets,sent
node_2,526.8359892,1696272876,InOctets,received
node_2,-1103.262386,1696272876,OutOctets,sent
master,231.88137,1696272881,InOctets,received
master,-2896.20336,1696272881,OutOctets,sent
node_3,664.0863974,1696272881,InOctets,received
node_3,-993.414475,1696272881,OutOctets,sent
node_1,482.422564,1696272881,InOctets,received
node_1,-930.47693,1696272881,OutOctets,sent
node_2,59.7974675,1696272881,InOctets,received
node_2,-1051.0497879,1696272881,OutOctets,sent
master,146.400174,1696272886,InOctets,received
master,-1893.930994,1696272886,OutOctets,sent
node_3,234.43574,1696272886,InOctets,received
node_3,-970.056054,1696272886,OutOctets,sent
node_1,22.3847747,1696272886,InOctets,received
node_1,-834.6632471,1696272886,OutOctets,sent
node_2,421.496002,1696272886,InOctets,received
node_2,-1096.356798,1696272886,OutOctets,sent
master,300.96756,1696272891,InOctets,received
master,-3770.62408,1696272891,OutOctets,sent
node_3,668.6347499,1696272891,InOctets,received
node_3,-970.8662402,1696272891,OutOctets,sent
node_1,625.551054,1696272891,InOctets,received
node_1,-934.687078,1696272891,OutOctets,sent
node_2,59.6281456,1696272891,InOctets,received
node_2,-1054.6478429,1696272891,OutOctets,sent
master,178.541624,1696272896,InOctets,received
master,-1922.52368,1696272896,OutOctets,sent
node_3,348.9513666,1696272896,InOctets,received
node_3,-1004.6308717,1696272896,OutOctets,sent
node_1,44.10006,1696272896,InOctets,received
node_1,-847.9014,1696272896,OutOctets,sent
node_2,375.680652,1696272896,InOctets,received
node_2,-1096.3969764,1696272896,OutOctets,sent
master,233.00517,1696272901,InOctets,received
master,-2313.05598,1696272901,OutOctets,sent
node_3,42.8693001,1696272901,InOctets,received
node_3,-919.4850591,1696272901,OutOctets,sent
node_1,747.3911898,1696272901,InOctets,received
node_1,-963.767422,1696272901,OutOctets,sent
node_2,232.088602,1696272901,InOctets,received
node_2,-1086.199786,1696272901,OutOctets,sent
master,202.3516548,1696272906,InOctets,received
master,-2217.791482,1696272906,OutOctets,sent
node_3,413.847222,1696272906,InOctets,received
node_3,-1010.637412,1696272906,OutOctets,sent
node_1,58.9839997,1696272906,InOctets,received
node_1,-856.572954,1696272906,OutOctets,sent
node_2,178.9763247,1696272906,InOctets,received
node_2,-1055.1473863,1696272906,OutOctets,sent
master,127.904056,1696272911,InOctets,received
master,-2130.20084,1696272911,OutOctets,sent
node_3,25.7269892,1696272911,InOctets,received
node_3,-923.3851798,1696272911,OutOctets,sent
node_1,363.7376048,1696272911,InOctets,received
node_1,-901.131352,1696272911,OutOctets,sent
node_2,373.9512514,1696272911,InOctets,received
node_2,-1115.1598068,1696272911,OutOctets,sent
master,220.306542,1696272916,InOctets,received
master,-2579.65664,1696272916,OutOctets,sent
node_3,423.7185814,1696272916,InOctets,received
node_3,-1000.6238018,1696272916,OutOctets,sent
node_1,267.868566,1696272916,InOctets,received
node_1,-902.272826,1696272916,OutOctets,sent
node_2,60.6846095,1696272916,InOctets,received
node_2,-1034.461062,1696272916,OutOctets,sent
master,165.457174,1696272921,InOctets,received
master,-2233.2476,1696272921,OutOctets,sent
node_3,47.7968772,1696272921,InOctets,received
node_3,-934.2862744,1696272921,OutOctets,sent
node_1,162.3218453,1696272921,InOctets,received
node_1,-861.1000287,1696272921,OutOctets,sent
node_2,425.82576,1696272921,InOctets,received
node_2,-1131.7642,1696272921,OutOctets,sent
master,240.10355,1696272926,InOctets,received
master,-2753.05296,1696272926,OutOctets,sent
node_3,376.1999272,1696272926,InOctets,received
node_3,-991.7762472,1696272926,OutOctets,sent
node_1,390.289674,1696272926,InOctets,received
node_1,-927.002368,1696272926,OutOctets,sent
node_2,7.2099394,1696272926,InOctets,received
node_2,-1021.493493,1696272926,OutOctets,sent
master,130.108708,1696272931,InOctets,received
master,-2137.568046,1696272931,OutOctets,sent
node_3,59.277978,1696272931,InOctets,received
node_3,-940.700798,1696272931,OutOctets,sent
node_1,22.1548277,1696272931,InOctets,received
node_1,-834.7445335,1696272931,OutOctets,sent
node_2,389.065588,1696272931,InOctets,received
node_2,-1120.464278,1696272931,OutOctets,sent
master,217.701506,1696272936,InOctets,received
master,-2585.50868,1696272936,OutOctets,sent
node_3,338.0952834,1696272936,InOctets,received
node_3,-983.1555824,1696272936,OutOctets,sent
node_1,400.619603,1696272936,InOctets,received
node_1,-922.334604,1696272936,OutOctets,sent
node_2,31.9016008,1696272936,InOctets,received
node_2,-1036.893518,1696272936,OutOctets,sent
master,154.233076,1696272941,InOctets,received
master,-2201.887012,1696272941,OutOctets,sent
node_3,191.9669216,1696272941,InOctets,received
node_3,-969.5727036,1696272941,OutOctets,sent
node_1,47.0232091,1696272941,InOctets,received
node_1,-849.3205051,1696272941,OutOctets,sent
node_2,387.5971166,1696272941,InOctets,received
node_2,-1108.994086,1696272941,OutOctets,sent
master,186.4270814,1696272946,InOctets,received
master,-2566.30762,1696272946,OutOctets,sent
node_3,294.1258738,1696272946,InOctets,received
node_3,-958.3185584,1696272946,OutOctets,sent
node_1,375.9832366,1696272946,InOctets,received
node_1,-906.303372,1696272946,OutOctets,sent
node_2,52.305262,1696272946,InOctets,received
node_2,-1051.2108,1696272946,OutOctets,sent
master,203.77404,1696272951,InOctets,received
master,-2372.075028,1696272951,OutOctets,sent
node_3,369.3695016,1696272951,InOctets,received
node_3,-1002.6299836,1696272951,OutOctets,sent
