hostname,value,timestamp
master,88.246074,1696247221
node_2,85.725918,1696247221
node_3,76.011062,1696247221
node_1,83.604218,1696247221
master,96.519694,1696247226
node_2,87.469266,1696247226
node_3,96.12301,1696247226
node_1,94.254346,1696247226
master,93.974082,1696247231
node_2,88.81002,1696247231
node_3,79.649598,1696247231
node_1,81.041304,1696247231
master,97.552782,1696247236
node_2,80.03179,1696247236
node_3,94.80334,1696247236
node_1,96.1838,1696247236
master,93.41132,1696247241
node_2,94.807506,1696247241
node_3,78.900538,1696247241
node_1,83.044352,1696247241
master,97.66961,1696247246
node_2,77.185924,1696247246
node_3,92.848462,1696247246
node_1,92.255802,1696247246
master,88.258354,1696247251
node_2,97.638668,1696247251
node_3,74.738162,1696247251
node_1,86.720434,1696247251
master,93.632588,1696247256
node_2,78.036172,1696247256
node_3,94.851172,1696247256
node_1,89.635724,1696247256
master,91.707018,1696247261
node_2,94.215622,1696247261
node_3,79.45202,1696247261
node_1,89.364478,1696247261
master,78.191058,1696247266
node_2,81.293094,1696247266
node_3,92.662084,1696247266
node_1,81.017996,1696247266
master,94.677518,1696247271
node_2,92.777904,1696247271
node_3,79.655168,1696247271
node_1,96.933756,1696247271
master,93.855234,1696247276
node_2,82.699284,1696247276
node_3,87.144334,1696247276
node_1,80.530774,1696247276
master,96.818512,1696247281
node_2,87.99477,1696247281
node_3,88.718446,1696247281
node_1,93.574248,1696247281
master,91.079784,1696247286
node_2,88.409378,1696247286
node_3,85.45728,1696247286
node_1,83.065368,1696247286
master,97.279906,1696247291
node_2,87.566196,1696247291
node_3,89.103388,1696247291
node_1,89.54318,1696247291
master,94.24735,1696247296
node_2,88.437072,1696247296
node_3,77.37595,1696247296
node_1,87.72193,1696247296
master,95.269744,1696247301
node_2,77.053854,1696247301
node_3,96.466724,1696247301
node_1,83.833142,1696247301
master,96.098016,1696247306
node_2,96.777514,1696247306
node_3,76.710808,1696247306
node_1,92.762818,1696247306
master,76.85943,1696247311
node_2,76.703706,1696247311
node_3,89.576914,1696247311
node_1,81.30361,1696247311
master,94.193104,1696247316
node_2,97.84297,1696247316
node_3,72.71701,1696247316
node_1,97.998602,1696247316
master,93.84709,1696247321
node_2,78.633962,1696247321
node_3,82.733028,1696247321
node_1,81.045548,1696247321
master,98.843534,1696247326
node_2,93.384976,1696247326
node_3,88.074204,1696247326
node_1,95.408246,1696247326
master,93.14512,1696247331
node_2,82.117094,1696247331
node_3,86.973128,1696247331
node_1,84.151438,1696247331
master,97.718542,1696247336
node_2,91.956174,1696247336
node_3,85.326204,1696247336
node_1,90.648322,1696247336
master,94.065604,1696247341
node_2,86.025604,1696247341
node_3,88.051952,1696247341
node_1,87.961798,1696247341
master,93.187808,1696247346
node_2,86.539036,1696247346
node_3,84.50785,1696247346
node_1,87.297128,1696247346
master,97.191104,1696247351
node_2,88.530138,1696247351
node_3,92.235942,1696247351
node_1,91.743444,1696247351
master,94.93684,1696247356
node_2,81.026156,1696247356
node_3,78.260372,1696247356
node_1,80.698306,1696247356
master,97.36282,1696247361
node_2,94.963806,1696247361
node_3,97.13059,1696247361
node_1,98.347618,1696247361
master,93.370156,1696247366
node_2,75.915516,1696247366
node_3,76.033162,1696247366
node_1,80.129104,1696247366
master,98.207362,1696247371
node_2,97.089318,1696247371
node_3,97.893052,1696247371
node_1,95.193102,1696247371
master,92.342456,1696247376
