hostname,value,timestamp
master,1605.5383,1696249866
node_1,219.45624,1696249866
node_2,225.58124,1696249866
node_3,215.21484,1696249866
master,1627.47576,1696249871
node_1,216.375,1696249871
node_2,212.4203,1696249871
node_3,228.09142,1696249871
master,1625.03282,1696249876
node_2,227.30234,1696249876
node_1,203.30076,1696249876
node_3,213.41174,1696249876
master,1584.2422,1696249881
node_2,219.01016,1696249881
node_1,214.0867,1696249881
node_3,224.38124,1696249881
master,1604.03126,1696249886
node_2,226.47422,1696249886
node_1,211.40704,1696249886
node_3,212.4328,1696249886
master,1615.18904,1696249891
node_2,225.0125,1696249891
node_1,223.91718,1696249891
node_3,226.2961,1696249891
master,1588.80002,1696249896
node_2,215.59142,1696249896
node_1,199.918,1696249896
node_3,212.46876,1696249896
master,1606.28982,1696249901
node_2,224.9828,1696249901
node_1,223.3172,1696249901
node_3,224.87812,1696249901
master,1777.1906,1696249906
node_2,196.06406,1696249906
node_1,211.15,1696249906
node_3,214.69844,1696249906
master,1841.3844,1696249911
node_2,224.0828,1696249911
node_1,225.9703,1696249911
node_3,225.65234,1696249911
master,1824.047,1696249916
node_2,211.83986,1696249916
node_1,213.58514,1696249916
node_3,225.43596,1696249916
master,1835.06,1696249921
node_2,229.1664,1696249921
node_1,215.03984,1696249921
node_3,215.175,1696249921
master,1840.1946,1696249926
node_2,213.71716,1696249926
node_1,215.9422,1696249926
node_3,221.13282,1696249926
master,1847.8422,1696249931
node_1,216.1797,1696249931
node_2,227.81878,1696249931
node_3,221.0883,1696249931
master,1852.7618,1696249936
node_2,213.9836,1696249936
node_1,225.3094,1696249936
node_3,231.65548,1696249936
master,1801.8094,1696249941
node_1,200.71016,1696249941
node_2,225.13046,1696249941
node_3,212.59998,1696249941
master,1762.3444,1696249946
node_2,220.0242,1696249946
node_1,223.41248,1696249946
node_3,230.43124,1696249946
master,1788.3336,1696249951
node_2,226.69294,1696249951
node_1,202.35152,1696249951
node_3,209.0758,1696249951
master,1645.70468,1696249956
node_2,226.94374,1696249956
node_1,220.05002,1696249956
node_3,229.20546,1696249956
master,1672.40314,1696249961
node_2,219.51564,1696249961
node_1,209.04218,1696249961
node_3,213.3453,1696249961
master,1672.80936,1696249966
node_2,233.47346,1696249966
node_1,216.70234,1696249966
node_3,225.30312,1696249966
master,1669.8797,1696249971
node_2,209.77266,1696249971
node_1,216.59298,1696249971
node_3,214.75314,1696249971
master,1663.71954,1696249976
node_1,213.9367,1696249976
node_2,224.23516,1696249976
node_3,214.72968,1696249976
master,1646.7008,1696249981
node_1,224.04218,1696249981
node_2,212.85156,1696249981
node_3,203.3836,1696249981
master,1641.1414,1696249986
node_2,232.46174,1696249986
node_1,200.84454,1696249986
node_3,222.9039,1696249986
master,1642.73592,1696249991
node_2,208.41952,1696249991
node_1,222.8797,1696249991
node_3,220.95156,1696249991
master,1621.50076,1696249996
node_1,201.64452,1696249996
node_2,221.3797,1696249996
node_3,220.54298,1696249996
master,1572.8375,1696250001
node_2,207.49062,1696250001
node_1,222.2375,1696250001
node_3,227.22264,1696250001
master,1624.64686,1696250006
node_2,218.6539,1696250006
node_1,211.53906,1696250006
node_3,211.19142,1696250006
master,1626.2414,1696250011
node_2,215.02344,1696250011
node_1,217.72266,1696250011
node_3,222.44296,1696250011
master,1640.05234,1696250016
node_2,219.92032,1696250016
node_1,215.76092,1696250016
node_3,209.95312,1696250016
master,1640.63828,1696250021
node_2,229.85548,1696250021
node_1,214.09686,1696250021
node_3,230.74532,1696250021
master,1637.5375,1696250026
node_2,213.09064,1696250026
node_1,229.1828,1696250026
node_3,215.10078,1696250026
master,1637.24298,1696250031
node_2,230.17814,1696250031
node_1,202.64766,1696250031
node_3,226.4031,1696250031
master,1632.77734,1696250036
node_2,207.90546,1696250036
node_1,223.68048,1696250036
node_3,215.2625,1696250036
master,1631.80082,1696250041
node_2,228.1,1696250041
node_1,198.5547,1696250041
node_3,224.9922,1696250041
master,1633.00076,1696250046
node_2,216.2344,1696250046
node_1,221.1242,1696250046
node_3,220.67346,1696250046
master,1633.19766,1696250051
node_2,226.52268,1696250051
node_1,216.05466,1696250051
node_3,219.98828,1696250051
master,1633.84142,1696250056
node_2,218.90312,1696250056
node_1,216.24454,1696250056
node_3,229.61016,1696250056
master,1606.05704,1696250061
node_2,222.81326,1696250061
node_1,229.19766,1696250061
node_3,222.46172,1696250061
master,1631.9453,1696250066
node_1,206.4969,1696250066
node_2,220.90702,1696250066
node_3,230.30078,1696250066
master,1635.66408,1696250071
node_2,219.89532,1696250071
node_1,222.08516,1696250071
node_3,212.75936,1696250071
master,1636.15628,1696250076
node_2,236.73046,1696250076
node_1,208.56952,1696250076
node_3,228.88906,1696250076
master,1639.47422,1696250081
node_1,219.96484,1696250081
node_2,217.90158,1696250081
node_3,205.2367,1696250081
master,1645.65468,1696250086
node_2,238.52342,1696250086
node_1,205.13674,1696250086
node_3,230.47578,1696250086
master,1619.69844,1696250091
node_2,214.4047,1696250091
node_1,212.56172,1696250091
node_3,210.35232,1696250091
master,1628.3039,1696250096
node_2,231.87344,1696250096
node_1,206.85936,1696250096
node_3,226.64064,1696250096
master,1636.09374,1696250101
node_2,221.0383,1696250101
node_1,211.95,1696250101
node_3,215.01016,1696250101
master,1632.24766,1696250106
node_2,228.0742,1696250106
node_1,221.06718,1696250106
node_3,222.74764,1696250106
master,1641.7875,1696250111
node_1,210.64296,1696250111
node_2,221.44608,1696250111
node_3,218.0375,1696250111
master,1652.93594,1696250116
node_2,225.4086,1696250116
node_1,225.45,1696250116
node_3,226.8086,1696250116
master,1549.40468,1696250121
node_1,204.5922,1696250121
node_2,226.19688,1696250121
node_3,226.13204,1696250121
master,1619.14764,1696250126
node_2,221.53828,1696250126
node_1,223.20858,1696250126
node_3,221.9117,1696250126
master,1627.8047,1696250131
node_2,229.42266,1696250131
node_1,207.51404,1696250131
node_3,235.91406,1696250131
master,1613.90626,1696250136
node_2,214.61876,1696250136
node_1,222.33204,1696250136
node_3,220.67578,1696250136
master,1639.59688,1696250141
node_2,230.28828,1696250141
node_1,219.25626,1696250141
node_3,228.35624,1696250141
master,1639.14296,1696250146
node_2,214.78126,1696250146
node_1,216.77032,1696250146
node_3,214.12968,1696250146
master,1641.34054,1696250151
node_1,223.22266,1696250151
node_2,238.05078,1696250151
node_3,233.1125,1696250151
master,1625.55074,1696250156
node_2,218.73984,1696250156
node_1,203.11016,1696250156
node_3,217.8281,1696250156
