hostname,value,timestamp,chart_family
master,12,1696270761,nvme0n1
master,12,1696270761,ubuntu--vg-ubuntu--lv
node_3,1.2,1696270761,mmcblk0
node_1,7.2,1696270761,mmcblk0
node_2,11,1696270761,mmcblk0
master,1.2,1696270766,nvme0n1
master,1.2,1696270766,ubuntu--vg-ubuntu--lv
node_3,12,1696270766,mmcblk0
node_1,1.2,1696270766,mmcblk0
node_2,8.4,1696270766,mmcblk0
master,0.6,1696270771,nvme0n1
master,0.6,1696270771,ubuntu--vg-ubuntu--lv
node_3,1,1696270771,mmcblk0
node_1,7.2,1696270771,mmcblk0
node_2,8,1696270771,mmcblk0
master,1.4,1696270776,nvme0n1
master,1.4,1696270776,ubuntu--vg-ubuntu--lv
node_3,10.8,1696270776,mmcblk0
node_1,7.2,1696270776,mmcblk0
node_2,15.4,1696270776,mmcblk0
master,1.2,1696270781,nvme0n1
master,1.2,1696270781,ubuntu--vg-ubuntu--lv
node_3,1.4,1696270781,mmcblk0
node_1,2,1696270781,mmcblk0
node_2,1.6,1696270781,mmcblk0
master,4,1696270786,nvme0n1
master,4,1696270786,ubuntu--vg-ubuntu--lv
node_3,9.6,1696270786,mmcblk0
node_1,6.4,1696270786,mmcblk0
node_2,13.6,1696270786,mmcblk0
master,7.8,1696270791,nvme0n1
master,7.8,1696270791,ubuntu--vg-ubuntu--lv
node_3,1.6,1696270791,mmcblk0
node_1,3.2,1696270791,mmcblk0
node_2,2,1696270791,mmcblk0
master,3,1696270796,nvme0n1
master,3,1696270796,ubuntu--vg-ubuntu--lv
node_3,10.4,1696270796,mmcblk0
node_1,6.4,1696270796,mmcblk0
node_2,12.6,1696270796,mmcblk0
master,26.6,1696270801,nvme0n1
master,26.6,1696270801,ubuntu--vg-ubuntu--lv
node_3,1.8,1696270801,mmcblk0
node_1,2.8,1696270801,mmcblk0
node_2,1.8,1696270801,mmcblk0
master,0.8,1696270806,nvme0n1
master,0.8,1696270806,ubuntu--vg-ubuntu--lv
node_3,9.6,1696270806,mmcblk0
node_1,8.6,1696270806,mmcblk0
node_2,12.8,1696270806,mmcblk0
master,1,1696270811,nvme0n1
master,1,1696270811,ubuntu--vg-ubuntu--lv
node_3,11.8,1696270811,mmcblk0
node_1,1.2,1696270811,mmcblk0
node_2,2,1696270811,mmcblk0
master,0.8,1696270816,nvme0n1
master,0.8,1696270816,ubuntu--vg-ubuntu--lv
node_3,1,1696270816,mmcblk0
node_1,7.4,1696270816,mmcblk0
node_2,14,1696270816,mmcblk0
master,1.2,1696270821,nvme0n1
master,1.2,1696270821,ubuntu--vg-ubuntu--lv
node_3,11.2,1696270821,mmcblk0
node_1,7.2,1696270821,mmcblk0
node_2,2.2,1696270821,mmcblk0
master,0.8,1696270826,nvme0n1
master,0.8,1696270826,ubuntu--vg-ubuntu--lv
node_3,1,1696270826,mmcblk0
node_1,2.4,1696270826,mmcblk0
node_2,16.6,1696270826,mmcblk0
master,2.4,1696270831,nvme0n1
master,2.4,1696270831,ubuntu--vg-ubuntu--lv
node_3,10.6,1696270831,mmcblk0
node_1,6.2,1696270831,mmcblk0
node_2,3.4,1696270831,mmcblk0
master,0.8,1696270836,nvme0n1
master,0.8,1696270836,ubuntu--vg-ubuntu--lv
node_3,2.4,1696270836,mmcblk0
node_1,3.2,1696270836,mmcblk0
node_2,12.6,1696270836,mmcblk0
master,0.8,1696270841,nvme0n1
master,0.8,1696270841,ubuntu--vg-ubuntu--lv
node_3,10.4,1696270841,mmcblk0
node_1,5.6,1696270841,mmcblk0
node_2,15.4,1696270841,mmcblk0
master,8.8,1696270846,nvme0n1
master,8.8,1696270846,ubuntu--vg-ubuntu--lv
node_3,1.2,1696270846,mmcblk0
node_1,2.6,1696270846,mmcblk0
node_2,1.4,1696270846,mmcblk0
master,9.2,1696270851,nvme0n1
master,9.2,1696270851,ubuntu--vg-ubuntu--lv
node_3,10.8,1696270851,mmcblk0
node_1,7.6,1696270851,mmcblk0
node_2,14.4,1696270851,mmcblk0
master,0.4,1696270856,nvme0n1
master,0.4,1696270856,ubuntu--vg-ubuntu--lv
node_3,2,1696270856,mmcblk0
node_1,1.2,1696270856,mmcblk0
node_2,2,1696270856,mmcblk0
master,8.4,1696270861,nvme0n1
master,8.4,1696270861,ubuntu--vg-ubuntu--lv
node_3,12.6,1696270861,mmcblk0
node_1,6.8,1696270861,mmcblk0
node_2,13,1696270861,mmcblk0
master,0.6,1696270866,nvme0n1
master,0.6,1696270866,ubuntu--vg-ubuntu--lv
node_3,7.6,1696270866,mmcblk0
node_1,6.8,1696270866,mmcblk0
node_2,2,1696270866,mmcblk0
master,1.6,1696270871,nvme0n1
master,1.6,1696270871,ubuntu--vg-ubuntu--lv
node_3,5.2,1696270871,mmcblk0
node_1,2,1696270871,mmcblk0
node_2,13,1696270871,mmcblk0
master,1,1696270876,nvme0n1
master,1,1696270876,ubuntu--vg-ubuntu--lv
node_3,13.6,1696270876,mmcblk0
node_1,7.2,1696270876,mmcblk0
node_2,1.8,1696270876,mmcblk0
master,1,1696270881,nvme0n1
master,1,1696270881,ubuntu--vg-ubuntu--lv
node_3,1.4,1696270881,mmcblk0
node_1,3,1696270881,mmcblk0
node_2,13.4,1696270881,mmcblk0
master,0.8,1696270886,nvme0n1
master,0.8,1696270886,ubuntu--vg-ubuntu--lv
node_3,11.8,1696270886,mmcblk0
node_1,5.6,1696270886,mmcblk0
node_2,2.4,1696270886,mmcblk0
master,1.2,1696270891,nvme0n1
master,1.2,1696270891,ubuntu--vg-ubuntu--lv
node_3,1.6,1696270891,mmcblk0
node_1,2.6,1696270891,mmcblk0
node_2,12.8,1696270891,mmcblk0
master,0.4,1696270896,nvme0n1
master,0.4,1696270896,ubuntu--vg-ubuntu--lv
node_3,12.4,1696270896,mmcblk0
node_1,7.4,1696270896,mmcblk0
node_2,8.4,1696270896,mmcblk0
master,0.4,1696270901,nvme0n1
master,0.4,1696270901,ubuntu--vg-ubuntu--lv
node_3,1.2,1696270901,mmcblk0
node_1,1,1696270901,mmcblk0
node_2,5.2,1696270901,mmcblk0
master,1.4,1696270906,nvme0n1
master,1.4,1696270906,ubuntu--vg-ubuntu--lv
node_3,19.6,1696270906,mmcblk0
node_1,11.2,1696270906,mmcblk0
node_2,22.2,1696270906,mmcblk0
master,2,1696270911,nvme0n1
master,2,1696270911,ubuntu--vg-ubuntu--lv
node_3,2.6,1696270911,mmcblk0
node_1,4,1696270911,mmcblk0
node_2,2,1696270911,mmcblk0
master,2.2,1696270916,nvme0n1
master,2.2,1696270916,ubuntu--vg-ubuntu--lv
node_3,8.6,1696270916,mmcblk0
node_1,6.4,1696270916,mmcblk0
node_2,16.2,1696270916,mmcblk0
master,1.4,1696270921,nvme0n1
master,1.4,1696270921,ubuntu--vg-ubuntu--lv
node_3,3.8,1696270921,mmcblk0
node_1,5.6,1696270921,mmcblk0
node_2,1,1696270921,mmcblk0
master,2,1696270926,nvme0n1
master,2,1696270926,ubuntu--vg-ubuntu--lv
node_3,9,1696270926,mmcblk0
node_1,2.6,1696270926,mmcblk0
node_2,13.6,1696270926,mmcblk0
master,1.2,1696270931,nvme0n1
master,1.2,1696270931,ubuntu--vg-ubuntu--lv
node_3,13.8,1696270931,mmcblk0
node_1,8.2,1696270931,mmcblk0
node_2,2,1696270931,mmcblk0
master,1,1696270936,nvme0n1
master,1,1696270936,ubuntu--vg-ubuntu--lv
node_3,1.4,1696270936,mmcblk0
node_1,1.2,1696270936,mmcblk0
node_2,15,1696270936,mmcblk0
master,1.4,1696270941,nvme0n1
master,1.4,1696270941,ubuntu--vg-ubuntu--lv
node_3,15.4,1696270941,mmcblk0
node_1,11.6,1696270941,mmcblk0
node_2,3,1696270941,mmcblk0
master,1.2,1696270946,nvme0n1
master,1.2,1696270946,ubuntu--vg-ubuntu--lv
node_3,0,1696270946,mmcblk0
node_1,0.8,1696270946,mmcblk0
node_2,14.2,1696270946,mmcblk0
master,1,1696270951,nvme0n1
master,1,1696270951,ubuntu--vg-ubuntu--lv
node_3,14,1696270951,mmcblk0
node_1,6.8,1696270951,mmcblk0
node_2,2,1696270951,mmcblk0
master,0.6,1696270956,nvme0n1
master,0.6,1696270956,ubuntu--vg-ubuntu--lv
node_3,1.2,1696270956,mmcblk0
node_1,6.4,1696270956,mmcblk0
node_2,13.6,1696270956,mmcblk0
master,1.4,1696270961,nvme0n1
master,1.4,1696270961,ubuntu--vg-ubuntu--lv
node_3,13,1696270961,mmcblk0
node_1,3.2,1696270961,mmcblk0
node_2,9.8,1696270961,mmcblk0
master,0.8,1696270966,nvme0n1
master,0.8,1696270966,ubuntu--vg-ubuntu--lv
node_3,1,1696270966,mmcblk0
node_1,5.6,1696270966,mmcblk0
node_2,5.8,1696270966,mmcblk0
master,1,1696270971,nvme0n1
master,1,1696270971,ubuntu--vg-ubuntu--lv
node_3,12.4,1696270971,mmcblk0
node_1,2.8,1696270971,mmcblk0
node_2,15.6,1696270971,mmcblk0
master,1,1696270976,nvme0n1
master,1,1696270976,ubuntu--vg-ubuntu--lv
node_3,1.4,1696270976,mmcblk0
node_1,7.8,1696270976,mmcblk0
node_2,0.8,1696270976,mmcblk0
master,1.8,1696270981,nvme0n1
master,1.8,1696270981,ubuntu--vg-ubuntu--lv
node_3,11.2,1696270981,mmcblk0
node_1,1,1696270981,mmcblk0
node_2,15.4,1696270981,mmcblk0
master,1,1696270986,nvme0n1
master,1,1696270986,ubuntu--vg-ubuntu--lv
node_3,9,1696270986,mmcblk0
node_1,8,1696270986,mmcblk0
node_2,2,1696270986,mmcblk0
master,1.2,1696270991,nvme0n1
master,1.2,1696270991,ubuntu--vg-ubuntu--lv
node_3,4.6,1696270991,mmcblk0
node_1,3.4,1696270991,mmcblk0
node_2,14.8,1696270991,mmcblk0
master,1.4,1696270996,nvme0n1
master,1.4,1696270996,ubuntu--vg-ubuntu--lv
node_3,13.8,1696270996,mmcblk0
node_1,5.2,1696270996,mmcblk0
node_2,6.8,1696270996,mmcblk0
master,1.2,1696271001,nvme0n1
master,1.2,1696271001,ubuntu--vg-ubuntu--lv
node_3,1.6,1696271001,mmcblk0
node_1,6.6,1696271001,mmcblk0
node_2,18.2,1696271001,mmcblk0
master,0.8,1696271006,nvme0n1
master,0.8,1696271006,ubuntu--vg-ubuntu--lv
node_3,11.8,1696271006,mmcblk0
node_1,3.2,1696271006,mmcblk0
node_2,1.8,1696271006,mmcblk0
master,1,1696271011,nvme0n1
master,1,1696271011,ubuntu--vg-ubuntu--lv
node_3,1.6,1696271011,mmcblk0
node_1,5.4,1696271011,mmcblk0
node_2,14.6,1696271011,mmcblk0
master,1.4,1696271016,nvme0n1
master,1.4,1696271016,ubuntu--vg-ubuntu--lv
node_3,12,1696271016,mmcblk0
node_1,3.2,1696271016,mmcblk0
node_2,2,1696271016,mmcblk0
master,0.8,1696271021,nvme0n1
master,0.8,1696271021,ubuntu--vg-ubuntu--lv
node_3,1,1696271021,mmcblk0
node_1,8,1696271021,mmcblk0
node_2,11.8,1696271021,mmcblk0
master,0.8,1696271026,nvme0n1
master,0.8,1696271026,ubuntu--vg-ubuntu--lv
node_3,12,1696271026,mmcblk0
node_1,1.2,1696271026,mmcblk0
node_2,2,1696271026,mmcblk0
master,0.8,1696271031,nvme0n1
master,0.8,1696271031,ubuntu--vg-ubuntu--lv
node_3,1.6,1696271031,mmcblk0
node_1,7.6,1696271031,mmcblk0
node_2,11.2,1696271031,mmcblk0
master,1.2,1696271036,nvme0n1
master,1.2,1696271036,ubuntu--vg-ubuntu--lv
node_3,10.8,1696271036,mmcblk0
node_1,2,1696271036,mmcblk0
node_2,8,1696271036,mmcblk0
master,1,1696271041,nvme0n1
master,1,1696271041,ubuntu--vg-ubuntu--lv
node_3,2.6,1696271041,mmcblk0
node_1,6.6,1696271041,mmcblk0
node_2,4.8,1696271041,mmcblk0
master,0.8,1696271046,nvme0n1
master,0.8,1696271046,ubuntu--vg-ubuntu--lv
node_3,10.6,1696271046,mmcblk0
node_1,7,1696271046,mmcblk0
node_2,13.6,1696271046,mmcblk0
master,1,1696271051,nvme0n1
master,1,1696271051,ubuntu--vg-ubuntu--lv
node_3,9.8,1696271051,mmcblk0
node_1,3.4,1696271051,mmcblk0
node_2,0.2,1696271051,mmcblk0
master,1.4,1696271056,nvme0n1
master,1.4,1696271056,ubuntu--vg-ubuntu--lv
node_3,0,1696271056,mmcblk0
node_1,5.4,1696271056,mmcblk0
node_2,11.6,1696271056,mmcblk0
master,1,1696271061,nvme0n1
master,1,1696271061,ubuntu--vg-ubuntu--lv
