hostname,value,timestamp
master,96.36021,1696162516
node_3,79.589232,1696162516
node_1,97.947852,1696162516
node_2,96.891704,1696162516
master,92.568388,1696162521
node_3,95.55687,1696162521
node_1,79.12861,1696162521
node_2,76.52114,1696162521
master,96.746574,1696162526
node_3,81.911652,1696162526
node_1,94.711964,1696162526
node_2,94.059748,1696162526
master,93.77203,1696162531
node_3,93.0913,1696162531
node_1,83.431286,1696162531
node_2,79.813064,1696162531
master,95.898202,1696162536
node_3,84.494516,1696162536
node_1,88.669602,1696162536
node_2,94.236548,1696162536
master,93.734778,1696162541
node_3,89.615256,1696162541
node_1,85.892798,1696162541
node_2,79.78618,1696162541
master,95.221296,1696162546
node_3,89.190562,1696162546
node_1,87.229576,1696162546
node_2,87.984102,1696162546
master,94.432352,1696162551
node_3,82.988396,1696162551
node_1,91.346424,1696162551
node_2,85.535942,1696162551
master,91.582208,1696162556
node_3,95.359822,1696162556
node_1,80.100062,1696162556
node_2,86.481256,1696162556
master,96.141722,1696162561
node_3,79.067678,1696162561
node_1,98.198238,1696162561
node_2,87.251112,1696162561
master,94.883016,1696162566
node_3,96.643358,1696162566
node_1,80.731864,1696162566
node_2,79.451596,1696162566
master,96.258108,1696162571
node_3,80.446828,1696162571
node_1,94.279398,1696162571
node_2,95.925436,1696162571
master,94.159018,1696162576
node_3,95.303072,1696162576
node_1,83.09146,1696162576
node_2,77.641778,1696162576
master,95.225008,1696162581
node_3,82.643192,1696162581
node_1,90.454278,1696162581
node_2,97.298972,1696162581
master,94.298494,1696162586
node_3,89.541678,1696162586
node_1,88.802896,1696162586
node_2,77.488416,1696162586
master,95.605966,1696162591
node_3,87.689908,1696162591
node_1,81.311242,1696162591
node_2,93.296194,1696162591
master,94.168462,1696162596
node_3,85.021654,1696162596
node_1,96.663874,1696162596
node_2,78.669108,1696162596
master,95.329416,1696162601
node_3,92.113578,1696162601
node_1,81.219408,1696162601
node_2,93.31609,1696162601
master,95.621468,1696162606
node_3,79.481946,1696162606
node_1,94.973996,1696162606
node_2,83.315718,1696162606
master,94.631964,1696162611
node_3,98.298112,1696162611
node_1,82.678892,1696162611
node_2,83.38126,1696162611
master,95.57455,1696162616
node_3,79.53042,1696162616
node_1,92.375654,1696162616
node_2,87.504154,1696162616
master,96.599002,1696162621
node_3,94.527014,1696162621
node_1,86.968896,1696162621
node_2,85.915442,1696162621
master,94.736258,1696162626
node_3,81.0382,1696162626
node_1,89.703548,1696162626
node_2,89.738634,1696162626
