hostname,value,timestamp,id
master,217.807572,1696162516,InSegs
master,-324.663076,1696162516,OutSegs
node_3,191.157578,1696162516,InSegs
node_3,-269.708042,1696162516,OutSegs
node_1,12.0039993,1696162516,InSegs
node_1,-83.8482213,1696162516,OutSegs
node_2,64.3528977,1696162516,InSegs
node_2,-153.6014662,1696162516,OutSegs
master,326.936282,1696162521,InSegs
master,-413.530196,1696162521,OutSegs
node_3,22.3316632,1696162521,InSegs
node_3,-104.6317202,1696162521,OutSegs
node_1,199.200012,1696162521,InSegs
node_1,-273.000012,1696162521,OutSegs
node_2,226.2052,1696162521,InSegs
node_2,-297.385718,1696162521,OutSegs
master,148.455088,1696162526,InSegs
master,-268.913862,1696162526,OutSegs
node_3,184.827461,1696162526,InSegs
node_3,-267.5769602,1696162526,OutSegs
node_1,26.5399424,1696162526,InSegs
node_1,-100.783346,1696162526,OutSegs
node_2,10.5947897,1696162526,InSegs
node_2,-98.8142693,1696162526,OutSegs
master,199.908064,1696162531,InSegs
master,-333.237312,1696162531,OutSegs
node_3,38.8622277,1696162531,InSegs
node_3,-122.8800835,1696162531,OutSegs
node_1,174.5709935,1696162531,InSegs
node_1,-246.1275895,1696162531,OutSegs
node_2,193.526838,1696162531,InSegs
node_2,-278.92684,1696162531,OutSegs
master,144.818982,1696162536,InSegs
master,-260.11581,1696162536,OutSegs
node_3,164.9377661,1696162536,InSegs
node_3,-244.3199121,1696162536,OutSegs
node_1,47.8871901,1696162536,InSegs
node_1,-122.8871905,1696162536,OutSegs
node_2,37.9773727,1696162536,InSegs
node_2,-127.6802387,1696162536,OutSegs
master,256.89027,1696162541,InSegs
master,-399.619128,1696162541,OutSegs
node_3,52.5003433,1696162541,InSegs
node_3,-137.1836185,1696162541,OutSegs
node_1,165.6018822,1696162541,InSegs
node_1,-234.401864,1696162541,OutSegs
node_2,185.8957764,1696162541,InSegs
node_2,-272.392912,1696162541,OutSegs
master,133.960828,1696162546,InSegs
master,-248.147984,1696162546,OutSegs
node_3,166.5829719,1696162546,InSegs
