hostname,value,timestamp,chart_family
master,2.8,1696164296,nvme0n1
master,2.6,1696164296,ubuntu--vg-ubuntu--lv
node_3,6.2,1696164296,mmcblk0
node_2,1.2,1696164296,mmcblk0
node_1,0.8,1696164296,mmcblk0
master,1.2,1696164301,nvme0n1
master,1.2,1696164301,ubuntu--vg-ubuntu--lv
node_3,5.6,1696164301,mmcblk0
node_2,11.4,1696164301,mmcblk0
node_1,6,1696164301,mmcblk0
master,0.8,1696164306,nvme0n1
master,0.8,1696164306,ubuntu--vg-ubuntu--lv
node_3,11.8,1696164306,mmcblk0
node_2,9,1696164306,mmcblk0
node_1,0.8,1696164306,mmcblk0
master,0.6,1696164311,nvme0n1
master,0.4,1696164311,ubuntu--vg-ubuntu--lv
node_3,0,1696164311,mmcblk0
node_2,4.8,1696164311,mmcblk0
node_1,6.8,1696164311,mmcblk0
master,2,1696164316,nvme0n1
master,2,1696164316,ubuntu--vg-ubuntu--lv
node_3,11,1696164316,mmcblk0
node_2,13.4,1696164316,mmcblk0
node_1,1,1696164316,mmcblk0
master,0.8,1696164321,nvme0n1
master,0.8,1696164321,ubuntu--vg-ubuntu--lv
node_3,1.2,1696164321,mmcblk0
node_2,1.2,1696164321,mmcblk0
node_1,6.4,1696164321,mmcblk0
master,3.6,1696164326,nvme0n1
master,3.6,1696164326,ubuntu--vg-ubuntu--lv
node_3,9.8,1696164326,mmcblk0
node_2,13.4,1696164326,mmcblk0
node_1,7,1696164326,mmcblk0
master,2,1696164331,nvme0n1
master,2,1696164331,ubuntu--vg-ubuntu--lv
node_3,1.2,1696164331,mmcblk0
node_2,1.2,1696164331,mmcblk0
node_1,0,1696164331,mmcblk0
master,0.8,1696164336,nvme0n1
master,0.8,1696164336,ubuntu--vg-ubuntu--lv
node_3,9.4,1696164336,mmcblk0
node_2,12.6,1696164336,mmcblk0
node_1,7.4,1696164336,mmcblk0
master,1.6,1696164341,nvme0n1
master,1.6,1696164341,ubuntu--vg-ubuntu--lv
node_3,6.4,1696164341,mmcblk0
node_2,1.4,1696164341,mmcblk0
node_1,0.8,1696164341,mmcblk0
master,0.6,1696164346,nvme0n1
master,0.6,1696164346,ubuntu--vg-ubuntu--lv
node_3,4.6,1696164346,mmcblk0
node_2,11.6,1696164346,mmcblk0
node_1,6.8,1696164346,mmcblk0
master,0.8,1696164351,nvme0n1
master,0.8,1696164351,ubuntu--vg-ubuntu--lv
node_3,10.6,1696164351,mmcblk0
node_2,0.8,1696164351,mmcblk0
node_1,0.8,1696164351,mmcblk0
master,1.6,1696164356,nvme0n1
master,1.6,1696164356,ubuntu--vg-ubuntu--lv
node_3,0,1696164356,mmcblk0
node_2,11.8,1696164356,mmcblk0
node_1,6.4,1696164356,mmcblk0
master,1.8,1696164361,nvme0n1
master,1.8,1696164361,ubuntu--vg-ubuntu--lv
node_3,11,1696164361,mmcblk0
node_2,1.2,1696164361,mmcblk0
node_1,1,1696164361,mmcblk0
master,1.6,1696164366,nvme0n1
master,1.6,1696164366,ubuntu--vg-ubuntu--lv
node_3,1,1696164366,mmcblk0
node_2,13,1696164366,mmcblk0
node_1,6,1696164366,mmcblk0
master,0.2,1696164371,nvme0n1
master,0.2,1696164371,ubuntu--vg-ubuntu--lv
node_3,10.2,1696164371,mmcblk0
node_2,8.2,1696164371,mmcblk0
node_1,8,1696164371,mmcblk0
master,1.6,1696164376,nvme0n1
master,1.6,1696164376,ubuntu--vg-ubuntu--lv
node_3,2,1696164376,mmcblk0
node_2,5.8,1696164376,mmcblk0
node_1,0,1696164376,mmcblk0
master,1,1696164381,nvme0n1
master,1,1696164381,ubuntu--vg-ubuntu--lv
node_3,10,1696164381,mmcblk0
node_2,14.8,1696164381,mmcblk0
node_1,7.4,1696164381,mmcblk0
master,1.2,1696164386,nvme0n1
master,1.2,1696164386,ubuntu--vg-ubuntu--lv
node_3,5.6,1696164386,mmcblk0
node_2,1.2,1696164386,mmcblk0
node_1,0.8,1696164386,mmcblk0
master,2,1696164391,nvme0n1
master,2,1696164391,ubuntu--vg-ubuntu--lv
node_3,5.6,1696164391,mmcblk0
node_2,13.2,1696164391,mmcblk0
node_1,6.6,1696164391,mmcblk0
master,2.2,1696164396,nvme0n1
master,2.2,1696164396,ubuntu--vg-ubuntu--lv
node_3,11.4,1696164396,mmcblk0
node_2,1,1696164396,mmcblk0
node_1,0.8,1696164396,mmcblk0
master,2.2,1696164401,nvme0n1
master,2.2,1696164401,ubuntu--vg-ubuntu--lv
node_3,0,1696164401,mmcblk0
node_2,12.6,1696164401,mmcblk0
node_1,6.8,1696164401,mmcblk0
master,0.8,1696164406,nvme0n1
master,0.8,1696164406,ubuntu--vg-ubuntu--lv
node_3,12.4,1696164406,mmcblk0
node_2,8,1696164406,mmcblk0
node_1,1,1696164406,mmcblk0
master,1.4,1696164411,nvme0n1
master,1.4,1696164411,ubuntu--vg-ubuntu--lv
node_3,1.2,1696164411,mmcblk0
node_2,10.4,1696164411,mmcblk0
node_1,6.4,1696164411,mmcblk0
master,0.8,1696164416,nvme0n1
master,0.8,1696164416,ubuntu--vg-ubuntu--lv
node_3,9,1696164416,mmcblk0
node_2,1.8,1696164416,mmcblk0
node_1,7.4,1696164416,mmcblk0
master,2,1696164421,nvme0n1
master,2,1696164421,ubuntu--vg-ubuntu--lv
node_3,1.2,1696164421,mmcblk0
node_2,13.4,1696164421,mmcblk0
node_1,4.6,1696164421,mmcblk0
master,1,1696164426,nvme0n1
master,1,1696164426,ubuntu--vg-ubuntu--lv
node_3,8.6,1696164426,mmcblk0
node_2,1.2,1696164426,mmcblk0
node_1,4.4,1696164426,mmcblk0
master,1,1696164431,nvme0n1
master,1,1696164431,ubuntu--vg-ubuntu--lv
node_3,6.6,1696164431,mmcblk0
node_2,11.8,1696164431,mmcblk0
node_1,0.8,1696164431,mmcblk0
master,1.4,1696164436,nvme0n1
