hostname,value,timestamp
master,1446.60626,1696165986
node_3,240.90388,1696165986
node_2,247.19608,1696165986
node_1,239.18514,1696165986
master,1457.32424,1696165991
node_3,231.75154,1696165991
node_2,257.33124,1696165991
node_1,236.24528,1696165991
master,1456.48514,1696165996
node_3,244.53594,1696165996
node_2,255.2461,1696165996
node_1,225.93748,1696165996
master,1456.35,1696166001
node_3,238.9414,1696166001
node_2,253.00626,1696166001
node_1,242.90466,1696166001
master,1398.21172,1696166006
node_3,230.93358,1696166006
node_2,267.14296,1696166006
node_1,215.98046,1696166006
master,1449.16484,1696166011
node_3,242.7133,1696166011
node_2,244.5281,1696166011
node_1,237.58048,1696166011
master,1478.43986,1696166016
node_3,214.63046,1696166016
node_2,258.18048,1696166016
node_1,223.81094,1696166016
master,1486.0625,1696166021
node_3,234.2672,1696166021
node_2,234.67186,1696166021
node_1,232.70546,1696166021
master,1488.25862,1696166026
node_3,212.10546,1696166026
node_2,251.11252,1696166026
node_1,221.5586,1696166026
master,1489.5789,1696166031
node_3,233.68596,1696166031
node_2,237.28436,1696166031
node_1,228.45544,1696166031
master,1474.84142,1696166036
node_3,222.38752,1696166036
node_2,253.0867,1696166036
node_1,226.2156,1696166036
master,1476.81952,1696166041
node_3,233.12342,1696166041
node_2,239.98044,1696166041
node_1,224.45466,1696166041
master,1476.63358,1696166046
node_3,226.80232,1696166046
node_2,252.52264,1696166046
node_1,235.31798,1696166046
master,1474.0695,1696166051
node_3,223.90154,1696166051
node_2,235.4617,1696166051
node_1,217.20548,1696166051
master,1463.66092,1696166056
node_3,234.53828,1696166056
node_2,240.73596,1696166056
node_1,235.96484,1696166056
master,1470.9422,1696166061
node_3,219.28828,1696166061
node_2,236.65546,1696166061
node_1,219.1,1696166061
master,1467.95702,1696166066
node_3,232.36408,1696166066
node_2,237.16564,1696166066
node_1,229.79452,1696166066
master,1463.37656,1696166071
node_3,218.88206,1696166071
node_2,242.28904,1696166071
node_1,214.04924,1696166071
master,1468.66016,1696166076
node_3,234.96956,1696166076
node_2,234.50782,1696166076
node_1,227.4664,1696166076
master,1465.54142,1696166081
node_3,220.79298,1696166081
node_2,251.58982,1696166081
node_1,226.1664,1696166081
master,1464.84688,1696166086
node_3,228.65782,1696166086
node_2,232.74064,1696166086
node_1,213.67262,1696166086
master,1463.16016,1696166091
node_3,225.4453,1696166091
node_2,254.41798,1696166091
node_1,227.61952,1696166091
master,1457.22968,1696166096
node_3,224.50076,1696166096
node_2,238.6867,1696166096
node_1,216.01564,1696166096
master,1460.99768,1696166101
node_3,226.77342,1696166101
node_2,246.41486,1696166101
node_1,237.94454,1696166101
master,1465.12422,1696166106
node_3,224.47496,1696166106
node_2,228.44062,1696166106
node_1,212.50238,1696166106
master,1456.80312,1696166111
node_3,235.3836,1696166111
node_2,248.04372,1696166111
node_1,230.53046,1696166111
master,1436.77344,1696166116
node_3,219.36562,1696166116
node_2,235.51406,1696166116
node_1,220.9039,1696166116
master,1456.95156,1696166121
node_3,231.80936,1696166121
node_2,246.34844,1696166121
node_1,236.10314,1696166121
master,1452.05466,1696166126
node_3,209.46874,1696166126
node_2,240.40154,1696166126
node_1,233.25704,1696166126
master,1526.36718,1696166131
node_3,232.12266,1696166131
node_2,240.73124,1696166131
node_1,226.1883,1696166131
master,1482.1883,1696166136
node_3,220.28362,1696166136
node_2,245.10624,1696166136
node_1,233.43204,1696166136
master,1399.5,1696166141
node_3,226.8703,1696166141
node_2,241.50392,1696166141
node_1,217.6578,1696166141
master,1416.11016,1696166146
node_3,219.21328,1696166146
node_2,253.1625,1696166146
