4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        10805.73          ---          ---         1.68375         1.47100         5.50300        11.90300       832.45 
Gets       108055.46       185.05    107870.41         1.68086         1.46300         5.50300        11.90300      4215.33 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     118861.18       185.05    107870.41         1.68112         1.46300         5.50300        11.90300      5047.78 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.103        0.000
SET       1.103        5.000
SET       1.183       10.000
SET       1.231       15.000
SET       1.271       20.000
SET       1.303       25.000
SET       1.335       30.000
SET       1.367       35.000
SET       1.399       40.000
SET       1.431       45.000
SET       1.471       50.000
SET       1.487       52.500
SET       1.511       55.000
SET       1.527       57.500
SET       1.551       60.000
SET       1.575       62.500
SET       1.599       65.000
SET       1.623       67.500
SET       1.655       70.000
SET       1.687       72.500
SET       1.719       75.000
SET       1.743       76.250
SET       1.767       77.500
SET       1.791       78.750
SET       1.823       80.000
SET       1.855       81.250
SET       1.895       82.500
SET       1.935       83.750
SET       1.983       85.000
SET       2.023       86.250
SET       2.079       87.500
SET       2.095       88.125
SET       2.127       88.750
SET       2.159       89.375
SET       2.191       90.000
SET       2.255       90.625
SET       2.319       91.250
SET       2.399       91.875
SET       2.479       92.500
SET       2.591       93.125
SET       2.719       93.750
SET       2.799       94.062
SET       2.911       94.375
SET       3.039       94.688
SET       3.199       95.000
SET       3.423       95.312
SET       3.615       95.625
SET       3.711       95.938
SET       3.775       96.250
SET       3.823       96.562
SET       3.871       96.875
SET       3.887       97.031
SET       3.919       97.188
SET       3.935       97.344
SET       3.967       97.500
SET       3.983       97.656
SET       4.015       97.812
SET       4.047       97.969
SET       4.095       98.125
SET       4.159       98.281
SET       4.319       98.438
SET       4.447       98.516
SET       4.639       98.594
SET       4.831       98.672
SET       5.055       98.750
SET       5.215       98.828
SET       5.375       98.906
SET       5.471       98.984
SET       5.599       99.062
SET       5.663       99.141
SET       5.727       99.219
