4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        12349.05          ---          ---         1.47288         1.39900         2.83100         9.47100       951.33 
Gets       123488.75       241.49    123247.26         1.47077         1.39900         2.83100         9.40700      4818.32 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     135837.80       241.49    123247.26         1.47096         1.39900         2.83100         9.40700      5769.65 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.159        0.000
SET       1.103        5.000
SET       1.175       10.000
SET       1.223       15.000
SET       1.255       20.000
SET       1.279       25.000
SET       1.303       30.000
SET       1.327       35.000
SET       1.351       40.000
SET       1.375       45.000
SET       1.399       50.000
SET       1.415       52.500
SET       1.431       55.000
SET       1.447       57.500
SET       1.463       60.000
SET       1.479       62.500
SET       1.495       65.000
SET       1.511       67.500
SET       1.527       70.000
SET       1.551       72.500
SET       1.575       75.000
SET       1.583       76.250
SET       1.591       77.500
SET       1.607       78.750
SET       1.615       80.000
SET       1.631       81.250
SET       1.639       82.500
SET       1.655       83.750
SET       1.671       85.000
SET       1.687       86.250
SET       1.711       87.500
SET       1.719       88.125
SET       1.735       88.750
SET       1.751       89.375
SET       1.767       90.000
SET       1.783       90.625
SET       1.799       91.250
SET       1.823       91.875
SET       1.847       92.500
SET       1.871       93.125
SET       1.903       93.750
SET       1.919       94.062
SET       1.943       94.375
SET       1.959       94.688
SET       1.983       95.000
SET       2.015       95.312
SET       2.047       95.625
SET       2.079       95.938
SET       2.127       96.250
SET       2.175       96.562
SET       2.239       96.875
SET       2.287       97.031
SET       2.319       97.188
SET       2.367       97.344
SET       2.399       97.500
SET       2.447       97.656
SET       2.479       97.812
SET       2.527       97.969
SET       2.559       98.125
SET       2.607       98.281
SET       2.639       98.438
SET       2.671       98.516
SET       2.687       98.594
SET       2.719       98.672
SET       2.735       98.750
SET       2.767       98.828
SET       2.799       98.906
SET       2.831       98.984
SET       2.863       99.062
SET       2.895       99.141
SET       2.943       99.219
SET       2.959       99.258
SET       2.991       99.297
SET       3.007       99.336
SET       3.039       99.375
