hostname,value,timestamp
master,82.8443,1702145886
node_1,57.5322,1702145886
node_2,78.591958,1702145886
node_3,79.362612,1702145886
master,97.622358,1702145891
node_1,91.868292,1702145891
node_2,94.631792,1702145891
node_3,94.164416,1702145891
master,89.108888,1702145896
node_1,81.412868,1702145896
node_2,82.381616,1702145896
node_3,85.519398,1702145896
master,43.228018,1702145901
node_1,39.909498,1702145901
node_2,67.365428,1702145901
node_3,67.168368,1702145901
master,49.064746,1702145906
node_1,64.822534,1702145906
node_2,84.743848,1702145906
node_3,85.15038,1702145906
master,72.886146,1702145911
node_1,72.733678,1702145911
node_2,66.912598,1702145911
node_3,73.34864,1702145911
master,77.13587,1702145916
node_1,43.304592,1702145916
node_2,45.201204,1702145916
node_3,71.442316,1702145916
master,88.550262,1702145921
node_1,66.708458,1702145921
node_2,62.768276,1702145921
node_3,91.210072,1702145921
master,98.430004,1702145926
node_1,96.177842,1702145926
node_2,81.70996,1702145926
node_3,97.16285,1702145926
master,98.228128,1702145931
node_1,92.388038,1702145931
node_2,93.74588,1702145931
node_3,94.800104,1702145931
master,98.135508,1702145936
node_1,95.623324,1702145936
node_2,94.598708,1702145936
node_3,95.858552,1702145936
master,97.641774,1702145941
node_1,95.125578,1702145941
node_2,95.288922,1702145941
node_3,96.41782,1702145941
master,98.401992,1702145946
node_1,93.899334,1702145946
node_2,95.762022,1702145946
node_3,96.715732,1702145946
master,98.076378,1702145951
node_1,92.985176,1702145951
node_2,95.70405,1702145951
node_3,95.921176,1702145951
master,97.56996,1702145956
node_1,92.584968,1702145956
node_2,95.76166,1702145956
node_3,96.601996,1702145956
master,98.116892,1702145961
node_1,92.981804,1702145961
node_2,95.293208,1702145961
node_3,95.738964,1702145961
master,98.220562,1702145966
node_1,92.597006,1702145966
node_2,94.646252,1702145966
node_3,94.542238,1702145966
master,97.613558,1702145971
node_1,93.05433,1702145971
node_2,94.081442,1702145971
node_3,93.03161,1702145971
master,98.1655,1702145976
node_1,91.272796,1702145976
node_2,94.88086,1702145976
node_3,95.68779,1702145976
master,98.685068,1702145981
node_1,94.043302,1702145981
node_2,94.148286,1702145981
node_3,94.968704,1702145981
master,97.899214,1702145986
node_1,92.607564,1702145986
node_2,94.73325,1702145986
node_3,95.579204,1702145986
master,98.31422,1702145991
node_1,93.944306,1702145991
node_2,94.833994,1702145991
node_3,94.363726,1702145991
master,98.450154,1702145996
node_1,93.519672,1702145996
node_2,93.312632,1702145996
node_3,94.3469,1702145996
