hostname,value,timestamp,chart_family
master,39.4,1702145886,nvme0n1
master,39.4,1702145886,ubuntu--vg-ubuntu--lv
node_1,51,1702145886,mmcblk0
node_2,24.8,1702145886,mmcblk0
node_3,23.8,1702145886,mmcblk0
master,3.8,1702145891,nvme0n1
master,3.8,1702145891,ubuntu--vg-ubuntu--lv
node_1,0.4,1702145891,mmcblk0
node_2,1.4,1702145891,mmcblk0
node_3,2,1702145891,mmcblk0
master,4.6,1702145896,nvme0n1
master,4.6,1702145896,ubuntu--vg-ubuntu--lv
node_1,13.6,1702145896,mmcblk0
node_2,10.4,1702145896,mmcblk0
node_3,8.4,1702145896,mmcblk0
master,66.4,1702145901,nvme0n1
master,66.4,1702145901,ubuntu--vg-ubuntu--lv
node_1,2,1702145901,mmcblk0
node_2,1.2,1702145901,mmcblk0
node_3,1.6,1702145901,mmcblk0
master,50.8,1702145906,nvme0n1
master,50.8,1702145906,ubuntu--vg-ubuntu--lv
node_1,4.8,1702145906,mmcblk0
node_2,10,1702145906,mmcblk0
node_3,11.8,1702145906,mmcblk0
master,45.4,1702145911,nvme0n1
master,45.4,1702145911,ubuntu--vg-ubuntu--lv
node_1,41.6,1702145911,mmcblk0
node_2,53,1702145911,mmcblk0
node_3,51.8,1702145911,mmcblk0
master,67.8,1702145916,nvme0n1
master,67.8,1702145916,ubuntu--vg-ubuntu--lv
node_1,40.4,1702145916,mmcblk0
node_2,25.4,1702145916,mmcblk0
node_3,18.8,1702145916,mmcblk0
master,43.4,1702145921,nvme0n1
master,43.2,1702145921,ubuntu--vg-ubuntu--lv
node_1,3.4,1702145921,mmcblk0
node_2,2,1702145921,mmcblk0
node_3,1,1702145921,mmcblk0
master,8.8,1702145926,nvme0n1
master,8.8,1702145926,ubuntu--vg-ubuntu--lv
node_1,0.4,1702145926,mmcblk0
node_2,3.6,1702145926,mmcblk0
node_3,0.8,1702145926,mmcblk0
master,8,1702145931,nvme0n1
master,8,1702145931,ubuntu--vg-ubuntu--lv
node_1,25.8,1702145931,mmcblk0
node_2,35,1702145931,mmcblk0
node_3,21.2,1702145931,mmcblk0
master,7,1702145936,nvme0n1
master,7,1702145936,ubuntu--vg-ubuntu--lv
node_1,1.4,1702145936,mmcblk0
node_2,7.2,1702145936,mmcblk0
node_3,10,1702145936,mmcblk0
master,6.2,1702145941,nvme0n1
master,6.2,1702145941,ubuntu--vg-ubuntu--lv
node_1,8.2,1702145941,mmcblk0
node_2,3.2,1702145941,mmcblk0
node_3,1.8,1702145941,mmcblk0
master,3,1702145946,nvme0n1
master,3,1702145946,ubuntu--vg-ubuntu--lv
node_1,8.6,1702145946,mmcblk0
node_2,1.6,1702145946,mmcblk0
node_3,1,1702145946,mmcblk0
master,6,1702145951,nvme0n1
master,5.8,1702145951,ubuntu--vg-ubuntu--lv
node_1,3.2,1702145951,mmcblk0
node_2,1.4,1702145951,mmcblk0
node_3,1.2,1702145951,mmcblk0
master,7.4,1702145956,nvme0n1
master,7.4,1702145956,ubuntu--vg-ubuntu--lv
node_1,3.8,1702145956,mmcblk0
node_2,0.6,1702145956,mmcblk0
node_3,4.2,1702145956,mmcblk0
master,5.2,1702145961,nvme0n1
master,5.2,1702145961,ubuntu--vg-ubuntu--lv
node_1,4.8,1702145961,mmcblk0
node_2,5.8,1702145961,mmcblk0
node_3,1.6,1702145961,mmcblk0
master,4.4,1702145966,nvme0n1
master,4.4,1702145966,ubuntu--vg-ubuntu--lv
node_1,5,1702145966,mmcblk0
node_2,2.2,1702145966,mmcblk0
node_3,5.4,1702145966,mmcblk0
master,7,1702145971,nvme0n1
master,7,1702145971,ubuntu--vg-ubuntu--lv
node_1,2.8,1702145971,mmcblk0
node_2,11,1702145971,mmcblk0
node_3,8.8,1702145971,mmcblk0
master,6.8,1702145976,nvme0n1
master,6.8,1702145976,ubuntu--vg-ubuntu--lv
node_1,7.4,1702145976,mmcblk0
node_2,0.4,1702145976,mmcblk0
node_3,3.2,1702145976,mmcblk0
