hostname,value,timestamp,id,name
master,7927.60558,1702145886,InOctets,received
master,-3936.227378,1702145886,OutOctets,sent
node_1,2043.389,1702145886,InOctets,received
node_1,-959.114168,1702145886,OutOctets,sent
node_2,2008.45024,1702145886,InOctets,received
node_2,-1272.33363,1702145886,OutOctets,sent
node_3,1911.48728,1702145886,InOctets,received
node_3,-1033.730224,1702145886,OutOctets,sent
master,52547.434,1702145891,InOctets,received
master,-2704.48418,1702145891,OutOctets,sent
node_1,10010.1944,1702145891,InOctets,received
node_1,-1097.14212,1702145891,OutOctets,sent
node_2,5918.6344,1702145891,InOctets,received
node_2,-1331.130364,1702145891,OutOctets,sent
node_3,5855.9746,1702145891,InOctets,received
node_3,-1083.003724,1702145891,OutOctets,sent
master,89220.236,1702145896,InOctets,received
master,-3516.1507,1702145896,OutOctets,sent
node_1,17820.8564,1702145896,InOctets,received
node_1,-1262.16568,1702145896,OutOctets,sent
node_2,7557.7232,1702145896,InOctets,received
node_2,-1369.4905,1702145896,OutOctets,sent
node_3,7713.7912,1702145896,InOctets,received
node_3,-1127.01132,1702145896,OutOctets,sent
master,72241.56,1702145901,InOctets,received
master,-3408.76804,1702145901,OutOctets,sent
node_1,1147.976254,1702145901,InOctets,received
node_1,-906.314977,1702145901,OutOctets,sent
node_2,99.076812,1702145901,InOctets,received
node_2,-1295.8396898,1702145901,OutOctets,sent
node_3,102.5416878,1702145901,InOctets,received
node_3,-956.6115598,1702145901,OutOctets,sent
master,116429.46,1702145906,InOctets,received
master,-4331.2486,1702145906,OutOctets,sent
node_1,447.8437998,1702145906,InOctets,received
node_1,-918.5434526,1702145906,OutOctets,sent
node_2,1000.7931136,1702145906,InOctets,received
node_2,-1331.1313788,1702145906,OutOctets,sent
node_3,1026.5703864,1702145906,InOctets,received
node_3,-999.1594202,1702145906,OutOctets,sent
master,104773.89,1702145911,InOctets,received
master,-4069.9024,1702145911,OutOctets,sent
node_1,3618.84102,1702145911,InOctets,received
node_1,-999.52062,1702145911,OutOctets,sent
node_2,1051.7094212,1702145911,InOctets,received
node_2,-1316.8505262,1702145911,OutOctets,sent
node_3,1013.9747074,1702145911,InOctets,received
node_3,-986.8845484,1702145911,OutOctets,sent
master,127627.176,1702145916,InOctets,received
master,-4585.336,1702145916,OutOctets,sent
node_1,6.8037292,1702145916,InOctets,received
node_1,-896.0174573,1702145916,OutOctets,sent
node_2,8.9414427,1702145916,InOctets,received
node_2,-1291.7605278,1702145916,OutOctets,sent
node_3,5.0460979,1702145916,InOctets,received
node_3,-960.6597288,1702145916,OutOctets,sent
master,110246.464,1702145921,InOctets,received
master,-4311.1736,1702145921,OutOctets,sent
node_1,104.2727823,1702145921,InOctets,received
node_1,-904.9975709,1702145921,OutOctets,sent
node_2,126.9738326,1702145921,InOctets,received
node_2,-1303.6903591,1702145921,OutOctets,sent
node_3,280.708114,1702145921,InOctets,received
node_3,-975.3138032,1702145921,OutOctets,sent
master,92620.748,1702145926,InOctets,received
master,-3699.243,1702145926,OutOctets,sent
node_1,1083.59268,1702145926,InOctets,received
node_1,-935.478102,1702145926,OutOctets,sent
node_2,600.61156,1702145926,InOctets,received
node_2,-1317.607761,1702145926,OutOctets,sent
node_3,736.47552,1702145926,InOctets,received
node_3,-981.80269,1702145926,OutOctets,sent
master,89043.278,1702145931,InOctets,received
master,-3830.1666,1702145931,OutOctets,sent
node_1,1569.39334,1702145931,InOctets,received
node_1,-945.991408,1702145931,OutOctets,sent
node_2,746.33006,1702145931,InOctets,received
node_2,-1317.138818,1702145931,OutOctets,sent
node_3,874.94506,1702145931,InOctets,received
node_3,-992.0777,1702145931,OutOctets,sent
master,86997.582,1702145936,InOctets,received
master,-3621.1518,1702145936,OutOctets,sent
node_1,1693.77724,1702145936,InOctets,received
node_1,-936.440848,1702145936,OutOctets,sent
node_2,927.25536,1702145936,InOctets,received
node_2,-1317.5515,1702145936,OutOctets,sent
node_3,758.18054,1702145936,InOctets,received
node_3,-985.527258,1702145936,OutOctets,sent
master,88871.966,1702145941,InOctets,received
master,-3806.2094,1702145941,OutOctets,sent
node_1,2621.8018,1702145941,InOctets,received
node_1,-961.47849,1702145941,OutOctets,sent
node_2,816.18064,1702145941,InOctets,received
node_2,-1312.588952,1702145941,OutOctets,sent
node_3,907.89018,1702145941,InOctets,received
node_3,-982.158538,1702145941,OutOctets,sent
master,83463.678,1702145946,InOctets,received
master,-3625.7708,1702145946,OutOctets,sent
node_1,5848.9928,1702145946,InOctets,received
node_1,-1044.761288,1702145946,OutOctets,sent
node_2,1102.4462,1702145946,InOctets,received
node_2,-1320.941316,1702145946,OutOctets,sent
node_3,1120.59144,1702145946,InOctets,received
node_3,-987.674972,1702145946,OutOctets,sent
master,79974.442,1702145951,InOctets,received
master,-3417.0392,1702145951,OutOctets,sent
node_1,5967.0126,1702145951,InOctets,received
node_1,-1031.314604,1702145951,OutOctets,sent
node_2,1156.41184,1702145951,InOctets,received
node_2,-1320.233186,1702145951,OutOctets,sent
node_3,1137.48814,1702145951,InOctets,received
node_3,-989.389252,1702145951,OutOctets,sent
master,84290.652,1702145956,InOctets,received
master,-3515.7002,1702145956,OutOctets,sent
node_1,7248.5362,1702145956,InOctets,received
node_1,-1061.633676,1702145956,OutOctets,sent
node_2,1893.01898,1702145956,InOctets,received
node_2,-1342.022036,1702145956,OutOctets,sent
node_3,1976.2517,1702145956,InOctets,received
node_3,-1011.488046,1702145956,OutOctets,sent
master,85794.8,1702145961,InOctets,received
master,-3798.4006,1702145961,OutOctets,sent
node_1,7575.3094,1702145961,InOctets,received
node_1,-1087.24936,1702145961,OutOctets,sent
node_2,2456.79,1702145961,InOctets,received
node_2,-1357.391878,1702145961,OutOctets,sent
node_3,2596.5098,1702145961,InOctets,received
node_3,-1032.40773,1702145961,OutOctets,sent
master,82549.498,1702145966,InOctets,received
master,-3695.8752,1702145966,OutOctets,sent
node_1,7502.8788,1702145966,InOctets,received
node_1,-1087.44338,1702145966,OutOctets,sent
node_2,2390.1672,1702145966,InOctets,received
node_2,-1355.103676,1702145966,OutOctets,sent
node_3,2549.2434,1702145966,InOctets,received
node_3,-1028.991742,1702145966,OutOctets,sent
master,89272.552,1702145971,InOctets,received
master,-3648.3,1702145971,OutOctets,sent
node_1,7826.4496,1702145971,InOctets,received
node_1,-1072.168766,1702145971,OutOctets,sent
node_2,2593.1638,1702145971,InOctets,received
node_2,-1350.033934,1702145971,OutOctets,sent
node_3,2742.4528,1702145971,InOctets,received
node_3,-1024.653864,1702145971,OutOctets,sent
master,76910.602,1702145976,InOctets,received
master,-3350.79306,1702145976,OutOctets,sent
node_1,6918.202,1702145976,InOctets,received
node_1,-1058.40924,1702145976,OutOctets,sent
node_2,2565.8244,1702145976,InOctets,received
node_2,-1360.60457,1702145976,OutOctets,sent
node_3,2719.8624,1702145976,InOctets,received
node_3,-1030.817644,1702145976,OutOctets,sent
master,69329.364,1702145981,InOctets,received
master,-3502.8639,1702145981,OutOctets,sent
node_1,6060.7302,1702145981,InOctets,received
node_1,-1057.609024,1702145981,OutOctets,sent
node_2,3230.8458,1702145981,InOctets,received
node_2,-1375.428404,1702145981,OutOctets,sent
node_3,3393.341,1702145981,InOctets,received
node_3,-1050.645062,1702145981,OutOctets,sent
master,69747.576,1702145986,InOctets,received
master,-3174.38244,1702145986,OutOctets,sent
node_1,5508.5318,1702145986,InOctets,received
node_1,-1020.605164,1702145986,OutOctets,sent
node_2,3756.3608,1702145986,InOctets,received
node_2,-1375.426472,1702145986,OutOctets,sent
node_3,3988.1244,1702145986,InOctets,received
node_3,-1049.204278,1702145986,OutOctets,sent
master,73558.98,1702145991,InOctets,received
master,-3261.13858,1702145991,OutOctets,sent
node_1,6047.7026,1702145991,InOctets,received
node_1,-1032.34529,1702145991,OutOctets,sent
node_2,4073.4224,1702145991,InOctets,received
node_2,-1386.108564,1702145991,OutOctets,sent
node_3,4258.0502,1702145991,InOctets,received
