hostname,value,timestamp,chart_family
node_3,3.4,1708746111,mmcblk0
node_2,0.8,1708746111,mmcblk0
master,2,1708746111,nvme0n1
master,1.6,1708746111,ubuntu--vg-ubuntu--lv
node_1,2.2,1708746111,mmcblk0
node_3,14.6,1708746116,mmcblk0
node_2,15.8,1708746116,mmcblk0
master,1,1708746116,nvme0n1
master,1,1708746116,ubuntu--vg-ubuntu--lv
node_1,11.6,1708746116,mmcblk0
node_2,37.2,1708746121,mmcblk0
node_3,20.8,1708746121,mmcblk0
master,0.8,1708746121,nvme0n1
master,0.8,1708746121,ubuntu--vg-ubuntu--lv
node_1,24,1708746121,mmcblk0
node_2,26.2,1708746126,mmcblk0
node_3,67.2,1708746126,mmcblk0
master,0.4,1708746126,nvme0n1
master,0.4,1708746126,ubuntu--vg-ubuntu--lv
node_1,29.8,1708746126,mmcblk0
node_2,37,1708746131,mmcblk0
node_3,7.8,1708746131,mmcblk0
master,0.2,1708746131,nvme0n1
master,0.2,1708746131,ubuntu--vg-ubuntu--lv
node_1,10.8,1708746131,mmcblk0
node_2,18.4,1708746136,mmcblk0
node_3,4.8,1708746136,mmcblk0
master,1.4,1708746136,nvme0n1
master,1.4,1708746136,ubuntu--vg-ubuntu--lv
node_1,15.6,1708746136,mmcblk0
node_2,14.8,1708746141,mmcblk0
node_3,34,1708746141,mmcblk0
master,0.8,1708746141,nvme0n1
master,0.8,1708746141,ubuntu--vg-ubuntu--lv
node_1,24,1708746141,mmcblk0
node_2,56.8,1708746146,mmcblk0
node_3,32,1708746146,mmcblk0
master,0.6,1708746146,nvme0n1
master,0.6,1708746146,ubuntu--vg-ubuntu--lv
node_1,80.6,1708746146,mmcblk0
node_3,84.4,1708746151,mmcblk0
node_2,73.2,1708746151,mmcblk0
master,0.4,1708746151,nvme0n1
master,0.4,1708746151,ubuntu--vg-ubuntu--lv
node_1,98.4,1708746151,mmcblk0
node_2,98.6,1708746156,mmcblk0
node_3,98,1708746156,mmcblk0
master,0.6,1708746156,nvme0n1
master,0.6,1708746156,ubuntu--vg-ubuntu--lv
node_1,53.4,1708746156,mmcblk0
node_2,99.6,1708746161,mmcblk0
node_3,98.8,1708746161,mmcblk0
master,0.4,1708746161,nvme0n1
master,0.4,1708746161,ubuntu--vg-ubuntu--lv
node_1,3.8,1708746161,mmcblk0
node_3,84.8,1708746166,mmcblk0
node_2,98.8,1708746166,mmcblk0
master,0.4,1708746166,nvme0n1
master,0.4,1708746166,ubuntu--vg-ubuntu--lv
node_1,63.6,1708746166,mmcblk0
node_2,93.4,1708746171,mmcblk0
node_3,13.4,1708746171,mmcblk0
master,0.2,1708746171,nvme0n1
master,0.2,1708746171,ubuntu--vg-ubuntu--lv
node_1,31.2,1708746171,mmcblk0
node_3,45.6,1708746176,mmcblk0
node_2,64.8,1708746176,mmcblk0
master,0.4,1708746176,nvme0n1
master,0.4,1708746176,ubuntu--vg-ubuntu--lv
node_1,32.2,1708746176,mmcblk0
node_2,49,1708746181,mmcblk0
node_3,67.6,1708746181,mmcblk0
master,0,1708746181,nvme0n1
master,0,1708746181,ubuntu--vg-ubuntu--lv
node_1,38.6,1708746181,mmcblk0
node_2,36.8,1708746186,mmcblk0
node_3,46.4,1708746186,mmcblk0
master,0.4,1708746186,nvme0n1
master,0.4,1708746186,ubuntu--vg-ubuntu--lv
node_1,21.4,1708746186,mmcblk0
node_3,46.4,1708746191,mmcblk0
node_2,42,1708746191,mmcblk0
master,0.4,1708746191,nvme0n1
master,0.4,1708746191,ubuntu--vg-ubuntu--lv
node_1,30.8,1708746191,mmcblk0
node_2,24.8,1708746196,mmcblk0
node_3,35.2,1708746196,mmcblk0
master,0.4,1708746196,nvme0n1
master,0.4,1708746196,ubuntu--vg-ubuntu--lv
node_1,51.8,1708746196,mmcblk0
node_2,81.2,1708746201,mmcblk0
node_3,31,1708746201,mmcblk0
master,0.8,1708746201,nvme0n1
master,0.8,1708746201,ubuntu--vg-ubuntu--lv
node_1,89.4,1708746201,mmcblk0
node_2,55.4,1708746206,mmcblk0
node_3,44,1708746206,mmcblk0
master,0.8,1708746206,nvme0n1
master,0.8,1708746206,ubuntu--vg-ubuntu--lv
node_1,98.8,1708746206,mmcblk0
node_2,91,1708746211,mmcblk0
node_3,75,1708746211,mmcblk0
master,0.2,1708746211,nvme0n1
master,0.2,1708746211,ubuntu--vg-ubuntu--lv
node_1,92,1708746211,mmcblk0
node_2,98.6,1708746216,mmcblk0
node_3,93.2,1708746216,mmcblk0
master,0.8,1708746216,nvme0n1
master,0.8,1708746216,ubuntu--vg-ubuntu--lv
node_1,58,1708746216,mmcblk0
node_3,99.4,1708746221,mmcblk0
node_2,98,1708746221,mmcblk0
master,0.2,1708746221,nvme0n1
master,0.2,1708746221,ubuntu--vg-ubuntu--lv
node_1,49.6,1708746221,mmcblk0
node_2,98.6,1708746226,mmcblk0
node_3,98.2,1708746226,mmcblk0
master,0.8,1708746226,nvme0n1
master,0.8,1708746226,ubuntu--vg-ubuntu--lv
node_1,34.2,1708746226,mmcblk0
node_2,77.8,1708746231,mmcblk0
node_3,99.2,1708746231,mmcblk0
master,1,1708746231,nvme0n1
master,1,1708746231,ubuntu--vg-ubuntu--lv
node_1,7,1708746231,mmcblk0
node_2,72.6,1708746236,mmcblk0
node_3,95,1708746236,mmcblk0
master,0.4,1708746236,nvme0n1
master,0.4,1708746236,ubuntu--vg-ubuntu--lv
node_1,7,1708746236,mmcblk0
node_2,70.4,1708746241,mmcblk0
node_3,75,1708746241,mmcblk0
master,0.4,1708746241,nvme0n1
master,0.4,1708746241,ubuntu--vg-ubuntu--lv
node_1,7.8,1708746241,mmcblk0
node_2,93.4,1708746246,mmcblk0
node_3,56.6,1708746246,mmcblk0
master,0.8,1708746246,nvme0n1
master,0.8,1708746246,ubuntu--vg-ubuntu--lv
node_1,5.4,1708746246,mmcblk0
node_2,47.8,1708746251,mmcblk0
node_3,88,1708746251,mmcblk0
master,0.4,1708746251,nvme0n1
master,0.4,1708746251,ubuntu--vg-ubuntu--lv
node_1,11.2,1708746251,mmcblk0
node_2,46.6,1708746256,mmcblk0
node_3,40.8,1708746256,mmcblk0
master,1.2,1708746256,nvme0n1
master,1.2,1708746256,ubuntu--vg-ubuntu--lv
node_1,6.8,1708746256,mmcblk0
node_2,12.6,1708746261,mmcblk0
node_3,24.8,1708746261,mmcblk0
master,0.8,1708746261,nvme0n1
master,0.8,1708746261,ubuntu--vg-ubuntu--lv
node_1,4.2,1708746261,mmcblk0
node_2,13.8,1708746266,mmcblk0
node_3,5.2,1708746266,mmcblk0
master,0.6,1708746266,nvme0n1
master,0.6,1708746266,ubuntu--vg-ubuntu--lv
node_1,3.4,1708746266,mmcblk0
node_2,40.2,1708746271,mmcblk0
node_3,17.2,1708746271,mmcblk0
master,0.2,1708746271,nvme0n1
master,0.2,1708746271,ubuntu--vg-ubuntu--lv
node_1,4.2,1708746271,mmcblk0
node_2,27.2,1708746276,mmcblk0
node_3,28.2,1708746276,mmcblk0
master,1,1708746276,nvme0n1
master,1,1708746276,ubuntu--vg-ubuntu--lv
node_1,0.6,1708746276,mmcblk0
node_2,14,1708746281,mmcblk0
node_3,4.4,1708746281,mmcblk0
master,1,1708746281,nvme0n1
master,1,1708746281,ubuntu--vg-ubuntu--lv
node_1,2,1708746281,mmcblk0
node_2,10.8,1708746286,mmcblk0
node_3,0.6,1708746286,mmcblk0
master,0.6,1708746286,nvme0n1
master,0.6,1708746286,ubuntu--vg-ubuntu--lv
node_1,8.4,1708746286,mmcblk0
node_2,3.6,1708746291,mmcblk0
node_3,5.2,1708746291,mmcblk0
master,0.4,1708746291,nvme0n1
master,0.4,1708746291,ubuntu--vg-ubuntu--lv
node_1,1.4,1708746291,mmcblk0
node_2,6.4,1708746296,mmcblk0
node_3,12.8,1708746296,mmcblk0
master,0.4,1708746296,nvme0n1
master,0.4,1708746296,ubuntu--vg-ubuntu--lv
node_1,4.6,1708746296,mmcblk0
node_2,7.4,1708746301,mmcblk0
node_3,7,1708746301,mmcblk0
master,0.8,1708746301,nvme0n1
master,0.8,1708746301,ubuntu--vg-ubuntu--lv
node_1,3.6,1708746301,mmcblk0
node_2,2.2,1708746306,mmcblk0
node_3,7.8,1708746306,mmcblk0
master,0.6,1708746306,nvme0n1
master,0.6,1708746306,ubuntu--vg-ubuntu--lv
node_1,4.4,1708746306,mmcblk0
node_2,2,1708746311,mmcblk0
node_3,2.2,1708746311,mmcblk0
master,0.6,1708746311,nvme0n1
master,0.6,1708746311,ubuntu--vg-ubuntu--lv
node_1,0.6,1708746311,mmcblk0
node_2,4.8,1708746316,mmcblk0
node_3,1,1708746316,mmcblk0
master,0.8,1708746316,nvme0n1
master,0.8,1708746316,ubuntu--vg-ubuntu--lv
node_1,2,1708746316,mmcblk0
node_2,16.6,1708746321,mmcblk0
node_3,5.6,1708746321,mmcblk0
master,0.8,1708746321,nvme0n1
master,0.8,1708746321,ubuntu--vg-ubuntu--lv
node_1,2.6,1708746321,mmcblk0
node_2,10.4,1708746326,mmcblk0
node_3,12.8,1708746326,mmcblk0
master,0.4,1708746326,nvme0n1
master,0.4,1708746326,ubuntu--vg-ubuntu--lv
node_1,2,1708746326,mmcblk0
node_2,5.2,1708746331,mmcblk0
node_3,12.2,1708746331,mmcblk0
master,0.6,1708746331,nvme0n1
master,0.6,1708746331,ubuntu--vg-ubuntu--lv
node_1,4.8,1708746331,mmcblk0
node_3,7.6,1708746336,mmcblk0
node_2,4.8,1708746336,mmcblk0
master,0.2,1708746336,nvme0n1
master,0.2,1708746336,ubuntu--vg-ubuntu--lv
node_1,64.8,1708746336,mmcblk0
node_2,4,1708746341,mmcblk0
node_3,10.8,1708746341,mmcblk0
master,0.8,1708746341,nvme0n1
master,0.8,1708746341,ubuntu--vg-ubuntu--lv
