hostname,value,timestamp
node_2,96.782224,1708763221
master,96.748966,1708763221
node_3,95.40424,1708763221
node_1,97.677508,1708763221
node_2,93.64783,1708763226
master,98.374588,1708763226
node_3,94.216892,1708763226
node_1,93.3539,1708763226
node_2,96.225068,1708763231
master,98.861178,1708763231
node_3,95.632526,1708763231
node_1,97.433232,1708763231
node_2,93.944658,1708763236
master,98.893926,1708763236
node_3,94.61335,1708763236
node_1,93.783634,1708763236
node_2,96.479736,1708763241
master,98.927874,1708763241
node_3,95.691374,1708763241
node_1,97.075872,1708763241
node_2,93.904478,1708763246
master,98.77726,1708763246
node_3,94.859792,1708763246
node_1,94.210472,1708763246
node_2,96.126478,1708763251
master,99.1284,1708763251
node_3,95.624418,1708763251
node_1,96.67269,1708763251
node_2,92.637326,1708763256
master,98.877676,1708763256
node_3,94.103334,1708763256
node_1,93.745,1708763256
node_2,96.681516,1708763261
master,98.97797,1708763261
node_3,96.127206,1708763261
node_1,96.531622,1708763261
node_2,94.08131,1708763266
master,99.027856,1708763266
node_3,94.475752,1708763266
node_1,94.354386,1708763266
node_2,96.226212,1708763271
master,99.09463,1708763271
node_3,95.66823,1708763271
node_1,97.075654,1708763271
node_2,93.613912,1708763276
master,98.943768,1708763276
node_3,93.854826,1708763276
node_1,93.508462,1708763276
node_2,96.781186,1708763281
master,99.245418,1708763281
node_3,95.23114,1708763281
node_1,97.183652,1708763281
node_2,93.422574,1708763286
master,98.792604,1708763286
node_3,94.76562,1708763286
node_1,94.401658,1708763286
node_2,96.686534,1708763291
master,98.995254,1708763291
node_3,96.377852,1708763291
node_1,96.610138,1708763291
node_2,93.967632,1708763296
master,98.826754,1708763296
node_3,94.819808,1708763296
node_1,95.466872,1708763296
node_2,96.075936,1708763301
master,98.959842,1708763301
node_3,96.157146,1708763301
node_1,95.368876,1708763301
node_2,94.168632,1708763306
master,98.745254,1708763306
node_3,94.747424,1708763306
node_1,95.580384,1708763306
node_2,96.58151,1708763311
master,99.045236,1708763311
node_3,95.798116,1708763311
node_1,95.239308,1708763311
node_2,92.849494,1708763316
master,98.944134,1708763316
node_3,94.816882,1708763316
node_1,95.09551,1708763316
node_2,96.291704,1708763321
master,99.044874,1708763321
node_3,95.870934,1708763321
node_1,94.889022,1708763321
node_2,93.389666,1708763326
master,98.861528,1708763326
node_3,94.918404,1708763326
node_1,95.451422,1708763326
node_2,96.03591,1708763331
master,98.861366,1708763331
node_3,96.682254,1708763331
node_1,95.4173,1708763331
node_2,93.865396,1708763336
master,99.044174,1708763336
node_3,92.88886,1708763336
node_1,95.473282,1708763336
node_2,96.089186,1708763341
master,98.860858,1708763341
node_3,96.87516,1708763341
node_1,95.366602,1708763341
node_2,93.559594,1708763346
master,98.74342,1708763346
node_3,93.09984,1708763346
node_1,94.871438,1708763346
node_2,96.431508,1708763351
master,98.945072,1708763351
node_3,97.589808,1708763351
node_1,96.006146,1708763351
node_2,94.455468,1708763356
master,98.826542,1708763356
node_3,93.278968,1708763356
node_1,95.566054,1708763356
node_2,96.967512,1708763361
master,98.794346,1708763361
node_3,96.83605,1708763361
node_1,95.157984,1708763361
node_2,94.41584,1708763366
master,98.844598,1708763366
node_3,93.418824,1708763366
node_1,95.25285,1708763366
node_2,95.629496,1708763371
master,98.779388,1708763371
node_3,97.131376,1708763371
node_1,95.561514,1708763371
node_2,92.488076,1708763376
master,98.761542,1708763376
node_3,92.800626,1708763376
node_1,93.922488,1708763376
node_2,95.756838,1708763381
master,99.04588,1708763381
node_3,97.334138,1708763381
node_1,95.131106,1708763381
node_2,94.319424,1708763386
master,98.77636,1708763386
node_3,91.939872,1708763386
node_1,93.82189,1708763386
node_2,40.579628,1708763391
master,98.744334,1708763391
node_3,41.318754,1708763391
node_1,39.167246,1708763391
node_2,29.139364,1708763396
master,98.810156,1708763396
