hostname,value,timestamp
master,1310.19376,1696770706
node_2,323.7211,1696770706
node_3,332.10158,1696770706
node_1,324.76408,1696770706
master,1422.84766,1696770711
node_2,332.11482,1696770711
node_3,333.71874,1696770711
node_1,331.25938,1696770711
master,1479.9125,1696770716
node_2,332.44452,1696770716
node_3,336.88046,1696770716
node_1,335.97578,1696770716
master,1593.72584,1696770721
node_2,342.7672,1696770721
node_3,341.33048,1696770721
node_1,355.20702,1696770721
master,1880.8288,1696770726
node_2,376.34142,1696770726
node_3,371.35938,1696770726
node_1,411.18908,1696770726
master,2073.0564,1696770731
node_2,421.21562,1696770731
node_3,414.71874,1696770731
node_1,418.2867,1696770731
master,2274.7554,1696770736
node_2,399.88514,1696770736
node_3,387.10234,1696770736
node_1,375.91718,1696770736
master,2370.047,1696770741
node_2,411.56252,1696770741
node_3,412.08828,1696770741
node_1,406.8336,1696770741
master,2379.243,1696770746
node_2,415.35158,1696770746
node_3,415.4203,1696770746
node_1,407.78126,1696770746
master,2382.34,1696770751
node_2,416.15234,1696770751
node_3,416.12344,1696770751
node_1,407.93906,1696770751
master,2402.032,1696770756
node_2,415.92108,1696770756
node_3,417.69532,1696770756
node_1,408.07188,1696770756
master,2395.0924,1696770761
node_2,417.28358,1696770761
node_3,419.43516,1696770761
node_1,409.30392,1696770761
master,2401.3524,1696770766
node_2,420.14768,1696770766
node_3,422.25078,1696770766
node_1,411.85156,1696770766
master,2400.84,1696770771
node_2,425.6211,1696770771
node_3,427.74922,1696770771
node_1,416.86096,1696770771
master,2402.3242,1696770776
node_2,429.16172,1696770776
node_3,430.22502,1696770776
node_1,420.85234,1696770776
master,2402.2532,1696770781
node_2,433.11172,1696770781
node_3,431.23202,1696770781
node_1,425.45,1696770781
master,2403.7788,1696770786
node_2,434.8414,1696770786
node_3,432.12264,1696770786
node_1,426.70546,1696770786
master,2409.45,1696770791
node_2,434.88984,1696770791
node_3,433.24374,1696770791
node_1,427.83906,1696770791
master,2408.9696,1696770796
node_2,433.87034,1696770796
node_3,432.9875,1696770796
node_1,427.67814,1696770796
master,2410.1874,1696770801
node_2,434.59922,1696770801
node_3,433.44142,1696770801
node_1,428.45314,1696770801
master,2414.0514,1696770806
node_2,435.79924,1696770806
node_3,434.99298,1696770806
node_1,429.15236,1696770806
master,2415.9578,1696770811
node_2,435.81406,1696770811
node_3,433.39608,1696770811
node_1,428.35936,1696770811
master,2416.2194,1696770816
node_2,435.6,1696770816
node_3,433.88828,1696770816
node_1,428.84142,1696770816
master,2419.3972,1696770821
node_2,436.01564,1696770821
node_3,433.9875,1696770821
node_1,428.26484,1696770821
master,2416.2064,1696770826
node_2,435.71094,1696770826
node_3,434.03672,1696770826
node_1,428.6336,1696770826
master,2417.6446,1696770831
node_2,436.36016,1696770831
node_3,434.74688,1696770831
node_1,428.3422,1696770831
master,2419.6884,1696770836
node_2,435.89844,1696770836
node_3,435.01484,1696770836
node_1,428.87266,1696770836
master,2419.9384,1696770841
node_2,436.78514,1696770841
node_3,434.82028,1696770841
node_1,428.37186,1696770841
master,2421.8896,1696770846
node_2,437.03672,1696770846
node_3,435.10392,1696770846
node_1,428.81564,1696770846
master,2424.7986,1696770851
node_2,437.25626,1696770851
node_3,435.23906,1696770851
node_1,428.85938,1696770851
master,2424.4842,1696770856
node_2,436.3797,1696770856
node_3,434.37656,1696770856
node_1,428.44144,1696770856
master,2417.311,1696770861
node_2,435.80778,1696770861
node_3,434.96798,1696770861
node_1,428.61484,1696770861
master,2419.8954,1696770866
node_2,435.76718,1696770866
node_3,435.41018,1696770866
node_1,428.31642,1696770866
master,2423.5242,1696770871
node_2,434.8875,1696770871
