hostname,value,timestamp,chart_family
master,24.8,1696773596,nvme0n1
master,24.8,1696773596,ubuntu--vg-ubuntu--lv
master,3.2,1696773601,nvme0n1
master,3.2,1696773601,ubuntu--vg-ubuntu--lv
master,1.4,1696773606,nvme0n1
master,1.4,1696773606,ubuntu--vg-ubuntu--lv
master,1.2,1696773611,nvme0n1
master,1.2,1696773611,ubuntu--vg-ubuntu--lv
master,0.8,1696773616,nvme0n1
master,0.8,1696773616,ubuntu--vg-ubuntu--lv
master,0.8,1696773621,nvme0n1
master,0.8,1696773621,ubuntu--vg-ubuntu--lv
master,4,1696773626,nvme0n1
master,4,1696773626,ubuntu--vg-ubuntu--lv
master,0.8,1696773631,nvme0n1
master,0.8,1696773631,ubuntu--vg-ubuntu--lv
master,2.4,1696773636,nvme0n1
master,2.4,1696773636,ubuntu--vg-ubuntu--lv
master,1.6,1696773641,nvme0n1
master,1.6,1696773641,ubuntu--vg-ubuntu--lv
master,0.8,1696773646,nvme0n1
master,0.8,1696773646,ubuntu--vg-ubuntu--lv
master,1,1696773651,nvme0n1
master,1,1696773651,ubuntu--vg-ubuntu--lv
master,2,1696773656,nvme0n1
master,2,1696773656,ubuntu--vg-ubuntu--lv
master,1,1696773661,nvme0n1
master,1,1696773661,ubuntu--vg-ubuntu--lv
master,0.6,1696773666,nvme0n1
master,0.6,1696773666,ubuntu--vg-ubuntu--lv
master,0.8,1696773671,nvme0n1
master,0.8,1696773671,ubuntu--vg-ubuntu--lv
master,0.4,1696773676,nvme0n1
master,0.4,1696773676,ubuntu--vg-ubuntu--lv
master,0.2,1696773681,nvme0n1
master,0.2,1696773681,ubuntu--vg-ubuntu--lv
master,22,1696772726,nvme0n1
master,21.4,1696772726,ubuntu--vg-ubuntu--lv
node_3,45.6,1696772726,mmcblk0
node_2,38,1696772726,mmcblk0
node_1,11.2,1696772726,mmcblk0
master,15.6,1696772731,nvme0n1
master,15.6,1696772731,ubuntu--vg-ubuntu--lv
node_3,10.8,1696772731,mmcblk0
node_2,11.6,1696772731,mmcblk0
node_1,6.4,1696772731,mmcblk0
master,2.4,1696772736,nvme0n1
master,2.4,1696772736,ubuntu--vg-ubuntu--lv
node_3,6.8,1696772736,mmcblk0
node_2,6.8,1696772736,mmcblk0
node_1,3.2,1696772736,mmcblk0
master,59.4,1696772741,nvme0n1
master,59.4,1696772741,ubuntu--vg-ubuntu--lv
node_3,10.8,1696772741,mmcblk0
node_2,9.6,1696772741,mmcblk0
node_1,1.6,1696772741,mmcblk0
master,89.4,1696772746,nvme0n1
master,89.4,1696772746,ubuntu--vg-ubuntu--lv
node_3,6.4,1696772746,mmcblk0
node_2,0.8,1696772746,mmcblk0
node_1,25.8,1696772746,mmcblk0
master,2.4,1696772751,nvme0n1
master,2.4,1696772751,ubuntu--vg-ubuntu--lv
node_3,2.8,1696772751,mmcblk0
node_2,0.6,1696772751,mmcblk0
node_1,0.8,1696772751,mmcblk0
master,5.6,1696772756,nvme0n1
master,5.6,1696772756,ubuntu--vg-ubuntu--lv
node_3,4.4,1696772756,mmcblk0
node_2,2.4,1696772756,mmcblk0
node_1,1.4,1696772756,mmcblk0
master,15.6,1696772761,nvme0n1
master,15.6,1696772761,ubuntu--vg-ubuntu--lv
node_3,70.6,1696772761,mmcblk0
node_2,38.4,1696772761,mmcblk0
node_1,4,1696772761,mmcblk0
master,16.2,1696772766,nvme0n1
master,16.2,1696772766,ubuntu--vg-ubuntu--lv
node_3,11.6,1696772766,mmcblk0
node_2,34.8,1696772766,mmcblk0
node_1,14.2,1696772766,mmcblk0
master,28.8,1696772771,nvme0n1
master,29,1696772771,ubuntu--vg-ubuntu--lv
node_3,31.2,1696772771,mmcblk0
node_2,20.2,1696772771,mmcblk0
node_1,2,1696772771,mmcblk0
