hostname,value,timestamp
master,97.450792,1697196426
node_3,92.864912,1697196426
node_1,93.409492,1697196426
node_2,92.408406,1697196426
master,84.879424,1697196431
node_1,96.88516,1697196431
node_3,96.787676,1697196431
node_2,96.532734,1697196431
master,89.258304,1697196436
node_3,96.319022,1697196436
node_1,96.527244,1697196436
node_2,95.778698,1697196436
master,97.28386,1697196441
node_1,96.841172,1697196441
node_3,97.242228,1697196441
node_2,96.034188,1697196441
master,90.351918,1697196446
node_3,97.130824,1697196446
node_1,96.780492,1697196446
node_2,96.280634,1697196446
master,84.130332,1697196451
node_3,97.836146,1697196451
node_1,97.64044,1697196451
node_2,96.635654,1697196451
master,84.92103,1697196456
node_1,97.083378,1697196456
node_3,97.278184,1697196456
node_2,96.100106,1697196456
master,80.630174,1697196461
node_3,97.688538,1697196461
node_1,97.98537,1697196461
node_2,96.786292,1697196461
master,83.495824,1697196466
node_3,96.98389,1697196466
node_1,97.03067,1697196466
node_2,96.47942,1697196466
master,87.179676,1697196471
node_1,97.688684,1697196471
node_3,97.587926,1697196471
node_2,96.79146,1697196471
master,83.594806,1697196476
node_3,97.336518,1697196476
node_1,97.03831,1697196476
node_2,96.63705,1697196476
master,80.70958,1697196481
node_3,97.53817,1697196481
node_1,97.835374,1697196481
node_2,96.684542,1697196481
master,80.856816,1697196486
node_1,96.535796,1697196486
node_3,96.836538,1697196486
node_2,96.5329,1697196486
master,82.333458,1697196491
node_3,96.359096,1697196491
node_1,97.593576,1697196491
node_2,95.684812,1697196491
master,82.633756,1697196496
node_3,96.116494,1697196496
node_1,95.43174,1697196496
node_2,95.423564,1697196496
master,94.531872,1697196501
node_3,97.98564,1697196501
node_1,96.933782,1697196501
node_2,96.43378,1697196501
master,99.396394,1697196506
node_1,96.980452,1697196506
node_3,97.228458,1697196506
node_2,96.037574,1697196506
master,99.597666,1697196511
node_3,97.637296,1697196511
node_1,97.7383,1697196511
node_2,97.1378,1697196511
master,99.58065,1697196516
node_3,97.574078,1697196516
node_1,97.233766,1697196516
node_2,96.19394,1697196516
master,99.63104,1697196521
node_3,97.590684,1697196521
node_1,97.345442,1697196521
node_2,97.041578,1697196521
master,99.229548,1697196526
node_3,96.979602,1697196526
node_1,97.177684,1697196526
node_2,96.185178,1697196526
master,78.106102,1697196531
node_3,97.840426,1697196531
node_1,97.54184,1697196531
node_2,96.441072,1697196531
master,25.397154,1697196536
node_1,96.890066,1697196536
node_3,97.431222,1697196536
node_2,96.336554,1697196536
master,25.053654,1697196541
node_1,85.521524,1697196541
node_3,97.686658,1697196541
node_2,97.331856,1697196541
master,25.329714,1697196546
node_1,72.463306,1697196546
node_3,96.923098,1697196546
node_2,95.834424,1697196546
master,25.51258,1697196551
node_1,76.69202,1697196551
node_3,96.982724,1697196551
node_2,96.631598,1697196551
master,25.076278,1697196556
node_3,96.217048,1697196556
node_1,96.5222,1697196556
node_2,95.48328,1697196556
master,25.610328,1697196561
node_3,97.640782,1697196561
node_1,97.084778,1697196561
node_2,96.429118,1697196561
master,24.451966,1697196566
node_3,97.03311,1697196566
node_1,96.98214,1697196566
node_2,96.477722,1697196566
master,25.27523,1697196571
node_1,97.443094,1697196571
node_3,97.938038,1697196571
node_2,96.537042,1697196571
master,25.667202,1697196576
node_3,97.176152,1697196576
node_1,96.787566,1697196576
node_2,96.534892,1697196576
master,25.473656,1697196581
node_3,97.738812,1697196581
node_1,97.744098,1697196581
node_2,96.595726,1697196581
master,25.143762,1697196586
node_3,96.584172,1697196586
node_1,96.729466,1697196586
node_2,96.035166,1697196586
master,25.481462,1697196591
node_1,97.633494,1697196591
node_3,97.888684,1697196591
node_2,96.836438,1697196591
master,24.919774,1697196596
node_1,96.736812,1697196596
node_3,97.126922,1697196596
node_2,96.284898,1697196596
master,24.913726,1697196601
node_3,97.684644,1697196601
node_1,97.588018,1697196601
node_2,96.59369,1697196601
master,25.638878,1697196606
node_1,96.93277,1697196606
node_3,97.278656,1697196606
node_2,96.438942,1697196606
master,25.406864,1697196611
node_3,96.985124,1697196611
node_1,97.834622,1697196611
node_2,96.497094,1697196611
master,25.259028,1697196616
node_1,96.720332,1697196616
node_3,96.119268,1697196616
node_2,95.727174,1697196616
master,25.71589,1697196621
node_3,97.738304,1697196621
node_1,96.93892,1697196621
node_2,96.13543,1697196621
master,25.194214,1697196626
node_3,97.12498,1697196626
node_1,96.985794,1697196626
node_2,96.381498,1697196626
master,25.273922,1697196631
node_3,97.635274,1697196631
