4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1234.35          ---          ---        14.72072         9.59900        93.18300       224.25500        95.09 
Gets        12341.86         4.45     12337.40        14.70306         9.53500        93.18300       222.20700       480.90 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      13576.21         4.45     12337.40        14.70466         9.53500        93.18300       222.20700       575.99 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.175        0.000
SET       3.039        5.000
SET       4.991       10.000
SET       6.495       15.000
SET       7.263       20.000
SET       8.031       25.000
SET       8.383       30.000
SET       8.639       35.000
SET       8.959       40.000
SET       9.151       45.000
SET       9.599       50.000
SET       9.983       52.500
SET      10.623       55.000
SET      11.519       57.500
SET      12.223       60.000
SET      13.119       62.500
SET      14.079       65.000
SET      15.231       67.500
SET      15.999       70.000
SET      16.767       72.500
SET      17.407       75.000
SET      17.919       76.250
SET      18.431       77.500
SET      19.071       78.750
SET      19.711       80.000
SET      20.095       81.250
SET      20.735       82.500
SET      21.119       83.750
SET      21.631       85.000
SET      22.271       86.250
SET      23.295       87.500
SET      23.935       88.125
SET      24.319       88.750
SET      24.831       89.375
SET      25.471       90.000
SET      26.111       90.625
SET      26.879       91.250
SET      27.775       91.875
SET      28.543       92.500
SET      29.311       93.125
SET      30.335       93.750
SET      30.975       94.062
SET      31.615       94.375
SET      32.127       94.688
SET      32.767       95.000
SET      33.535       95.312
SET      34.559       95.625
SET      35.839       95.938
SET      36.863       96.250
SET      38.143       96.562
SET      39.679       96.875
SET      40.703       97.031
SET      41.727       97.188
SET      43.007       97.344
SET      44.543       97.500
SET      46.591       97.656
SET      48.639       97.812
SET      51.199       97.969
SET      54.271       98.125
SET      58.111       98.281
SET      63.487       98.438
SET      66.559       98.516
SET      70.143       98.594
SET      73.727       98.672
SET      77.311       98.750
SET      82.431       98.828
SET      87.551       98.906
SET      92.671       98.984
SET      98.303       99.062
SET     103.935       99.141
SET     110.591       99.219
SET     113.151       99.258
SET     116.223       99.297
SET     119.807       99.336
SET     123.903       99.375
SET     127.999       99.414
SET     132.095       99.453
SET     136.191       99.492
SET     140.287       99.531
SET     146.431       99.570
SET     151.551       99.609
SET     154.623       99.629
SET     157.695       99.648
SET     160.767       99.668
SET     163.839       99.688
SET     166.911       99.707
SET     171.007       99.727
SET     175.103       99.746
SET     179.199       99.766
SET     185.343       99.785
SET     189.439       99.805
SET     192.511       99.814
SET     195.583       99.824
SET     198.655       99.834
SET     202.751       99.844
SET     205.823       99.854
SET     207.871       99.863
SET     211.967       99.873
SET     216.063       99.883
SET     220.159       99.893
SET     225.279       99.902
SET     226.303       99.907
SET     228.351       99.912
SET     231.423       99.917
SET     234.495       99.922
SET     237.567       99.927
SET     239.615       99.932
SET     242.687       99.937
SET     245.759       99.941
SET     248.831       99.946
SET     253.951       99.951
SET     255.999       99.954
SET     257.023       99.956
SET     261.119       99.958
SET     264.191       99.961
SET     266.239       99.963
SET     270.335       99.966
SET     274.431       99.968
SET     278.527       99.971
SET     280.575       99.973
SET     284.671       99.976
SET     288.767       99.977
SET     290.815       99.978
SET     292.863       99.979
SET     294.911       99.980
SET     296.959       99.982
SET     301.055       99.983
SET     301.055       99.984
SET     305.151       99.985
SET     305.151       99.987
SET     309.247       99.988
SET     311.295       99.988
SET     315.391       99.989
SET     317.439       99.990
SET     319.487       99.990
SET     321.535       99.991
SET     321.535       99.991
SET     323.583       99.992
SET     325.631       99.993
SET     325.631       99.993
SET     327.679       99.994
SET     327.679       99.994
SET     327.679       99.995
SET     329.727       99.995
SET     329.727       99.995
SET     329.727       99.995
SET     331.775       99.996
SET     333.823       99.996
SET     333.823       99.996
SET     337.919       99.997
SET     342.015       99.997
SET     344.063       99.997
SET     344.063       99.997
SET     344.063       99.997
SET     348.159       99.998
SET     354.303       99.998
SET     354.303       99.998
SET     354.303       99.998
SET     356.351       99.998
SET     358.399       99.998
SET     358.399       99.998
SET     358.399       99.999
SET     358.399       99.999
SET     370.687       99.999
SET     370.687       99.999
SET     370.687       99.999
SET     370.687       99.999
SET     370.687       99.999
SET     370.687       99.999
SET     370.687       99.999
SET     370.687       99.999
SET     370.687       99.999
SET     370.687       99.999
SET     372.735       99.999
SET     372.735       99.999
SET     372.735       99.999
SET     387.071       99.999
SET     387.071      100.000
SET     387.071      100.000
SET     387.071      100.000
SET     393.215      100.000
SET     393.215      100.000
SET     393.215      100.000
SET     393.215      100.000
SET     393.215      100.000
SET     393.215      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     409.599      100.000
SET     409.599      100.000
---
GET       0.135        0.000
GET       3.039        5.000
GET       4.991       10.000
GET       6.495       15.000
GET       7.263       20.000
GET       8.031       25.000
GET       8.383       30.000
GET       8.639       35.000
GET       8.959       40.000
GET       9.151       45.000
GET       9.535       50.000
