4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1503.78          ---          ---        12.10249         9.08700        66.04700       178.17500       115.85 
Gets        15036.10         3.17     15032.93        12.08334         9.08700        66.55900       178.17500       585.81 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      16539.88         3.17     15032.93        12.08508         9.08700        66.55900       178.17500       701.66 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.191        0.000
SET       2.559        5.000
SET       4.447       10.000
SET       5.855       15.000
SET       7.135       20.000
SET       7.743       25.000
SET       8.383       30.000
SET       8.767       35.000
SET       8.895       40.000
SET       8.959       45.000
SET       9.087       50.000
SET       9.151       52.500
SET       9.279       55.000
SET       9.471       57.500
SET       9.727       60.000
SET       9.855       62.500
SET      10.047       65.000
SET      10.431       67.500
SET      10.943       70.000
SET      11.775       72.500
SET      12.415       75.000
SET      12.991       76.250
SET      13.567       77.500
SET      14.143       78.750
SET      14.911       80.000
SET      15.551       81.250
SET      16.063       82.500
SET      16.767       83.750
SET      17.151       85.000
SET      17.791       86.250
SET      18.559       87.500
SET      19.071       88.125
SET      19.583       88.750
SET      20.095       89.375
SET      20.607       90.000
SET      20.991       90.625
SET      21.375       91.250
SET      21.759       91.875
SET      22.399       92.500
SET      23.295       93.125
SET      24.191       93.750
SET      24.703       94.062
SET      25.215       94.375
SET      25.855       94.688
SET      26.495       95.000
SET      27.263       95.312
SET      28.159       95.625
SET      29.055       95.938
SET      30.079       96.250
SET      31.487       96.562
SET      33.023       96.875
SET      33.791       97.031
SET      34.559       97.188
SET      35.839       97.344
SET      36.863       97.500
SET      38.399       97.656
SET      39.935       97.812
SET      41.727       97.969
SET      44.031       98.125
SET      47.103       98.281
SET      50.175       98.438
SET      51.967       98.516
SET      54.015       98.594
SET      55.807       98.672
SET      58.111       98.750
SET      60.415       98.828
SET      62.975       98.906
SET      65.535       98.984
SET      68.607       99.062
SET      72.703       99.141
SET      76.799       99.219
SET      78.847       99.258
SET      81.407       99.297
SET      84.991       99.336
SET      88.575       99.375
SET      92.159       99.414
SET      95.231       99.453
SET      99.327       99.492
SET     103.423       99.531
SET     108.543       99.570
SET     113.663       99.609
SET     116.223       99.629
SET     119.295       99.648
SET     121.855       99.668
SET     125.439       99.688
SET     128.511       99.707
SET     132.095       99.727
SET     135.167       99.746
SET     139.263       99.766
SET     143.359       99.785
SET     147.455       99.805
SET     149.503       99.814
SET     152.575       99.824
SET     155.647       99.834
SET     157.695       99.844
SET     159.743       99.854
SET     163.839       99.863
SET     166.911       99.873
SET     169.983       99.883
SET     175.103       99.893
SET     179.199       99.902
SET     181.247       99.907
SET     183.295       99.912
SET     186.367       99.917
SET     189.439       99.922
SET     192.511       99.927
SET     196.607       99.932
SET     202.751       99.937
SET     207.871       99.941
SET     214.015       99.946
SET     218.111       99.951
SET     222.207       99.954
SET     225.279       99.956
SET     229.375       99.958
SET     233.471       99.961
SET     237.567       99.963
SET     240.639       99.966
SET     243.711       99.968
SET     248.831       99.971
SET     253.951       99.973
SET     261.119       99.976
SET     264.191       99.977
SET     266.239       99.978
SET     272.383       99.979
SET     276.479       99.980
SET     280.575       99.982
SET     282.623       99.983
SET     290.815       99.984
SET     294.911       99.985
SET     301.055       99.987
SET     303.103       99.988
SET     305.151       99.988
SET     313.343       99.989
SET     317.439       99.990
SET     319.487       99.990
SET     329.727       99.991
SET     329.727       99.991
SET     335.871       99.992
SET     339.967       99.993
SET     344.063       99.993
