hostname,value,timestamp,chart_family
master,1.6,1702203511,nvme0n1
master,1.2,1702203511,ubuntu--vg-ubuntu--lv
node_2,1.2,1702203511,mmcblk0
node_1,0.4,1702203511,mmcblk0
node_3,0,1702203511,mmcblk0
master,1.2,1702203516,nvme0n1
master,1.2,1702203516,ubuntu--vg-ubuntu--lv
node_2,2,1702203516,mmcblk0
node_1,0,1702203516,mmcblk0
node_3,0,1702203516,mmcblk0
master,0.4,1702203521,nvme0n1
master,0.4,1702203521,ubuntu--vg-ubuntu--lv
node_2,0.2,1702203521,mmcblk0
node_1,0,1702203521,mmcblk0
node_3,0.4,1702203521,mmcblk0
master,0.6,1702203526,nvme0n1
master,0.6,1702203526,ubuntu--vg-ubuntu--lv
node_2,0.8,1702203526,mmcblk0
node_1,0.6,1702203526,mmcblk0
node_3,0.6,1702203526,mmcblk0
master,0.4,1702203531,nvme0n1
master,0.4,1702203531,ubuntu--vg-ubuntu--lv
node_2,1.2,1702203531,mmcblk0
node_1,0,1702203531,mmcblk0
node_3,0.2,1702203531,mmcblk0
master,0.8,1702203536,nvme0n1
master,0.8,1702203536,ubuntu--vg-ubuntu--lv
node_2,0,1702203536,mmcblk0
node_1,0,1702203536,mmcblk0
node_3,2,1702203536,mmcblk0
master,0.4,1702203541,nvme0n1
master,0.4,1702203541,ubuntu--vg-ubuntu--lv
node_2,0.6,1702203541,mmcblk0
node_1,0.2,1702203541,mmcblk0
node_3,0.6,1702203541,mmcblk0
master,0.6,1702203546,nvme0n1
master,0.6,1702203546,ubuntu--vg-ubuntu--lv
node_2,1,1702203546,mmcblk0
node_1,0,1702203546,mmcblk0
node_3,0,1702203546,mmcblk0
master,0.8,1702203551,nvme0n1
master,0.8,1702203551,ubuntu--vg-ubuntu--lv
node_2,1.2,1702203551,mmcblk0
node_1,0,1702203551,mmcblk0
node_3,0,1702203551,mmcblk0
master,0.6,1702203556,nvme0n1
master,0.6,1702203556,ubuntu--vg-ubuntu--lv
node_2,0.4,1702203556,mmcblk0
node_1,0,1702203556,mmcblk0
node_3,0,1702203556,mmcblk0
master,0.4,1702203561,nvme0n1
master,0.4,1702203561,ubuntu--vg-ubuntu--lv
node_2,0.4,1702203561,mmcblk0
node_1,0,1702203561,mmcblk0
node_3,0,1702203561,mmcblk0
master,0.6,1702203566,nvme0n1
master,0.6,1702203566,ubuntu--vg-ubuntu--lv
node_2,0.4,1702203566,mmcblk0
node_1,0.6,1702203566,mmcblk0
node_3,1.4,1702203566,mmcblk0
master,1,1702203571,nvme0n1
master,1,1702203571,ubuntu--vg-ubuntu--lv
node_2,1.6,1702203571,mmcblk0
node_1,0,1702203571,mmcblk0
node_3,0.4,1702203571,mmcblk0
master,0.8,1702203576,nvme0n1
master,0.8,1702203576,ubuntu--vg-ubuntu--lv
node_2,0.8,1702203576,mmcblk0
node_1,0,1702203576,mmcblk0
node_3,0,1702203576,mmcblk0
