hostname,value,timestamp,id,name
master,593.3922222,1702203511,InOctets,received
master,-1682.221026,1702203511,OutOctets,sent
node_2,10.8658106,1702203511,InOctets,received
node_2,-1394.4754741,1702203511,OutOctets,sent
node_1,3.2294329,1702203511,InOctets,received
node_1,-900.1776316,1702203511,OutOctets,sent
node_3,7.4325658,1702203511,InOctets,received
node_3,-979.50136,1702203511,OutOctets,sent
master,63.8915904,1702203516,InOctets,received
master,-1628.5195196,1702203516,OutOctets,sent
node_2,5.4144,1702203516,InOctets,received
node_2,-1395.4447008,1702203516,OutOctets,sent
node_1,7.439446,1702203516,InOctets,received
node_1,-900.9296512,1702203516,OutOctets,sent
node_3,5.8698344,1702203516,InOctets,received
node_3,-977.881038,1702203516,OutOctets,sent
master,10.444527,1702203521,InOctets,received
master,-1633.2434283,1702203521,OutOctets,sent
node_2,12.5982008,1702203521,InOctets,received
node_2,-1396.6718491,1702203521,OutOctets,sent
node_1,12.5125542,1702203521,InOctets,received
node_1,-903.889841,1702203521,OutOctets,sent
node_3,10.6965,1702203521,InOctets,received
node_3,-981.444,1702203521,OutOctets,sent
master,17.87485,1702203526,InOctets,received
master,-1637.2845384,1702203526,OutOctets,sent
node_2,5.1073986,1702203526,InOctets,received
node_2,-1394.7217579,1702203526,OutOctets,sent
node_1,5.7483918,1702203526,InOctets,received
node_1,-899.8744053,1702203526,OutOctets,sent
node_3,5.7499002,1702203526,InOctets,received
node_3,-977.917556,1702203526,OutOctets,sent
master,10.0617274,1702203531,InOctets,received
master,-1633.4960512,1702203531,OutOctets,sent
node_2,9.486195,1702203531,InOctets,received
node_2,-1394.1662373,1702203531,OutOctets,sent
node_1,6.8541658,1702203531,InOctets,received
node_1,-901.4977526,1702203531,OutOctets,sent
node_3,10.201292,1702203531,InOctets,received
node_3,-979.7223612,1702203531,OutOctets,sent
master,10.0362266,1702203536,InOctets,received
master,-1625.5776312,1702203536,OutOctets,sent
node_2,8.4864205,1702203536,InOctets,received
node_2,-1397.5665975,1702203536,OutOctets,sent
node_1,9.2166774,1702203536,InOctets,received
node_1,-902.967573,1702203536,OutOctets,sent
node_3,8.7395082,1702203536,InOctets,received
node_3,-980.205712,1702203536,OutOctets,sent
master,17.7326058,1702203541,InOctets,received
master,-1640.757654,1702203541,OutOctets,sent
node_2,9.0289843,1702203541,InOctets,received
node_2,-1393.7586199,1702203541,OutOctets,sent
node_1,6.7903646,1702203541,InOctets,received
node_1,-901.319401,1702203541,OutOctets,sent
node_3,7.4753532,1702203541,InOctets,received
node_3,-979.0675149,1702203541,OutOctets,sent
master,9.6698032,1702203546,InOctets,received
master,-1626.2489202,1702203546,OutOctets,sent
node_2,5.7216274,1702203546,InOctets,received
node_2,-1395.3055076,1702203546,OutOctets,sent
node_1,5.836868,1702203546,InOctets,received
node_1,-900.0736048,1702203546,OutOctets,sent
node_3,5.7106017,1702203546,InOctets,received
node_3,-977.6435367,1702203546,OutOctets,sent
master,9.4551934,1702203551,InOctets,received
master,-1630.1135212,1702203551,OutOctets,sent
node_2,13.7293843,1702203551,InOctets,received
node_2,-1397.0719489,1702203551,OutOctets,sent
node_1,9.9135322,1702203551,InOctets,received
node_1,-903.849684,1702203551,OutOctets,sent
node_3,10.6466477,1702203551,InOctets,received
node_3,-981.5585762,1702203551,OutOctets,sent
master,18.1580344,1702203556,InOctets,received
master,-1636.279816,1702203556,OutOctets,sent
node_2,5.1057899,1702203556,InOctets,received
node_2,-1394.7907413,1702203556,OutOctets,sent
node_1,2.5392,1702203556,InOctets,received
node_1,-899.576,1702203556,OutOctets,sent
node_3,5.8009982,1702203556,InOctets,received
node_3,-978.0646295,1702203556,OutOctets,sent
master,10.0000138,1702203561,InOctets,received
master,-1630.7624519,1702203561,OutOctets,sent
node_2,9.6574224,1702203561,InOctets,received
node_2,-1394.6045794,1702203561,OutOctets,sent
node_1,10.2569585,1702203561,InOctets,received
node_1,-902.1226917,1702203561,OutOctets,sent
node_3,4.1230918,1702203561,InOctets,received
node_3,-979.1045778,1702203561,OutOctets,sent
master,9.7113698,1702203566,InOctets,received
master,-1626.2282799,1702203566,OutOctets,sent
node_2,9.1615453,1702203566,InOctets,received
node_2,-1397.9839637,1702203566,OutOctets,sent
node_1,6.0054407,1702203566,InOctets,received
node_1,-902.4071473,1702203566,OutOctets,sent
node_3,13.2321086,1702203566,InOctets,received
node_3,-981.7657201,1702203566,OutOctets,sent
master,18.9342568,1702203571,InOctets,received
master,-1641.278546,1702203571,OutOctets,sent
node_2,10.2578318,1702203571,InOctets,received
node_2,-1394.2851238,1702203571,OutOctets,sent
node_1,10.236799,1702203571,InOctets,received
node_1,-901.7504,1702203571,OutOctets,sent
node_3,3.5466223,1702203571,InOctets,received
node_3,-978.1305595,1702203571,OutOctets,sent
master,10.2814092,1702203576,InOctets,received
master,-1626.5128646,1702203576,OutOctets,sent
node_2,5.24763,1702203576,InOctets,received
node_2,-1395.354612,1702203576,OutOctets,sent
node_1,3.0232637,1702203576,InOctets,received
node_1,-899.7859633,1702203576,OutOctets,sent
node_3,9.7925784,1702203576,InOctets,received
node_3,-978.8390608,1702203576,OutOctets,sent
master,9.901494,1702203581,InOctets,received
master,-1629.8801839,1702203581,OutOctets,sent
node_2,12.657754,1702203581,InOctets,received
node_2,-1396.7636627,1702203581,OutOctets,sent
node_1,13.911136,1702203581,InOctets,received
node_1,-904.447696,1702203581,OutOctets,sent
node_3,6.7180678,1702203581,InOctets,received
node_3,-980.531,1702203581,OutOctets,sent
master,19.369755,1702203586,InOctets,received
master,-1637.877598,1702203586,OutOctets,sent
node_2,5.3106151,1702203586,InOctets,received
node_2,-1394.8850581,1702203586,OutOctets,sent
node_1,3.3056,1702203586,InOctets,received
node_1,-900.0990843,1702203586,OutOctets,sent
node_3,9.3571325,1702203586,InOctets,received
node_3,-978.7251982,1702203586,OutOctets,sent
master,8.0892911,1702203591,InOctets,received
master,-1628.9546249,1702203591,OutOctets,sent
node_2,9.2926252,1702203591,InOctets,received
node_2,-1393.8990202,1702203591,OutOctets,sent
node_1,9.9509162,1702203591,InOctets,received
node_1,-901.736214,1702203591,OutOctets,sent
node_3,4.2057099,1702203591,InOctets,received
node_3,-978.6637002,1702203591,OutOctets,sent
master,8.9400624,1702203596,InOctets,received
master,-1627.1085116,1702203596,OutOctets,sent
node_2,8.4737772,1702203596,InOctets,received
node_2,-1397.7555218,1702203596,OutOctets,sent
node_1,5.9834836,1702203596,InOctets,received
node_1,-902.7278386,1702203596,OutOctets,sent
node_3,12.4283688,1702203596,InOctets,received
node_3,-981.1542483,1702203596,OutOctets,sent
master,18.7640214,1702203601,InOctets,received
master,-1641.122362,1702203601,OutOctets,sent
node_2,9.2976004,1702203601,InOctets,received
node_2,-1393.89596,1702203601,OutOctets,sent
node_1,9.5488,1702203601,InOctets,received
node_1,-901.6240222,1702203601,OutOctets,sent
node_3,4.180223,1702203601,InOctets,received
node_3,-978.3019828,1702203601,OutOctets,sent
master,8.707455,1702203606,InOctets,received
master,-1627.2107624,1702203606,OutOctets,sent
node_2,5.463607,1702203606,InOctets,received
node_2,-1395.2136288,1702203606,OutOctets,sent
node_1,2.7632062,1702203606,InOctets,received
node_1,-899.9310454,1702203606,OutOctets,sent
node_3,9.1488974,1702203606,InOctets,received
node_3,-978.1841662,1702203606,OutOctets,sent
master,9.247156,1702203611,InOctets,received
master,-1628.9694956,1702203611,OutOctets,sent
node_2,12.6547925,1702203611,InOctets,received
node_2,-1396.6229894,1702203611,OutOctets,sent
node_1,13.3455944,1702203611,InOctets,received
node_1,-904.24966,1702203611,OutOctets,sent
node_3,7.0120302,1702203611,InOctets,received
node_3,-980.9598,1702203611,OutOctets,sent
master,18.28994,1702203616,InOctets,received
master,-1637.961022,1702203616,OutOctets,sent
node_2,5.3888,1702203616,InOctets,received
node_2,-1394.9552602,1702203616,OutOctets,sent
node_1,2.2224,1702203616,InOctets,received
node_1,-899.6816,1702203616,OutOctets,sent
node_3,9.7047692,1702203616,InOctets,received
node_3,-978.8208794,1702203616,OutOctets,sent
master,6.6895056,1702203621,InOctets,received
master,-1623.9259497,1702203621,OutOctets,sent
node_2,9.2733873,1702203621,InOctets,received
node_2,-1393.8991281,1702203621,OutOctets,sent
node_1,9.5801575,1702203621,InOctets,received
node_1,-901.3049575,1702203621,OutOctets,sent
node_3,3.4753444,1702203621,InOctets,received
node_3,-977.919,1702203621,OutOctets,sent
master,7.6260118,1702203626,InOctets,received
master,-1629.8900696,1702203626,OutOctets,sent
node_2,8.3778114,1702203626,InOctets,received
node_2,-1397.496166,1702203626,OutOctets,sent
node_1,5.8038425,1702203626,InOctets,received
node_1,-902.3397623,1702203626,OutOctets,sent
node_3,12.5729192,1702203626,InOctets,received
node_3,-981.3274988,1702203626,OutOctets,sent
master,17.7290758,1702203631,InOctets,received
master,-1636.214266,1702203631,OutOctets,sent
node_2,10.9423997,1702203631,InOctets,received
node_2,-1393.9344102,1702203631,OutOctets,sent
node_1,9.8992,1702203631,InOctets,received
node_1,-901.5200001,1702203631,OutOctets,sent
node_3,3.0765365,1702203631,InOctets,received
node_3,-977.7294675,1702203631,OutOctets,sent
master,9.15761,1702203636,InOctets,received
master,-1631.0013816,1702203636,OutOctets,sent
node_2,6.105308,1702203636,InOctets,received
