hostname,value,timestamp
master,97.244736,1702210866
node_3,91.153338,1702210866
node_2,91.300648,1702210866
node_1,92.341078,1702210866
master,98.31852,1702210871
node_3,96.793072,1702210871
node_2,96.114218,1702210871
node_1,96.070634,1702210871
master,99.363034,1702210876
node_3,90.826256,1702210876
node_2,91.359892,1702210876
node_1,92.204552,1702210876
master,97.911702,1702210881
node_3,97.044202,1702210881
node_2,96.46855,1702210881
node_1,96.08581,1702210881
master,99.563492,1702210886
node_3,91.174008,1702210886
node_2,90.85894,1702210886
node_1,92.170962,1702210886
master,98.258528,1702210891
node_3,96.232482,1702210891
node_2,95.97699,1702210891
node_1,96.232524,1702210891
master,99.614052,1702210896
node_3,90.611038,1702210896
node_2,91.000746,1702210896
node_1,91.824772,1702210896
master,98.383734,1702210901
node_3,96.641278,1702210901
node_2,95.868536,1702210901
node_1,95.73479,1702210901
master,99.56349,1702210906
node_3,90.835802,1702210906
node_2,91.588198,1702210906
node_1,92.141606,1702210906
master,98.269572,1702210911
node_3,96.942286,1702210911
node_2,96.324884,1702210911
node_1,96.33016,1702210911
master,99.496516,1702210916
node_3,90.91044,1702210916
node_2,90.892624,1702210916
node_1,91.74445,1702210916
master,98.545104,1702210921
node_3,95.996236,1702210921
node_2,95.496652,1702210921
node_1,96.080006,1702210921
master,99.63052,1702210926
node_3,90.938176,1702210926
node_2,91.27365,1702210926
node_1,92.24661,1702210926
master,98.33863,1702210931
node_3,96.938926,1702210931
node_2,96.063,1702210931
node_1,95.936862,1702210931
master,99.51334,1702210936
node_3,91.233016,1702210936
node_2,90.944376,1702210936
node_1,91.971868,1702210936
master,98.209946,1702210941
node_3,96.745214,1702210941
node_2,96.268182,1702210941
node_1,96.087698,1702210941
master,99.6136,1702210946
node_3,90.930514,1702210946
node_2,91.097858,1702210946
node_1,92.77195,1702210946
master,98.1332,1702210951
node_3,96.889936,1702210951
node_2,96.261798,1702210951
node_1,96.082284,1702210951
master,99.546824,1702210956
node_3,90.454242,1702210956
node_2,91.176198,1702210956
node_1,91.73163,1702210956
master,98.208934,1702210961
node_3,96.43574,1702210961
node_2,95.661602,1702210961
node_1,95.881346,1702210961
master,99.613672,1702210966
node_3,91.046874,1702210966
node_2,90.955204,1702210966
node_1,92.363194,1702210966
master,98.49511,1702210971
node_3,96.501462,1702210971
node_2,95.880888,1702210971
node_1,95.974828,1702210971
master,99.463748,1702210976
node_3,91.458772,1702210976
node_2,90.752958,1702210976
node_1,91.606008,1702210976
master,98.239268,1702210981
node_3,95.689826,1702210981
node_2,95.655654,1702210981
node_1,96.4702,1702210981
master,99.630478,1702210986
node_3,91.027814,1702210986
node_2,90.691542,1702210986
node_1,91.799886,1702210986
master,98.382528,1702210991
node_3,95.741574,1702210991
node_2,95.769086,1702210991
node_1,96.075208,1702210991
master,99.547078,1702210996
node_3,91.391452,1702210996
node_2,91.233524,1702210996
node_1,92.324014,1702210996
master,98.033766,1702211001
node_3,96.294724,1702211001
node_2,96.068218,1702211001
node_1,96.127102,1702211001
master,99.63035,1702211006
node_3,91.64321,1702211006
node_2,91.230196,1702211006
node_1,92.30306,1702211006
master,98.126424,1702211011
node_3,96.339198,1702211011
node_2,95.61121,1702211011
node_1,96.182414,1702211011
master,99.54698,1702211016
node_3,91.384304,1702211016
node_2,90.771674,1702211016
node_1,91.942124,1702211016
master,98.161406,1702211021
node_3,95.934034,1702211021
node_2,95.916008,1702211021
node_1,95.932388,1702211021
master,97.078658,1702211026
node_3,89.172816,1702211026
node_2,88.951538,1702211026
node_1,90.219654,1702211026
master,67.754882,1702211031
node_3,37.435379,1702211031
node_2,40.948191,1702211031
node_1,35.2510348,1702211031
master,0,1702211036
node_3,7.429372,1702211036
node_2,6.3627042,1702211036
node_1,7.1487732,1702211036
master,0.0166528,1702211041
node_3,6.1942138,1702211041
node_2,8.2094682,1702211041
node_1,7.6245858,1702211041
master,0,1702211046
node_3,7.5364844,1702211046
node_2,6.7674908,1702211046
node_1,5.869396,1702211046
master,0,1702211051
node_3,6.5353858,1702211051
node_2,5.5806962,1702211051
node_1,7.747149,1702211051
master,0.0165837,1702211056
node_3,5.3102889,1702211056
node_2,7.8336578,1702211056
node_1,6.6218992,1702211056
master,0,1702211061
node_3,6.4239195,1702211061
node_2,6.3546256,1702211061
node_1,9.751746,1702211061
master,0,1702211066
node_3,6.2361554,1702211066
node_2,6.9313008,1702211066
node_1,5.540246,1702211066
master,0,1702211071
node_3,6.744142,1702211071
node_2,8.226272,1702211071
node_1,6.9201928,1702211071
master,0,1702211076
node_3,6.9021888,1702211076
node_2,5.9248272,1702211076
node_1,6.3737666,1702211076
master,0.0166528,1702211081
node_3,7.8020084,1702211081
node_2,9.1676002,1702211081
node_1,9.1784698,1702211081
master,0,1702211086
node_3,6.9180106,1702211086
node_2,6.5768824,1702211086
node_1,7.0573712,1702211086
master,0.0166667,1702211091
node_3,6.6343052,1702211091
node_2,7.0202572,1702211091
node_1,8.9527646,1702211091
master,0.0666945,1702211096
