4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          967.27          ---          ---        18.73131        11.90300       151.55100       339.96700        74.51 
Gets         9671.07         3.67      9667.40        18.75477        11.90300       152.57500       337.91900       376.84 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      10638.34         3.67      9667.40        18.75264        11.90300       152.57500       337.91900       451.36 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.199        0.000
SET       2.767        5.000
SET       4.735       10.000
SET       6.495       15.000
SET       7.615       20.000
SET       8.447       25.000
SET       8.831       30.000
SET       9.023       35.000
SET       9.279       40.000
SET      10.047       45.000
SET      11.903       50.000
SET      12.671       52.500
SET      13.567       55.000
SET      14.655       57.500
SET      15.615       60.000
SET      16.319       62.500
SET      17.023       65.000
SET      17.791       67.500
SET      18.943       70.000
SET      20.095       72.500
SET      20.991       75.000
SET      21.375       76.250
SET      22.015       77.500
SET      22.783       78.750
SET      23.679       80.000
SET      24.575       81.250
SET      25.471       82.500
SET      26.623       83.750
SET      27.775       85.000
SET      28.927       86.250
SET      29.823       87.500
SET      30.591       88.125
SET      31.231       88.750
SET      32.127       89.375
SET      33.023       90.000
SET      33.791       90.625
SET      35.071       91.250
SET      36.351       91.875
SET      37.631       92.500
SET      38.911       93.125
SET      40.447       93.750
SET      41.471       94.062
SET      42.495       94.375
SET      43.775       94.688
SET      45.055       95.000
SET      46.591       95.312
SET      48.383       95.625
SET      50.431       95.938
SET      52.735       96.250
SET      55.551       96.562
SET      59.135       96.875
SET      60.927       97.031
SET      63.487       97.188
SET      66.559       97.344
SET      70.143       97.500
SET      74.239       97.656
SET      79.359       97.812
SET      84.479       97.969
SET      91.647       98.125
SET     100.351       98.281
SET     110.079       98.438
SET     114.175       98.516
SET     119.807       98.594
SET     124.927       98.672
SET     130.559       98.750
SET     137.215       98.828
SET     143.359       98.906
SET     150.527       98.984
SET     157.695       99.062
SET     164.863       99.141
SET     174.079       99.219
SET     179.199       99.258
SET     184.319       99.297
SET     189.439       99.336
SET     195.583       99.375
SET     200.703       99.414
SET     206.847       99.453
SET     212.991       99.492
SET     220.159       99.531
SET     226.303       99.570
SET     233.471       99.609
SET     237.567       99.629
SET     241.663       99.648
SET     246.783       99.668
SET     251.903       99.688
SET     255.999       99.707
SET     261.119       99.727
SET     268.287       99.746
SET     274.431       99.766
SET     280.575       99.785
SET     288.767       99.805
SET     292.863       99.814
SET     296.959       99.824
SET     303.103       99.834
SET     307.199       99.844
SET     311.295       99.854
SET     315.391       99.863
SET     321.535       99.873
SET     327.679       99.883
SET     335.871       99.893
SET     342.015       99.902
SET     346.111       99.907
SET     350.207       99.912
SET     352.255       99.917
SET     358.399       99.922
SET     360.447       99.927
SET     364.543       99.932
SET     372.735       99.937
SET     378.879       99.941
SET     385.023       99.946
SET     391.167       99.951
SET     395.263       99.954
SET     399.359       99.956
SET     401.407       99.958
SET     405.503       99.961
SET     407.551       99.963
SET     411.647       99.966
SET     413.695       99.968
SET     417.791       99.971
SET     425.983       99.973
SET     430.079       99.976
SET     430.079       99.977
SET     432.127       99.978
SET     438.271       99.979
SET     442.367       99.980
SET     446.463       99.982
SET     448.511       99.983
SET     452.607       99.984
SET     456.703       99.985
SET     464.895       99.987
SET     468.991       99.988
SET     471.039       99.988
SET     473.087       99.989
SET     475.135       99.990
SET     475.135       99.990
SET     477.183       99.991
SET     479.231       99.991
SET     481.279       99.992
SET     485.375       99.993
SET     485.375       99.993
SET     491.519       99.994
SET     497.663       99.994
SET     503.807       99.995
SET     503.807       99.995
SET     509.951       99.995
SET     511.999       99.995
SET     516.095       99.996
SET     518.143       99.996
SET     524.287       99.996
SET     524.287       99.997
SET     536.575       99.997
SET     536.575       99.997
SET     536.575       99.997
SET     536.575       99.997
SET     536.575       99.998
SET     540.671       99.998
SET     544.767       99.998
SET     548.863       99.998
SET     569.343       99.998
SET     573.439       99.998
SET     585.727       99.998
SET     585.727       99.999
SET     589.823       99.999
SET     589.823       99.999
SET     589.823       99.999
SET     598.015       99.999
SET     598.015       99.999
SET     598.015       99.999
SET     598.015       99.999
SET     598.015       99.999
SET     598.015       99.999
SET     598.015       99.999
SET     602.111       99.999
SET     602.111       99.999
SET     602.111       99.999
SET     602.111       99.999
SET     602.111       99.999
SET     606.207      100.000
SET     606.207      100.000
SET     606.207      100.000
SET     606.207      100.000
SET     606.207      100.000
SET     618.495      100.000
SET     618.495      100.000
SET     618.495      100.000
SET     618.495      100.000
SET     618.495      100.000
SET     618.495      100.000
SET     618.495      100.000
SET     618.495      100.000
SET     618.495      100.000
SET     618.495      100.000
SET     655.359      100.000
SET     655.359      100.000
---
GET       0.167        0.000
GET       2.783        5.000
GET       4.735       10.000
GET       6.495       15.000
GET       7.615       20.000
GET       8.447       25.000
GET       8.831       30.000
GET       9.023       35.000
GET       9.279       40.000
GET      10.047       45.000
GET      11.903       50.000
GET      12.671       52.500
GET      13.567       55.000
GET      14.655       57.500
GET      15.615       60.000
GET      16.319       62.500
GET      17.023       65.000
