4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          671.48          ---          ---        26.99603        18.04700       224.25500       471.03900        51.72 
Gets         6713.07        20.33      6692.74        27.02606        18.04700       228.35100       462.84700       262.16 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       7384.55        20.33      6692.74        27.02333        18.04700       228.35100       462.84700       313.88 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.199        0.000
SET       4.479        5.000
SET       7.167       10.000
SET       8.319       15.000
SET       9.535       20.000
SET      11.327       25.000
SET      13.759       30.000
SET      15.423       35.000
SET      16.767       40.000
SET      17.791       45.000
SET      18.047       50.000
SET      18.175       52.500
SET      18.303       55.000
SET      18.431       57.500
SET      18.815       60.000
SET      19.327       62.500
SET      19.967       65.000
SET      21.247       67.500
SET      22.911       70.000
SET      25.471       72.500
SET      28.543       75.000
SET      30.207       76.250
SET      31.615       77.500
SET      33.023       78.750
SET      34.303       80.000
SET      35.071       81.250
SET      36.095       82.500
SET      37.119       83.750
SET      38.399       85.000
SET      39.423       86.250
SET      40.959       87.500
SET      41.983       88.125
SET      43.007       88.750
SET      44.287       89.375
SET      46.335       90.000
SET      48.383       90.625
SET      50.687       91.250
SET      53.247       91.875
SET      55.807       92.500
SET      58.111       93.125
SET      60.927       93.750
SET      62.719       94.062
SET      64.511       94.375
SET      67.071       94.688
SET      69.631       95.000
SET      73.215       95.312
SET      76.799       95.625
SET      80.383       95.938
SET      84.479       96.250
SET      90.111       96.562
SET      97.279       96.875
SET     102.911       97.031
SET     109.055       97.188
SET     114.687       97.344
SET     121.855       97.500
SET     129.023       97.656
SET     137.215       97.812
SET     145.407       97.969
SET     153.599       98.125
SET     162.815       98.281
SET     173.055       98.438
SET     178.175       98.516
SET     184.319       98.594
SET     190.463       98.672
SET     197.631       98.750
SET     204.799       98.828
SET     212.991       98.906
SET     222.207       98.984
SET     232.447       99.062
SET     242.687       99.141
SET     251.903       99.219
SET     255.999       99.258
SET     262.143       99.297
SET     270.335       99.336
SET     278.527       99.375
SET     284.671       99.414
SET     290.815       99.453
SET     299.007       99.492
SET     307.199       99.531
SET     319.487       99.570
SET     327.679       99.609
SET     333.823       99.629
SET     337.919       99.648
SET     344.063       99.668
SET     348.159       99.688
SET     356.351       99.707
SET     362.495       99.727
SET     370.687       99.746
SET     380.927       99.766
SET     391.167       99.785
SET     403.455       99.805
SET     409.599       99.814
SET     413.695       99.824
SET     419.839       99.834
SET     425.983       99.844
SET     432.127       99.854
SET     440.319       99.863
SET     446.463       99.873
SET     454.655       99.883
SET     464.895       99.893
SET     471.039       99.902
SET     475.135       99.907
SET     479.231       99.912
SET     481.279       99.917
SET     487.423       99.922
SET     493.567       99.927
SET     497.663       99.932
SET     503.807       99.937
SET     514.047       99.941
SET     520.191       99.946
SET     532.479       99.951
SET     536.575       99.954
SET     536.575       99.956
SET     540.671       99.958
SET     540.671       99.961
SET     548.863       99.963
SET     552.959       99.966
SET     557.055       99.968
SET     565.247       99.971
SET     569.343       99.973
SET     581.631       99.976
SET     585.727       99.977
SET     585.727       99.978
SET     589.823       99.979
SET     593.919       99.980
SET     598.015       99.982
SET     602.111       99.983
SET     606.207       99.984
SET     606.207       99.985
SET     606.207       99.987
SET     614.399       99.988
SET     614.399       99.988
SET     618.495       99.989
SET     622.591       99.990
SET     626.687       99.990
SET     626.687       99.991
SET     626.687       99.991
SET     630.783       99.992
SET     630.783       99.993
SET     634.879       99.993
SET     638.975       99.994
SET     643.071       99.994
SET     647.167       99.995
SET     651.263       99.995
SET     663.551       99.995
SET     663.551       99.995
SET     667.647       99.996
SET     679.935       99.996
SET     688.127       99.996
SET     692.223       99.997
SET     692.223       99.997
SET     692.223       99.997
SET     692.223       99.997
SET     692.223       99.997
SET     696.319       99.998
SET     696.319       99.998
SET     700.415       99.998
SET     712.703       99.998
SET     712.703       99.998
SET     720.895       99.998
SET     720.895       99.998
SET     741.375       99.999
SET     741.375       99.999
SET     741.375       99.999
SET     741.375       99.999
SET     741.375       99.999
SET     741.375       99.999
SET     749.567       99.999
SET     749.567       99.999
SET     749.567       99.999
SET     749.567       99.999
SET     790.527       99.999
SET     790.527       99.999
SET     790.527       99.999
SET     790.527       99.999
SET     790.527       99.999
SET     790.527       99.999
SET     831.487      100.000
SET     831.487      100.000
SET     831.487      100.000
SET     831.487      100.000
SET     831.487      100.000
SET     831.487      100.000
SET     831.487      100.000
SET     831.487      100.000
SET     831.487      100.000
SET     831.487      100.000
SET     839.679      100.000
SET     839.679      100.000
---
GET       0.159        0.000
GET       4.479        5.000
GET       7.167       10.000
GET       8.319       15.000
GET       9.535       20.000
GET      11.327       25.000
GET      13.759       30.000
GET      15.423       35.000
GET      16.767       40.000
GET      17.791       45.000
GET      18.047       50.000
GET      18.175       52.500
GET      18.303       55.000
GET      18.431       57.500
GET      18.687       60.000
GET      19.327       62.500
GET      19.967       65.000
GET      21.247       67.500
GET      22.911       70.000
GET      25.471       72.500
GET      28.415       75.000
GET      30.079       76.250
