4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1362.94          ---          ---        13.29981         9.08700        76.79900       202.75100       105.00 
Gets        13627.72        40.67     13587.05        13.32314         9.08700        77.31100       204.79900       532.19 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      14990.65        40.67     13587.05        13.32102         9.08700        77.31100       204.79900       637.18 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.167        0.000
SET       3.071        5.000
SET       4.767       10.000
SET       6.207       15.000
SET       7.071       20.000
SET       7.679       25.000
SET       8.319       30.000
SET       8.639       35.000
SET       8.831       40.000
SET       8.959       45.000
SET       9.087       50.000
SET       9.151       52.500
SET       9.471       55.000
SET       9.727       57.500
SET      10.047       60.000
SET      10.623       62.500
SET      11.455       65.000
SET      12.287       67.500
SET      13.311       70.000
SET      14.463       72.500
SET      15.551       75.000
SET      16.063       76.250
SET      16.511       77.500
SET      16.895       78.750
SET      17.151       80.000
SET      17.663       81.250
SET      18.303       82.500
SET      19.199       83.750
SET      19.967       85.000
SET      20.607       86.250
SET      21.119       87.500
SET      21.375       88.125
SET      21.759       88.750
SET      22.143       89.375
SET      22.783       90.000
SET      23.551       90.625
SET      24.319       91.250
SET      25.087       91.875
SET      25.855       92.500
SET      26.879       93.125
SET      28.031       93.750
SET      28.543       94.062
SET      29.055       94.375
SET      29.695       94.688
SET      30.335       95.000
SET      30.975       95.312
SET      31.871       95.625
SET      32.639       95.938
SET      33.535       96.250
SET      34.815       96.562
SET      36.607       96.875
SET      37.375       97.031
SET      38.143       97.188
SET      39.167       97.344
SET      40.191       97.500
SET      41.471       97.656
SET      43.263       97.812
SET      45.311       97.969
SET      47.615       98.125
SET      50.431       98.281
SET      54.015       98.438
SET      55.807       98.516
SET      58.111       98.594
SET      60.927       98.672
SET      64.255       98.750
SET      67.071       98.828
SET      71.167       98.906
SET      75.775       98.984
SET      81.407       99.062
SET      87.551       99.141
SET      93.183       99.219
SET      96.255       99.258
SET      99.839       99.297
SET     103.935       99.336
SET     107.519       99.375
SET     111.615       99.414
SET     115.711       99.453
SET     120.319       99.492
SET     124.415       99.531
SET     128.511       99.570
SET     133.119       99.609
SET     136.191       99.629
SET     139.263       99.648
SET     141.311       99.668
SET     144.383       99.688
SET     147.455       99.707
SET     151.551       99.727
SET     155.647       99.746
SET     159.743       99.766
SET     164.863       99.785
SET     168.959       99.805
SET     172.031       99.814
SET     175.103       99.824
SET     178.175       99.834
SET     181.247       99.844
SET     183.295       99.854
SET     187.391       99.863
SET     191.487       99.873
SET     195.583       99.883
SET     200.703       99.893
SET     203.775       99.902
SET     206.847       99.907
SET     207.871       99.912
SET     209.919       99.917
SET     211.967       99.922
SET     215.039       99.927
SET     218.111       99.932
SET     221.183       99.937
SET     224.255       99.941
SET     227.327       99.946
SET     230.399       99.951
SET     233.471       99.954
SET     235.519       99.956
SET     237.567       99.958
SET     240.639       99.961
SET     242.687       99.963
SET     244.735       99.966
SET     247.807       99.968
SET     251.903       99.971
SET     255.999       99.973
SET     260.095       99.976
SET     264.191       99.977
SET     266.239       99.978
SET     268.287       99.979
SET     268.287       99.980
SET     272.383       99.982
SET     274.431       99.983
SET     278.527       99.984
SET     280.575       99.985
SET     284.671       99.987
SET     288.767       99.988
SET     290.815       99.988
SET     292.863       99.989
SET     296.959       99.990
SET     299.007       99.990
SET     301.055       99.991
SET     303.103       99.991
SET     305.151       99.992
SET     307.199       99.993
SET     311.295       99.993
SET     319.487       99.994
SET     319.487       99.994
SET     321.535       99.995
SET     323.583       99.995
SET     327.679       99.995
SET     333.823       99.995
SET     335.871       99.996
SET     335.871       99.996
SET     346.111       99.996
SET     348.159       99.997
SET     348.159       99.997
SET     350.207       99.997
SET     350.207       99.997
SET     352.255       99.997
SET     354.303       99.998
SET     354.303       99.998
SET     356.351       99.998
SET     358.399       99.998
SET     358.399       99.998
SET     358.399       99.998
SET     358.399       99.998
SET     372.735       99.999
SET     372.735       99.999
SET     376.831       99.999
SET     376.831       99.999
SET     376.831       99.999
SET     378.879       99.999
SET     378.879       99.999
SET     389.119       99.999
SET     391.167       99.999
SET     391.167       99.999
SET     399.359       99.999
SET     399.359       99.999
SET     399.359       99.999
SET     403.455       99.999
SET     403.455       99.999
SET     403.455       99.999
SET     403.455      100.000
SET     405.503      100.000
SET     405.503      100.000
SET     405.503      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     407.551      100.000
SET     409.599      100.000
SET     409.599      100.000
---
GET       0.135        0.000
GET       3.087        5.000
GET       4.767       10.000
GET       6.207       15.000
GET       7.071       20.000
GET       7.679       25.000
GET       8.319       30.000
GET       8.639       35.000
GET       8.831       40.000
GET       8.959       45.000
GET       9.087       50.000
GET       9.151       52.500
GET       9.471       55.000
GET       9.727       57.500
GET      10.047       60.000
GET      10.623       62.500
GET      11.455       65.000
GET      12.351       67.500
GET      13.311       70.000
GET      14.463       72.500
GET      15.551       75.000
GET      16.063       76.250
GET      16.511       77.500
GET      16.895       78.750
GET      17.151       80.000
GET      17.663       81.250
GET      18.303       82.500
GET      19.199       83.750
GET      19.967       85.000
GET      20.607       86.250
GET      21.119       87.500
GET      21.375       88.125
GET      21.759       88.750
GET      22.143       89.375
GET      22.783       90.000
GET      23.551       90.625
GET      24.319       91.250
GET      25.087       91.875
GET      25.855       92.500
GET      26.879       93.125
GET      28.031       93.750
GET      28.671       94.062
GET      29.183       94.375
GET      29.695       94.688
GET      30.335       95.000
GET      30.975       95.312
GET      31.871       95.625
GET      32.767       95.938
GET      33.535       96.250
GET      34.815       96.562
GET      36.607       96.875
GET      37.375       97.031
GET      38.143       97.188
GET      39.167       97.344
GET      40.191       97.500
GET      41.471       97.656
GET      43.263       97.812
GET      45.311       97.969
GET      47.871       98.125
GET      50.943       98.281
GET      54.271       98.438
GET      56.319       98.516
GET      58.879       98.594
GET      61.695       98.672
GET      65.023       98.750
GET      68.095       98.828
GET      72.191       98.906
GET      76.287       98.984
GET      81.919       99.062
GET      88.063       99.141
GET      94.207       99.219
GET      97.279       99.258
GET     100.351       99.297
GET     104.447       99.336
