time="2024-03-04T15:45:45.595" level=info msg="Starting kbench..."
time="2024-03-04T15:45:45.603" level=info msg="Created a new Pod manager."
time="2024-03-04T15:45:45.609" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-03-04T15:45:45.609" level=info msg="Performing pod actions in operation 0"
time="2024-03-04T15:45:45.609" level=info msg="Waiting all threads to finish on the current operation"
time="2024-03-04T15:45:45.623" level=error msg="pods \"kbench-pod-oid-0-tid-0\" already exists"
time="2024-03-04T15:45:45.623" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-04T15:45:45.623" level=error msg="pods \"kbench-pod-oid-0-tid-1\" already exists"
time="2024-03-04T15:45:45.623" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-04T15:45:45.623" level=error msg="pods \"kbench-pod-oid-0-tid-2\" already exists"
time="2024-03-04T15:45:45.623" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-04T15:47:25.623" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:47:28.623" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:47:31.624" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:47:34.624" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:47:37.624" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:47:40.624" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:47:43.624" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:47:46.625" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:47:49.625" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:47:52.625" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:47:55.625" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:47:58.625" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:48:01.625" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:48:04.625" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:48:07.626" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:48:10.626" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:48:13.626" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:48:16.626" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:48:19.626" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:48:22.626" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-04T15:48:25.626" level=warning msg="Timed out after waiting 60000 mili-seconds, moving forward..."
time="2024-03-04T15:48:25.626" level=info msg="One operation completed. Continue to run the next..."
time="2024-03-04T15:48:25.731" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
