hostname,value,timestamp
master,99.748656,1708647566
node_2,96.373664,1708647566
node_1,97.218076,1708647566
node_3,97.446344,1708647566
master,99.631222,1708647571
node_2,97.334618,1708647571
node_1,97.288154,1708647571
node_3,95.96564,1708647571
master,99.698198,1708647576
node_2,95.0953,1708647576
node_1,94.142524,1708647576
node_3,97.438676,1708647576
master,99.782034,1708647581
node_2,96.836034,1708647581
node_1,97.074998,1708647581
node_3,96.615818,1708647581
master,99.748588,1708647586
node_2,96.890788,1708647586
node_1,96.1694,1708647586
node_3,97.740452,1708647586
master,99.73171,1708647591
node_2,96.87439,1708647591
node_1,97.18866,1708647591
node_3,96.371084,1708647591
master,99.631502,1708647596
node_2,96.118932,1708647596
node_1,96.326424,1708647596
node_3,95.684178,1708647596
master,99.748574,1708647601
node_2,96.523792,1708647601
node_1,97.221812,1708647601
node_3,95.67294,1708647601
master,99.731724,1708647606
node_2,96.719444,1708647606
node_1,96.260554,1708647606
node_3,97.43956,1708647606
master,99.81545,1708647611
node_2,96.833268,1708647611
node_1,97.890322,1708647611
node_3,96.273418,1708647611
master,99.765266,1708647616
node_2,96.780486,1708647616
node_1,96.227338,1708647616
node_3,97.542088,1708647616
master,99.714988,1708647621
node_2,96.932378,1708647621
node_1,97.036892,1708647621
node_3,95.86333,1708647621
master,99.731826,1708647626
node_2,96.82679,1708647626
node_1,97.639934,1708647626
node_3,97.487,1708647626
master,99.815464,1708647631
node_2,97.135914,1708647631
node_1,96.537696,1708647631
node_3,96.3699,1708647631
master,99.614754,1708647636
node_2,95.924698,1708647636
node_1,96.878092,1708647636
node_3,97.435636,1708647636
master,99.731766,1708647641
node_2,96.681474,1708647641
node_1,96.475056,1708647641
node_3,96.1749,1708647641
master,99.76524,1708647646
node_2,96.556336,1708647646
node_1,97.794978,1708647646
node_3,97.540448,1708647646
master,99.731798,1708647651
node_2,97.027422,1708647651
node_1,96.016316,1708647651
node_3,96.239672,1708647651
master,99.748546,1708647656
node_2,96.816754,1708647656
node_1,97.645732,1708647656
node_3,96.992584,1708647656
master,99.73177,1708647661
node_2,96.481888,1708647661
node_1,95.875476,1708647661
node_3,95.66575,1708647661
master,99.380932,1708647666
node_2,95.964466,1708647666
node_1,96.988556,1708647666
node_3,96.689902,1708647666
master,99.815492,1708647671
node_2,97.237402,1708647671
node_1,96.120398,1708647671
node_3,96.083536,1708647671
master,99.698154,1708647676
node_2,96.925034,1708647676
node_1,97.637422,1708647676
node_3,97.583238,1708647676
master,99.714932,1708647681
node_2,97.63131,1708647681
node_1,95.573024,1708647681
node_3,95.811686,1708647681
master,99.648296,1708647686
node_2,96.437068,1708647686
node_1,97.439048,1708647686
node_3,97.132762,1708647686
master,99.765282,1708647691
node_2,97.036982,1708647691
node_1,96.16852,1708647691
node_3,96.391974,1708647691
master,99.69828,1708647696
node_2,96.104352,1708647696
node_1,97.13513,1708647696
node_3,96.888574,1708647696
master,99.748562,1708647701
node_2,96.789328,1708647701
node_1,96.177404,1708647701
node_3,96.619508,1708647701
master,99.71503,1708647706
node_2,96.769216,1708647706
node_1,97.436544,1708647706
node_3,97.092844,1708647706
