hostname,value,timestamp,chart_family
node_3,0.2,1708657756,mmcblk0
node_2,1.4,1708657756,mmcblk0
node_1,0,1708657756,mmcblk0
master,1.2,1708657756,nvme0n1
master,1.2,1708657756,ubuntu--vg-ubuntu--lv
node_3,0,1708657761,mmcblk0
node_2,1.2,1708657761,mmcblk0
node_1,0,1708657761,mmcblk0
master,0.8,1708657761,nvme0n1
master,0.8,1708657761,ubuntu--vg-ubuntu--lv
node_3,0.6,1708657766,mmcblk0
node_2,3.8,1708657766,mmcblk0
node_1,2,1708657766,mmcblk0
master,0.6,1708657766,nvme0n1
master,0.6,1708657766,ubuntu--vg-ubuntu--lv
node_3,4.2,1708657771,mmcblk0
node_2,0,1708657771,mmcblk0
node_1,0.4,1708657771,mmcblk0
master,0.4,1708657771,nvme0n1
master,0.4,1708657771,ubuntu--vg-ubuntu--lv
node_3,1.4,1708657776,mmcblk0
node_2,2,1708657776,mmcblk0
node_1,0,1708657776,mmcblk0
master,0.2,1708657776,nvme0n1
master,0.2,1708657776,ubuntu--vg-ubuntu--lv
node_3,0,1708657781,mmcblk0
node_2,0,1708657781,mmcblk0
node_1,0,1708657781,mmcblk0
master,0.8,1708657781,nvme0n1
master,0.8,1708657781,ubuntu--vg-ubuntu--lv
node_3,0,1708657786,mmcblk0
node_2,0.4,1708657786,mmcblk0
node_1,0.2,1708657786,mmcblk0
master,1.2,1708657786,nvme0n1
master,1.2,1708657786,ubuntu--vg-ubuntu--lv
node_3,0.4,1708657791,mmcblk0
node_2,0.2,1708657791,mmcblk0
node_1,0.4,1708657791,mmcblk0
master,0.4,1708657791,nvme0n1
master,0.4,1708657791,ubuntu--vg-ubuntu--lv
node_3,0.4,1708657796,mmcblk0
node_2,1.8,1708657796,mmcblk0
node_1,0,1708657796,mmcblk0
master,0.4,1708657796,nvme0n1
master,0.4,1708657796,ubuntu--vg-ubuntu--lv
node_3,0,1708657801,mmcblk0
node_2,0,1708657801,mmcblk0
node_1,0.2,1708657801,mmcblk0
master,0.4,1708657801,nvme0n1
master,0.4,1708657801,ubuntu--vg-ubuntu--lv
node_3,1.2,1708657806,mmcblk0
node_2,0,1708657806,mmcblk0
node_1,2.2,1708657806,mmcblk0
master,0.2,1708657806,nvme0n1
master,0.2,1708657806,ubuntu--vg-ubuntu--lv
node_3,3.6,1708657811,mmcblk0
node_2,1.4,1708657811,mmcblk0
node_1,0.2,1708657811,mmcblk0
master,0.2,1708657811,nvme0n1
master,0.2,1708657811,ubuntu--vg-ubuntu--lv
node_3,2.8,1708657816,mmcblk0
node_2,0.4,1708657816,mmcblk0
node_1,0,1708657816,mmcblk0
master,0.4,1708657816,nvme0n1
master,0.4,1708657816,ubuntu--vg-ubuntu--lv
node_3,0.6,1708657821,mmcblk0
node_2,1.2,1708657821,mmcblk0
node_1,2.2,1708657821,mmcblk0
master,0.6,1708657821,nvme0n1
master,0.6,1708657821,ubuntu--vg-ubuntu--lv
node_3,2,1708657826,mmcblk0
node_2,0,1708657826,mmcblk0
node_1,0.2,1708657826,mmcblk0
master,0.6,1708657826,nvme0n1
master,0.6,1708657826,ubuntu--vg-ubuntu--lv
node_3,0.2,1708657831,mmcblk0
node_2,1.2,1708657831,mmcblk0
node_1,0,1708657831,mmcblk0
master,0,1708657831,nvme0n1
master,0,1708657831,ubuntu--vg-ubuntu--lv
node_3,1.6,1708657836,mmcblk0
node_2,0,1708657836,mmcblk0
node_1,1.6,1708657836,mmcblk0
master,0.4,1708657836,nvme0n1
master,0.4,1708657836,ubuntu--vg-ubuntu--lv
node_3,0,1708657841,mmcblk0
node_2,1.4,1708657841,mmcblk0
node_1,1.6,1708657841,mmcblk0
master,0.2,1708657841,nvme0n1
master,0.2,1708657841,ubuntu--vg-ubuntu--lv
node_3,3.8,1708657846,mmcblk0
node_2,0.4,1708657846,mmcblk0
node_1,0.2,1708657846,mmcblk0
master,0.4,1708657846,nvme0n1
master,0.4,1708657846,ubuntu--vg-ubuntu--lv
node_3,0.2,1708657851,mmcblk0
node_2,0,1708657851,mmcblk0
node_1,1.6,1708657851,mmcblk0
master,0.6,1708657851,nvme0n1
master,0.6,1708657851,ubuntu--vg-ubuntu--lv
node_3,2.4,1708657856,mmcblk0
node_2,0,1708657856,mmcblk0
node_1,0.2,1708657856,mmcblk0
master,0.2,1708657856,nvme0n1
