hostname,value,timestamp
master,1006.56096,1709094471
node_1,349.09918,1709094471
node_2,337.63438,1709094471
node_3,350.10392,1709094471
master,1001.46252,1709094476
node_1,337.93984,1709094476
node_2,337.8664,1709094476
node_3,345.54142,1709094476
master,1004.38594,1709094481
node_1,338.21252,1709094481
node_2,337.88206,1709094481
node_3,345.27656,1709094481
master,1009.92424,1709094486
node_1,332.13592,1709094486
node_2,338.98126,1709094486
node_3,341.46018,1709094486
master,1007.30706,1709094491
node_1,332.88124,1709094491
node_2,337.95858,1709094491
node_3,341.83516,1709094491
master,996.0039,1709094496
node_1,334.93124,1709094496
node_2,338.0898,1709094496
node_3,342.03748,1709094496
master,994.0211,1709094501
node_1,335.40546,1709094501
node_2,338.15154,1709094501
node_3,342.65622,1709094501
master,984.54764,1709094506
node_1,338.16874,1709094506
node_2,339.20858,1709094506
node_3,335.61092,1709094506
master,984.95314,1709094511
node_1,339.32968,1709094511
node_2,342.70234,1709094511
node_3,336.0711,1709094511
master,980.65392,1709094516
node_1,335.34844,1709094516
node_2,343.8594,1709094516
node_3,329.9383,1709094516
master,979.41012,1709094521
node_1,334.82266,1709094521
node_2,336.18356,1709094521
node_3,330.12658,1709094521
master,974.55312,1709094526
node_1,333.17812,1709094526
node_2,336.34996,1709094526
node_3,333.58284,1709094526
master,974.9125,1709094531
node_1,333.33592,1709094531
node_2,335.22188,1709094531
node_3,334.02738,1709094531
master,977.82812,1709094536
node_1,337.36406,1709094536
node_2,333.92814,1709094536
node_3,338.4242,1709094536
master,978.23438,1709094541
node_1,336.39218,1709094541
node_2,336.38514,1709094541
node_3,339.62262,1709094541
master,976.64062,1709094546
node_1,336.88204,1709094546
node_2,337.74536,1709094546
node_3,331.8945,1709094546
master,976.8203,1709094551
node_1,337.61174,1709094551
node_2,335.06486,1709094551
node_3,330.31092,1709094551
master,966.70392,1709094556
node_1,332.52264,1709094556
node_2,334.66484,1709094556
node_3,320.1344,1709094556
master,967.76564,1709094561
node_1,329.62812,1709094561
node_2,330.91328,1709094561
node_3,318.08596,1709094561
master,969.43828,1709094566
node_1,329.5086,1709094566
node_2,330.39764,1709094566
node_3,320.82892,1709094566
master,969.74766,1709094571
node_1,329.3164,1709094571
node_2,331.35938,1709094571
node_3,322.50232,1709094571
master,972.82426,1709094576
node_1,330.2969,1709094576
node_2,330.3008,1709094576
node_3,323.64452,1709094576
master,973.58906,1709094581
node_1,331.00466,1709094581
node_2,333.55548,1709094581
node_3,324.70076,1709094581
master,979.66094,1709094586
node_1,331.43906,1709094586
node_2,335.88204,1709094586
node_3,323.79374,1709094586
master,981.41566,1709094591
node_1,331.89144,1709094591
node_2,329.58986,1709094591
node_3,323.08674,1709094591
master,970.31566,1709094596
node_1,332.02504,1709094596
node_2,325.87268,1709094596
node_3,322.92658,1709094596
master,967.58906,1709094601
node_1,331.7258,1709094601
node_2,328.44686,1709094601
node_3,323.27498,1709094601
master,963.70626,1709094606
node_1,331.73202,1709094606
node_2,330.0312,1709094606
node_3,326.2859,1709094606
master,963.28436,1709094611
node_1,332.09142,1709094611
node_2,327.91328,1709094611
node_3,328.52734,1709094611
master,960.65468,1709094616
node_1,329.6305,1709094616
node_2,321.69998,1709094616
node_3,325.28516,1709094616
master,959.4969,1709094621
node_1,326.46638,1709094621
node_2,324.53436,1709094621
node_3,320.50546,1709094621
master,959.92658,1709094626
node_1,325.52108,1709094626
node_2,328.5211,1709094626
node_3,322.09138,1709094626
master,960.53284,1709094631
node_1,321.81332,1709094631
node_2,329.30468,1709094631
node_3,324.56172,1709094631
master,954.45784,1709094636
node_1,324.20856,1709094636
node_2,329.7906,1709094636
node_3,326.66952,1709094636
master,950.87894,1709094641
node_1,331.71564,1709094641
node_2,328.94376,1709094641
node_3,328.57576,1709094641
master,953.59924,1709094646
node_1,331.68984,1709094646
node_2,328.09376,1709094646
node_3,327.48906,1709094646
master,956.32498,1709094651
node_1,331.4781,1709094651
node_2,329.63438,1709094651
node_3,326.96174,1709094651
master,951.40626,1709094656
node_1,330.4602,1709094656
node_2,324.02734,1709094656
node_3,327.74686,1709094656
master,944.17342,1709094661
node_1,323.22576,1709094661
node_2,325.56018,1709094661
node_3,329.83206,1709094661
master,948.61642,1709094666
node_1,324.3086,1709094666
node_2,329.4922,1709094666
node_3,328.82424,1709094666
master,952.26172,1709094671
node_1,330.85154,1709094671
node_2,330.21328,1709094671
node_3,323.87964,1709094671
master,955.52266,1709094676
node_1,331.27814,1709094676
node_2,330.3953,1709094676
node_3,324.63044,1709094676
master,961.1898,1709094681
node_1,325.53362,1709094681
node_2,330.43826,1709094681
node_3,327.60076,1709094681
master,964.67034,1709094686
node_1,326.46092,1709094686
node_2,330.26876,1709094686
node_3,327.9,1709094686
master,967.27892,1709094691
node_1,329.2305,1709094691
node_2,331.83748,1709094691
node_3,326.1867,1709094691
master,966.56324,1709094696
node_1,329.30702,1709094696
node_2,327.61718,1709094696
node_3,326.87968,1709094696
master,963.39296,1709094701
node_1,328.68202,1709094701
node_2,327.93592,1709094701
node_3,329.51328,1709094701
master,965.60864,1709094706
node_1,329.76564,1709094706
node_2,329.37188,1709094706
node_3,329.082,1709094706
master,971.85316,1709094711
node_1,324.5961,1709094711
node_2,329.83832,1709094711
node_3,319.98672,1709094711
master,971.90782,1709094716
node_1,323.45542,1709094716
node_2,331.12736,1709094716
node_3,320.1836,1709094716
master,977.12576,1709094721
node_1,329.06092,1709094721
node_2,331.7664,1709094721
node_3,327.3758,1709094721
master,996.40782,1709094726
node_1,331.19452,1709094726
node_2,327.2203,1709094726
node_3,328.38596,1709094726
master,994.38828,1709094731
node_1,336.04144,1709094731
node_2,327.82734,1709094731
node_3,351.99688,1709094731
master,994.90468,1709094736
node_1,337.39534,1709094736
node_2,326.72502,1709094736
node_3,360.3664,1709094736
master,995.3055,1709094741
node_1,332.49612,1709094741
node_2,325.86642,1709094741
node_3,363.21174,1709094741
master,995.51718,1709094746
node_1,331.88668,1709094746
node_2,324.75,1709094746
node_3,379.64218,1709094746
master,1003.5836,1709094751
node_1,327.84138,1709094751
node_2,324.77892,1709094751
node_3,406.34532,1709094751
master,1004.36172,1709094756
node_1,325.34138,1709094756
node_2,320.03126,1709094756
node_3,396.25234,1709094756
master,992.87814,1709094761
node_1,327.19688,1709094761
node_2,319.95548,1709094761
node_3,412.51952,1709094761
master,993.08908,1709094766
node_1,328.83832,1709094766
node_2,324.05626,1709094766
node_3,410.46094,1709094766
master,991.98908,1709094771
node_1,329.80472,1709094771
node_2,325.65704,1709094771
node_3,405.51174,1709094771
master,992.06174,1709094776
node_1,330.4688,1709094776
node_2,324.7172,1709094776
node_3,413.81952,1709094776
master,996.5914,1709094781
node_1,333.70626,1709094781
node_2,323.1883,1709094781
node_3,391.6125,1709094781
master,998.62342,1709094786
node_1,336.4078,1709094786
node_2,324.325,1709094786
node_3,419.8703,1709094786
master,997.41642,1709094791
node_1,331.675,1709094791
node_2,324.76716,1709094791
node_3,425.36406,1709094791
master,997.58124,1709094796
node_1,323.94062,1709094796
node_2,321.73828,1709094796
node_3,423.17422,1709094796
master,991.25548,1709094801
node_1,324.6516,1709094801
node_2,320.85002,1709094801
node_3,433.50468,1709094801
master,990.5539,1709094806
node_1,325.64144,1709094806
node_2,318.64062,1709094806
node_3,411.79844,1709094806
master,990.8703,1709094811
node_1,326.67424,1709094811
node_2,316.3984,1709094811
node_3,424.68828,1709094811
master,991.85388,1709094816
node_1,328.35082,1709094816
node_2,320.7328,1709094816
node_3,428.0203,1709094816
master,984.63514,1709094821
node_1,331.81718,1709094821
node_2,322.96876,1709094821
node_3,426.04296,1709094821
master,980.69768,1709094826
node_1,336.06876,1709094826
node_2,325.57656,1709094826
node_3,434.6547,1709094826
master,986.19218,1709094831
node_1,334.22344,1709094831
node_2,329.84374,1709094831
node_3,448.0828,1709094831
master,989.23514,1709094836
node_1,325.51644,1709094836
node_2,329.91408,1709094836
node_3,389.88436,1709094836
master,988.7008,1709094841
node_1,326.36878,1709094841
node_2,330.76172,1709094841
node_3,341.15314,1709094841
master,989.3758,1709094846
node_1,327.25702,1709094846
node_2,328.96406,1709094846
node_3,341.90546,1709094846
master,990.06406,1709094851
node_1,326.3492,1709094851
node_2,325.37966,1709094851
node_3,336.99218,1709094851
master,990.87342,1709094856
node_1,322.5047,1709094856
node_2,327.21876,1709094856
node_3,329.93516,1709094856
master,990.98904,1709094861
node_1,323.52734,1709094861
node_2,328.51012,1709094861
node_3,331.38284,1709094861
master,990.47032,1709094866
node_1,325.15778,1709094866
node_2,327.03592,1709094866
node_3,332.3711,1709094866
master,991.13908,1709094871
node_1,325.77736,1709094871
node_2,320.58674,1709094871
node_3,333.5594,1709094871
master,992.04534,1709094876
node_1,330.68126,1709094876
node_2,323.42266,1709094876
node_3,334.51252,1709094876
master,992.41406,1709094881
node_1,331.2922,1709094881
node_2,329.18982,1709094881
node_3,333.92346,1709094881
master,993.83986,1709094886
node_1,332.89842,1709094886
node_2,328.625,1709094886
node_3,330.72422,1709094886
master,990.52734,1709094891
node_1,333.61172,1709094891
node_2,325.79374,1709094891
node_3,330.77738,1709094891
master,984.21018,1709094896
node_1,332.94764,1709094896
node_2,327.7719,1709094896
node_3,330.66878,1709094896
master,985.85782,1709094901
node_1,333.425,1709094901
node_2,317.58672,1709094901
node_3,331.14534,1709094901
master,991.3844,1709094906
node_1,331.53592,1709094906
node_2,318.89144,1709094906
node_3,330.58358,1709094906
master,991.5688,1709094911
node_1,332.0484,1709094911
node_2,324.43204,1709094911
node_3,331.03752,1709094911
master,991.16562,1709094916
node_1,322.67188,1709094916
node_2,325.07504,1709094916
node_3,318.68982,1709094916
master,995.05624,1709094921
node_1,321.31014,1709094921
node_2,326.14688,1709094921
node_3,318.9828,1709094921
master,1001.1797,1709094926
node_1,327.86404,1709094926
node_2,327.72968,1709094926
node_3,324.9953,1709094926
master,999.05392,1709094931
node_1,329.52186,1709094931
node_2,327.76876,1709094931
node_3,324.98988,1709094931
master,991.45624,1709094936
node_1,325.06952,1709094936
node_2,327.78518,1709094936
node_3,322.1383,1709094936
master,992.0195,1709094941
node_1,324.02344,1709094941
node_2,324.8617,1709094941
node_3,322.71248,1709094941
master,990.95156,1709094946
node_1,329.99142,1709094946
node_2,322.58748,1709094946
node_3,326.31718,1709094946
master,992.63904,1709094951
node_1,332.02034,1709094951
node_2,324.52736,1709094951
node_3,328.40232,1709094951
master,983.31482,1709094956
node_1,334.86174,1709094956
node_2,325.47344,1709094956
node_3,331.48592,1709094956
master,983.94376,1709094961
node_1,336.66484,1709094961
node_2,326.11484,1709094961
node_3,332.60002,1709094961
master,984.9062,1709094966
node_1,335.3164,1709094966
node_2,326.8133,1709094966
node_3,330.17188,1709094966
master,985.5867,1709094971
node_1,334.55862,1709094971
node_2,329.94922,1709094971
node_3,329.5703,1709094971
master,990.27814,1709094976
node_1,335.95314,1709094976
node_2,330.4375,1709094976
node_3,332.27734,1709094976
master,990.7461,1709094981
node_1,337.23282,1709094981
node_2,329.9461,1709094981
node_3,333.21954,1709094981
master,986.0117,1709094986
node_1,334.0133,1709094986
node_2,329.84138,1709094986
node_3,332.08126,1709094986
master,985.06796,1709094991
node_1,332.55314,1709094991
node_2,330.85314,1709094991
node_3,331.45076,1709094991
master,986.19456,1709094996
node_1,333.19686,1709094996
node_2,332.59764,1709094996
node_3,327.72968,1709094996
master,986.47036,1709095001
node_1,333.46718,1709095001
node_2,332.89532,1709095001
node_3,324.85466,1709095001
master,984.53906,1709095006
node_1,328.793,1709095006
node_2,332.7891,1709095006
node_3,324.23594,1709095006
master,985.09688,1709095011
node_1,321.58828,1709095011
node_2,332.11174,1709095011
node_3,325.05312,1709095011
master,987.9883,1709095016
node_1,323.1453,1709095016
node_2,332.36952,1709095016
node_3,324.0242,1709095016
master,989.07656,1709095021
node_1,325.00074,1709095021
node_2,332.4867,1709095021
node_3,324.0742,1709095021
master,986.82422,1709095026
node_1,327.60544,1709095026
node_2,332.675,1709095026
node_3,322.68672,1709095026
master,985.56014,1709095031
node_1,331.78984,1709095031
node_2,335.8086,1709095031
node_3,320.42736,1709095031
master,990.5289,1709095036
node_1,332.30392,1709095036
node_2,340.24922,1709095036
node_3,322.2594,1709095036
master,995.62268,1709095041
node_1,331.0125,1709095041
node_2,341.78908,1709095041
node_3,325.70156,1709095041
master,989.6797,1709095046
node_1,332.28356,1709095046
node_2,342.73752,1709095046
node_3,323.82498,1709095046
master,986.14532,1709095051
node_1,333.76406,1709095051
node_2,341.46642,1709095051
node_3,320.48904,1709095051
master,984.12108,1709095056
node_1,333.27578,1709095056
node_2,340.91716,1709095056
node_3,323.56482,1709095056
master,983.1039,1709095061
node_1,328.81092,1709095061
node_2,338.18278,1709095061
node_3,327.74922,1709095061
master,982.918,1709095066
node_1,328.91642,1709095066
node_2,326.45152,1709095066
node_3,326.76016,1709095066
master,981.69298,1709095071
node_1,326.4336,1709095071
node_2,327.4375,1709095071
node_3,323.73362,1709095071
master,980.4742,1709095076
node_1,326.91484,1709095076
node_2,329.6242,1709095076
node_3,326.15782,1709095076
master,978.21406,1709095081
node_1,330.9117,1709095081
node_2,330.175,1709095081
node_3,333.02344,1709095081
master,981.39378,1709095086
node_1,331.19764,1709095086
node_2,332.07736,1709095086
node_3,334.17032,1709095086
master,983.13986,1709095091
node_1,338.36872,1709095091
node_2,331.79612,1709095091
node_3,334.46252,1709095091
master,984.0539,1709095096
node_1,338.6961,1709095096
node_2,329.78904,1709095096
node_3,334.51958,1709095096
master,986.17814,1709095101
node_1,337.53594,1709095101
node_2,331.13984,1709095101
node_3,334.1086,1709095101
master,989.48126,1709095106
node_1,337.8633,1709095106
node_2,333.42266,1709095106
node_3,334.40778,1709095106
master,994.03752,1709095111
node_1,331.08128,1709095111
node_2,334.04532,1709095111
node_3,323.418,1709095111
master,991.78514,1709095116
node_1,331.9062,1709095116
node_2,332.71566,1709095116
node_3,324.3531,1709095116
master,980.43982,1709095121
node_1,331.88904,1709095121
node_2,333.28362,1709095121
node_3,323.70782,1709095121
master,982.32028,1709095126
node_1,332.41252,1709095126
node_2,335.93128,1709095126
node_3,324.70312,1709095126
master,987.55,1709095131
node_1,331.96954,1709095131
node_2,336.75706,1709095131
node_3,330.08986,1709095131
master,989.42966,1709095136
node_1,331.96954,1709095136
node_2,336.95158,1709095136
node_3,330.27972,1709095136
master,995.34686,1709095141
node_1,325.71404,1709095141
node_2,337.1172,1709095141
node_3,323.98748,1709095141
master,998.81562,1709095146
node_1,324.84528,1709095146
node_2,329.97264,1709095146
node_3,324.1625,1709095146
master,1004.26722,1709095151
node_1,324.56096,1709095151
node_2,327.40546,1709095151
node_3,318.83986,1709095151
master,1005.04766,1709095156
node_1,324.67582,1709095156
node_2,326.7789,1709095156
node_3,317.36096,1709095156
master,1001.92342,1709095161
node_1,324.99218,1709095161
node_2,326.88516,1709095161
node_3,322.5914,1709095161
master,1002.13438,1709095166
node_1,324.98904,1709095166
node_2,321.98436,1709095166
node_3,324.6086,1709095166
master,991.20468,1709095171
node_1,327.71012,1709095171
node_2,321.75232,1709095171
node_3,321.77424,1709095171
master,991.41562,1709095176
node_1,329.6906,1709095176
node_2,327.89842,1709095176
node_3,321.39688,1709095176
master,999.87266,1709095181
node_1,325.86876,1709095181
node_2,330.0234,1709095181
node_3,326.08986,1709095181
master,999.98906,1709095186
node_1,323.82736,1709095186
node_2,330.79298,1709095186
node_3,327.63672,1709095186
master,1002.54842,1709095191
node_1,325.92656,1709095191
node_2,330.57114,1709095191
node_3,322.00936,1709095191
master,1003.01094,1709095196
node_1,327.99926,1709095196
node_2,326.51956,1709095196
node_3,318.20624,1709095196
master,1000.66248,1709095201
node_1,328.3422,1709095201
node_2,324.6961,1709095201
node_3,322.4211,1709095201
master,1002.35936,1709095206
node_1,328.8703,1709095206
node_2,326.26406,1709095206
node_3,325.2266,1709095206
master,990.7172,1709095211
node_1,325.65314,1709095211
node_2,327.4234,1709095211
node_3,321.37424,1709095211
master,987.7914,1709095216
node_1,320.41484,1709095216
node_2,328.61406,1709095216
node_3,319.42496,1709095216
master,988.98438,1709095221
node_1,323.0594,1709095221
node_2,329.92582,1709095221
node_3,319.69528,1709095221
master,978.8328,1709095226
node_1,326.4766,1709095226
node_2,327.16486,1709095226
node_3,320.25622,1709095226
master,978.80078,1709095231
node_1,323.71876,1709095231
node_2,320.5078,1709095231
node_3,318.80388,1709095231
master,979.64374,1709095236
node_1,319.582,1709095236
node_2,321.6953,1709095236
node_3,316.68828,1709095236
master,981.72734,1709095241
node_1,321.43438,1709095241
node_2,323.46486,1709095241
node_3,320.75546,1709095241
master,983.22578,1709095246
node_1,327.25466,1709095246
node_2,322.41874,1709095246
node_3,325.86092,1709095246
master,978.40232,1709095251
node_1,326.50388,1709095251
node_2,320.22422,1709095251
node_3,328.95938,1709095251
master,975.1242,1709095256
node_1,321.44842,1709095256
node_2,321.64298,1709095256
node_3,333.51796,1709095256
master,972.56094,1709095261
node_1,323.21484,1709095261
node_2,323.74688,1709095261
node_3,327.91094,1709095261
master,972.3031,1709095266
node_1,329.07498,1709095266
node_2,325.03986,1709095266
node_3,319.34844,1709095266
master,965.10544,1709095271
node_1,328.78046,1709095271
node_2,319.94298,1709095271
node_3,321.53748,1709095271
master,961.0445,1709095276
node_1,326.56872,1709095276
node_2,321.31252,1709095276
node_3,327.35856,1709095276
master,965.40468,1709095281
node_1,327.7461,1709095281
node_2,324.42812,1709095281
node_3,329.00468,1709095281
master,970.34922,1709095286
node_1,331.14688,1709095286
node_2,325.31642,1709095286
node_3,331.13048,1709095286
master,968.79844,1709095291
node_1,331.8344,1709095291
node_2,326.47342,1709095291
node_3,330.36952,1709095291
master,966.67342,1709095296
node_1,318.78596,1709095296
node_2,325.57188,1709095296
node_3,324.83828,1709095296
master,967.33204,1709095301
node_1,319.70002,1709095301
node_2,318.68826,1709095301
node_3,325.70938,1709095301
master,968.3094,1709095306
node_1,327.13988,1709095306
node_2,319.96794,1709095306
node_3,326.90624,1709095306
master,971.88046,1709095311
node_1,327.86642,1709095311
node_2,323.60312,1709095311
node_3,327.87968,1709095311
master,975.87812,1709095316
node_1,332.5297,1709095316
node_2,324.39998,1709095316
node_3,327.95784,1709095316
master,975.47266,1709095321
node_1,333.5625,1709095321
node_2,323.60076,1709095321
node_3,328.28752,1709095321
master,974.29764,1709095326
node_1,330.21018,1709095326
node_2,324.6031,1709095326
node_3,331.6289,1709095326
master,973.81172,1709095331
node_1,330.03984,1709095331
node_2,334.07968,1709095331
node_3,332.1875,1709095331
master,970.33282,1709095336
node_1,324.28672,1709095336
node_2,334.30934,1709095336
node_3,333.52734,1709095336
master,971.7789,1709095341
node_1,323.71484,1709095341
node_2,326.20628,1709095341
node_3,333.97654,1709095341
master,975.57032,1709095346
node_1,326.78362,1709095346
node_2,326.2969,1709095346
node_3,328.60156,1709095346
master,976.62578,1709095351
node_1,327.62424,1709095351
node_2,329.44608,1709095351
node_3,329.00232,1709095351
master,979.10548,1709095356
node_1,326.90468,1709095356
node_2,329.63048,1709095356
node_3,329.01874,1709095356
master,980.72186,1709095361
node_1,327.00858,1709095361
node_2,335.14688,1709095361
node_3,329.10156,1709095361
master,975.4961,1709095366
node_1,333.7906,1709095366
node_2,336.97426,1709095366
node_3,327.07342,1709095366
master,975.27344,1709095371
node_1,337.84452,1709095371
node_2,336.96172,1709095371
node_3,327.28592,1709095371
master,978.73284,1709095376
node_1,335.6742,1709095376
node_2,336.92812,1709095376
node_3,333.25622,1709095376
master,979.12734,1709095381
node_1,334.32732,1709095381
node_2,335.97422,1709095381
node_3,334.582,1709095381
master,966.60546,1709095386
node_1,333.88984,1709095386
node_2,336.6719,1709095386
node_3,332.94842,1709095386
master,966.8797,1709095391
node_1,334.03278,1709095391
node_2,332.30394,1709095391
node_3,332.67188,1709095391
master,962.52654,1709095396
node_1,331.77422,1709095396
node_2,327.95542,1709095396
node_3,326.37738,1709095396
master,963.99452,1709095401
node_1,330.86484,1709095401
node_2,328.08046,1709095401
node_3,323.32268,1709095401
master,967.88828,1709095406
node_1,331.37814,1709095406
node_2,328.3516,1709095406
node_3,324.88128,1709095406
master,969.13204,1709095411
