hostname,value,timestamp,chart_family
node_1,5.2,1708856186,mmcblk0
node_3,1.2,1708856186,mmcblk0
node_2,5.2,1708856186,mmcblk0
master,0.6,1708856186,nvme0n1
master,0.6,1708856186,ubuntu--vg-ubuntu--lv
node_1,0.2,1708856191,mmcblk0
node_3,6.4,1708856191,mmcblk0
node_2,3,1708856191,mmcblk0
master,0.6,1708856191,nvme0n1
master,0.6,1708856191,ubuntu--vg-ubuntu--lv
node_1,0.2,1708856196,mmcblk0
node_3,1.6,1708856196,mmcblk0
node_2,1.2,1708856196,mmcblk0
master,0.2,1708856196,nvme0n1
master,0.2,1708856196,ubuntu--vg-ubuntu--lv
node_1,0,1708856201,mmcblk0
node_3,0.2,1708856201,mmcblk0
node_2,0,1708856201,mmcblk0
master,0.2,1708856201,nvme0n1
master,0.2,1708856201,ubuntu--vg-ubuntu--lv
node_1,2,1708856206,mmcblk0
node_3,0,1708856206,mmcblk0
node_2,0,1708856206,mmcblk0
master,0.6,1708856206,nvme0n1
master,0.6,1708856206,ubuntu--vg-ubuntu--lv
node_1,0,1708856211,mmcblk0
node_3,2.4,1708856211,mmcblk0
node_2,1.6,1708856211,mmcblk0
master,0.4,1708856211,nvme0n1
master,0.4,1708856211,ubuntu--vg-ubuntu--lv
node_1,2.2,1708856216,mmcblk0
node_3,1.2,1708856216,mmcblk0
node_2,0.4,1708856216,mmcblk0
master,0.6,1708856216,nvme0n1
master,0.6,1708856216,ubuntu--vg-ubuntu--lv
node_1,0,1708856221,mmcblk0
node_3,0.6,1708856221,mmcblk0
node_2,3.6,1708856221,mmcblk0
master,0.6,1708856221,nvme0n1
master,0.6,1708856221,ubuntu--vg-ubuntu--lv
node_1,2.2,1708856226,mmcblk0
node_3,7.2,1708856226,mmcblk0
node_2,1,1708856226,mmcblk0
master,0.4,1708856226,nvme0n1
master,0.4,1708856226,ubuntu--vg-ubuntu--lv
node_1,0.2,1708856231,mmcblk0
node_3,0.2,1708856231,mmcblk0
node_2,2.8,1708856231,mmcblk0
master,0.2,1708856231,nvme0n1
master,0.2,1708856231,ubuntu--vg-ubuntu--lv
node_1,1.6,1708856236,mmcblk0
node_3,0.4,1708856236,mmcblk0
node_2,0,1708856236,mmcblk0
master,0.2,1708856236,nvme0n1
master,0.2,1708856236,ubuntu--vg-ubuntu--lv
node_1,0,1708856241,mmcblk0
node_3,0.4,1708856241,mmcblk0
node_2,0,1708856241,mmcblk0
master,0.8,1708856241,nvme0n1
master,0.8,1708856241,ubuntu--vg-ubuntu--lv
node_1,1.8,1708856246,mmcblk0
node_3,4,1708856246,mmcblk0
node_2,0,1708856246,mmcblk0
master,0.4,1708856246,nvme0n1
master,0.4,1708856246,ubuntu--vg-ubuntu--lv
node_1,3,1708856251,mmcblk0
node_3,0.2,1708856251,mmcblk0
node_2,3.6,1708856251,mmcblk0
master,1,1708856251,nvme0n1
master,1,1708856251,ubuntu--vg-ubuntu--lv
node_1,0.4,1708856256,mmcblk0
node_3,0.8,1708856256,mmcblk0
node_2,0.8,1708856256,mmcblk0
master,0.6,1708856256,nvme0n1
master,0.6,1708856256,ubuntu--vg-ubuntu--lv
node_1,0,1708856261,mmcblk0
node_3,4,1708856261,mmcblk0
node_2,0.4,1708856261,mmcblk0
master,0.4,1708856261,nvme0n1
master,0.4,1708856261,ubuntu--vg-ubuntu--lv
node_1,4,1708856266,mmcblk0
node_3,1.6,1708856266,mmcblk0
node_2,3.4,1708856266,mmcblk0
master,0.2,1708856266,nvme0n1
master,0.2,1708856266,ubuntu--vg-ubuntu--lv
node_1,0.4,1708856271,mmcblk0
node_3,0.6,1708856271,mmcblk0
node_2,1.8,1708856271,mmcblk0
master,0.4,1708856271,nvme0n1
master,0.4,1708856271,ubuntu--vg-ubuntu--lv
node_1,0,1708856276,mmcblk0
node_3,2.8,1708856276,mmcblk0
node_2,0,1708856276,mmcblk0
master,0.8,1708856276,nvme0n1
master,0.8,1708856276,ubuntu--vg-ubuntu--lv
node_1,0,1708856281,mmcblk0
node_3,0.4,1708856281,mmcblk0
node_2,0,1708856281,mmcblk0
master,0.4,1708856281,nvme0n1
master,0.4,1708856281,ubuntu--vg-ubuntu--lv
node_1,0,1708856286,mmcblk0
node_3,2.6,1708856286,mmcblk0
node_2,2.2,1708856286,mmcblk0
master,0.4,1708856286,nvme0n1
master,0.4,1708856286,ubuntu--vg-ubuntu--lv
node_1,0,1708856291,mmcblk0
node_3,0.2,1708856291,mmcblk0
node_2,0.8,1708856291,mmcblk0
master,0.4,1708856291,nvme0n1
master,0.4,1708856291,ubuntu--vg-ubuntu--lv
node_1,0,1708856296,mmcblk0
node_3,0,1708856296,mmcblk0
node_2,0,1708856296,mmcblk0
master,0.4,1708856296,nvme0n1
master,0.4,1708856296,ubuntu--vg-ubuntu--lv
node_1,3.6,1708856301,mmcblk0
node_3,2,1708856301,mmcblk0
node_2,0.2,1708856301,mmcblk0
master,0.6,1708856301,nvme0n1
master,0.6,1708856301,ubuntu--vg-ubuntu--lv
node_1,0,1708856306,mmcblk0
node_3,0.6,1708856306,mmcblk0
node_2,0,1708856306,mmcblk0
master,0.6,1708856306,nvme0n1
master,0.6,1708856306,ubuntu--vg-ubuntu--lv
node_1,0.2,1708856311,mmcblk0
node_3,2.2,1708856311,mmcblk0
node_2,0,1708856311,mmcblk0
master,0.6,1708856311,nvme0n1
master,0.6,1708856311,ubuntu--vg-ubuntu--lv
node_1,0.2,1708856316,mmcblk0
