hostname,value,timestamp,id,name
node_3,1.9807998,1709586486,InOctets,received
node_3,-261.0303996,1709586486,OutOctets,sent
node_2,2.2911219,1709586486,InOctets,received
node_2,-259.2802167,1709586486,OutOctets,sent
master,799.3050826,1709586486,InOctets,received
master,-1757.8123148,1709586486,OutOctets,sent
node_1,5.4988384,1709586486,InOctets,received
node_1,-254.293112,1709586486,OutOctets,sent
node_3,11.1868813,1709586491,InOctets,received
node_3,-252.7429722,1709586491,OutOctets,sent
node_2,9.7929068,1709586491,InOctets,received
node_2,-250.4331476,1709586491,OutOctets,sent
master,8.6655671,1709586491,InOctets,received
master,-401.6586202,1709586491,OutOctets,sent
node_1,6.3050736,1709586491,InOctets,received
node_1,-248.6462065,1709586491,OutOctets,sent
node_3,1.3435114,1709586496,InOctets,received
node_3,-252.0282203,1709586496,OutOctets,sent
node_2,2.2389601,1709586496,InOctets,received
node_2,-250.0864178,1709586496,OutOctets,sent
master,9.0194228,1709586496,InOctets,received
master,-389.0446482,1709586496,OutOctets,sent
node_1,5.7587758,1709586496,InOctets,received
node_1,-251.5009948,1709586496,OutOctets,sent
node_3,8.1240069,1709586501,InOctets,received
node_3,-252.3135847,1709586501,OutOctets,sent
node_2,8.2961274,1709586501,InOctets,received
node_2,-250.1924179,1709586501,OutOctets,sent
master,6.1729836,1709586501,InOctets,received
master,-401.0068555,1709586501,OutOctets,sent
node_1,4.7725196,1709586501,InOctets,received
node_1,-248.6810184,1709586501,OutOctets,sent
node_3,1.3684806,1709586506,InOctets,received
node_3,-250.72208,1709586506,OutOctets,sent
node_2,1.6447792,1709586506,InOctets,received
node_2,-248.3450684,1709586506,OutOctets,sent
master,4.2316266,1709586506,InOctets,received
master,-387.0546736,1709586506,OutOctets,sent
node_1,4.8020328,1709586506,InOctets,received
node_1,-249.7061829,1709586506,OutOctets,sent
node_3,9.8302792,1709586511,InOctets,received
node_3,-254.2987363,1709586511,OutOctets,sent
node_2,8.6629456,1709586511,InOctets,received
node_2,-251.3504757,1709586511,OutOctets,sent
master,10.9571558,1709586511,InOctets,received
master,-402.9139574,1709586511,OutOctets,sent
node_1,5.2067274,1709586511,InOctets,received
node_1,-249.9466094,1709586511,OutOctets,sent
node_3,1.5356411,1709586516,InOctets,received
node_3,-250.6432,1709586516,OutOctets,sent
node_2,1.711471,1709586516,InOctets,received
node_2,-248.5551541,1709586516,OutOctets,sent
master,4.6847244,1709586516,InOctets,received
master,-387.3487206,1709586516,OutOctets,sent
node_1,4.9148728,1709586516,InOctets,received
node_1,-249.9797976,1709586516,OutOctets,sent
node_3,9.7145132,1709586521,InOctets,received
node_3,-252.49566,1709586521,OutOctets,sent
node_2,8.2101317,1709586521,InOctets,received
node_2,-249.7138266,1709586521,OutOctets,sent
master,5.9730286,1709586521,InOctets,received
master,-397.0381157,1709586521,OutOctets,sent
node_1,2.0416002,1709586521,InOctets,received
node_1,-248.6207917,1709586521,OutOctets,sent
node_3,2.1456132,1709586526,InOctets,received
node_3,-252.421152,1709586526,OutOctets,sent
node_2,2.4489605,1709586526,InOctets,received
node_2,-250.2174474,1709586526,OutOctets,sent
master,9.4188806,1709586526,InOctets,received
master,-392.4248588,1709586526,OutOctets,sent
node_1,8.6526524,1709586526,InOctets,received
node_1,-251.5135996,1709586526,OutOctets,sent
node_3,7.6835381,1709586531,InOctets,received
node_3,-251.8385,1709586531,OutOctets,sent
node_2,6.8878901,1709586531,InOctets,received
node_2,-250.2594934,1709586531,OutOctets,sent
master,5.3447552,1709586531,InOctets,received
master,-394.9978335,1709586531,OutOctets,sent
node_1,2.2129482,1709586531,InOctets,received
