4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1325.77          ---          ---        13.71573        12.67100        28.03100        46.07900       102.13 
Gets        13256.01         2.33     13253.68        13.70262        12.67100        27.77500        46.33500       516.43 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      14581.77         2.33     13253.68        13.70382        12.67100        27.77500        46.33500       618.56 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.559        0.000
SET      11.519        5.000
SET      11.967       10.000
SET      12.159       15.000
SET      12.287       20.000
SET      12.351       25.000
SET      12.415       30.000
SET      12.479       35.000
SET      12.543       40.000
SET      12.607       45.000
SET      12.671       50.000
SET      12.735       52.500
SET      12.735       55.000
SET      12.799       57.500
SET      12.863       60.000
SET      12.927       62.500
SET      12.991       65.000
SET      13.055       67.500
SET      13.119       70.000
SET      13.183       72.500
SET      13.311       75.000
SET      13.375       76.250
SET      13.375       77.500
SET      13.503       78.750
SET      13.567       80.000
SET      13.631       81.250
SET      13.759       82.500
SET      13.887       83.750
SET      14.079       85.000
SET      14.335       86.250
SET      14.783       87.500
SET      14.975       88.125
SET      15.231       88.750
SET      15.551       89.375
SET      15.871       90.000
SET      16.319       90.625
SET      17.023       91.250
SET      18.175       91.875
SET      20.095       92.500
SET      21.631       93.125
SET      22.911       93.750
SET      23.423       94.062
SET      23.679       94.375
SET      24.063       94.688
SET      24.191       95.000
SET      24.447       95.312
SET      24.575       95.625
SET      24.703       95.938
SET      24.959       96.250
SET      25.087       96.562
SET      25.215       96.875
SET      25.215       97.031
SET      25.343       97.188
SET      25.471       97.344
SET      25.599       97.500
SET      25.727       97.656
SET      25.727       97.812
SET      25.983       97.969
SET      26.111       98.125
SET      26.239       98.281
SET      26.495       98.438
SET      26.623       98.516
SET      26.751       98.594
SET      26.879       98.672
SET      27.135       98.750
SET      27.391       98.828
SET      27.647       98.906
SET      27.903       98.984
SET      28.415       99.062
SET      28.927       99.141
SET      29.695       99.219
SET      30.207       99.258
SET      30.719       99.297
SET      31.231       99.336
SET      31.743       99.375
SET      32.383       99.414
SET      33.023       99.453
SET      33.791       99.492
SET      34.559       99.531
SET      35.327       99.570
SET      36.351       99.609
SET      36.607       99.629
SET      37.119       99.648
SET      37.631       99.668
SET      38.399       99.688
SET      38.911       99.707
SET      39.679       99.727
SET      40.191       99.746
SET      40.703       99.766
SET      41.215       99.785
SET      41.983       99.805
SET      42.495       99.814
SET      42.751       99.824
SET      43.007       99.834
SET      43.519       99.844
SET      43.775       99.854
SET      44.287       99.863
SET      44.799       99.873
SET      45.055       99.883
SET      45.567       99.893
SET      46.079       99.902
SET      46.335       99.907
SET      46.847       99.912
SET      47.103       99.917
SET      47.359       99.922
SET      47.871       99.927
SET      48.383       99.932
SET      48.895       99.937
SET      49.407       99.941
SET      49.919       99.946
SET      50.431       99.951
SET      50.687       99.954
SET      50.943       99.956
SET      51.455       99.958
SET      51.967       99.961
SET      52.223       99.963
SET      52.479       99.966
SET      52.991       99.968
SET      53.503       99.971
SET      54.015       99.973
SET      54.527       99.976
SET      54.783       99.977
SET      55.039       99.978
SET      55.551       99.979
SET      55.807       99.980
SET      56.063       99.982
SET      56.831       99.983
SET      57.087       99.984
SET      57.855       99.985
SET      58.367       99.987
SET      58.623       99.988
SET      58.879       99.988
SET      59.391       99.989
SET      59.903       99.990
SET      60.159       99.990
SET      60.415       99.991
SET      60.927       99.991
SET      61.695       99.992
SET      62.719       99.993
SET      62.975       99.993
SET      63.743       99.994
SET      63.999       99.994
SET      63.999       99.995
SET      63.999       99.995
SET      64.767       99.995
SET      65.023       99.995
SET      65.535       99.996
SET      65.535       99.996
SET      66.047       99.996
SET      66.559       99.997
SET      66.559       99.997
SET      67.071       99.997
SET      67.071       99.997
SET      67.583       99.997
SET      67.583       99.998
SET      67.583       99.998
SET      68.607       99.998
SET      68.607       99.998
SET      68.607       99.998
SET      68.607       99.998
SET      69.119       99.998
SET      69.119       99.999
SET      69.631       99.999
SET      69.631       99.999
SET      70.143       99.999
SET      70.143       99.999
SET      71.679       99.999
SET      72.191       99.999
SET      72.191       99.999
SET      72.191       99.999
SET      72.191       99.999
SET      72.703       99.999
SET      72.703       99.999
SET      72.703       99.999
SET      73.727       99.999
SET      73.727       99.999
SET      73.727       99.999
SET      74.239      100.000
SET      74.239      100.000
SET      74.239      100.000
SET      74.239      100.000
SET      75.775      100.000
SET      75.775      100.000
SET      75.775      100.000
SET      75.775      100.000
SET      75.775      100.000
SET      75.775      100.000
SET      79.359      100.000
SET      79.359      100.000
SET      79.359      100.000
SET      79.359      100.000
SET      79.359      100.000
SET      79.359      100.000
SET      79.359      100.000
SET      79.359      100.000
SET      79.359      100.000
SET      79.359      100.000
SET      80.895      100.000
SET      80.895      100.000
---
GET       1.535        0.000
GET      11.519        5.000
GET      11.967       10.000
GET      12.159       15.000
GET      12.287       20.000
GET      12.351       25.000
GET      12.415       30.000
GET      12.479       35.000
GET      12.543       40.000
GET      12.607       45.000
GET      12.671       50.000
GET      12.735       52.500
GET      12.735       55.000
GET      12.799       57.500
GET      12.863       60.000
GET      12.927       62.500
GET      12.991       65.000
GET      13.055       67.500
GET      13.119       70.000
GET      13.183       72.500
GET      13.311       75.000
GET      13.311       76.250
GET      13.375       77.500
GET      13.439       78.750
GET      13.567       80.000
GET      13.631       81.250
GET      13.759       82.500
GET      13.887       83.750
GET      14.079       85.000
GET      14.335       86.250
GET      14.719       87.500
GET      14.975       88.125
GET      15.231       88.750
GET      15.487       89.375
GET      15.871       90.000
GET      16.319       90.625
GET      16.895       91.250
GET      18.047       91.875
GET      19.839       92.500
GET      21.503       93.125
GET      22.783       93.750
GET      23.295       94.062
GET      23.679       94.375
GET      23.935       94.688
GET      24.191       95.000
GET      24.447       95.312
GET      24.575       95.625
GET      24.703       95.938
GET      24.831       96.250
GET      24.959       96.562
GET      25.215       96.875
GET      25.215       97.031
GET      25.343       97.188
GET      25.471       97.344
GET      25.471       97.500
GET      25.599       97.656
GET      25.727       97.812
GET      25.855       97.969
GET      25.983       98.125
GET      26.239       98.281
GET      26.367       98.438
GET      26.495       98.516
GET      26.623       98.594
GET      26.879       98.672
GET      27.007       98.750
GET      27.263       98.828
GET      27.391       98.906
GET      27.775       98.984
GET      28.159       99.062
GET      28.671       99.141
GET      29.311       99.219
GET      29.695       99.258
GET      30.207       99.297
GET      30.719       99.336
GET      31.231       99.375
GET      31.871       99.414
GET      32.511       99.453
GET      33.279       99.492
GET      34.047       99.531
GET      34.815       99.570
GET      35.839       99.609
GET      36.351       99.629
GET      37.119       99.648
GET      37.631       99.668
GET      38.143       99.688
GET      38.655       99.707
GET      39.423       99.727
GET      39.935       99.746
GET      40.703       99.766
GET      41.471       99.785
GET      41.983       99.805
GET      42.495       99.814
GET      42.751       99.824
GET      43.263       99.834
GET      43.519       99.844
GET      44.031       99.854
GET      44.287       99.863
GET      44.799       99.873
GET      45.311       99.883
GET      45.823       99.893
GET      46.591       99.902
GET      46.847       99.907
GET      47.103       99.912
GET      47.359       99.917
GET      47.871       99.922
GET      48.127       99.927
GET      48.639       99.932
GET      49.151       99.937
GET      49.663       99.941
GET      50.175       99.946
GET      50.943       99.951
GET      51.199       99.954
GET      51.455       99.956
GET      51.967       99.958
GET      52.223       99.961
GET      52.735       99.963
GET      52.991       99.966
GET      53.503       99.968
GET      54.015       99.971
GET      54.527       99.973
GET      55.295       99.976
GET      55.551       99.977
GET      55.807       99.978
GET      56.063       99.979
